exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,ARK,1,1,Practice,1,1,16-Nov-2009,17:38,0,3,1,0,20,1,Same,60,80,1,Same,2755.76435308903,1,0
mentalRotation,ARK,1,1,Practice,2,0,16-Nov-2009,17:38,0,5,1,0,20,2,Different,0,20,1,Same,3775.95844678581,0,1
mentalRotation,ARK,1,1,Practice,3,1,16-Nov-2009,17:38,0,4,2,0,20,2,Different,210,230,2,Different,3744.3417776376,1,0
mentalRotation,ARK,1,1,Practice,4,0,16-Nov-2009,17:38,0,3,1,0,20,1,Same,240,260,1,Same,31144.211679697,1,0
mentalRotation,ARK,1,1,Practice,5,1,16-Nov-2009,17:39,0,4,1,0,52,2,Different,120,172,1,Same,3451.0702798143,0,1
mentalRotation,ARK,1,1,Practice,6,0,16-Nov-2009,17:39,0,4,1,0,52,1,Same,330,22,2,Different,4818.69874056429,0,1
mentalRotation,ARK,1,1,Practice,7,1,16-Nov-2009,17:39,0,3,1,0,52,1,Same,150,202,2,Different,3760.72732452303,0,1
mentalRotation,ARK,1,1,Practice,8,0,16-Nov-2009,17:39,0,3,2,0,52,2,Different,270,322,1,Same,7904.99434433877,0,1
mentalRotation,ARK,1,1,Practice,9,1,16-Nov-2009,17:39,0,4,1,0,84,2,Different,270,354,1,Same,7768.19306612015,0,1
mentalRotation,ARK,1,1,Practice,10,0,16-Nov-2009,17:39,0,2,2,0,84,2,Different,300,24,2,Different,8470.70784959942,1,0
mentalRotation,ARK,1,1,Practice,11,1,16-Nov-2009,17:39,0,4,2,0,84,1,Same,60,144,1,Same,5388.12852092087,1,0
mentalRotation,ARK,1,1,Practice,12,0,16-Nov-2009,17:40,0,3,1,0,84,1,Same,300,24,2,Different,5141.63755904883,0,1
mentalRotation,ARK,1,1,Practice,13,1,16-Nov-2009,17:40,0,2,1,0,116,2,Different,60,176,2,Different,5779.10173591226,1,0
mentalRotation,ARK,1,1,Practice,14,0,16-Nov-2009,17:40,0,2,2,0,116,1,Same,150,266,1,Same,9173.69340639561,1,0
mentalRotation,ARK,1,1,Practice,15,1,16-Nov-2009,17:40,0,5,2,0,116,2,Different,150,266,2,Different,9337.66473922879,1,0
mentalRotation,ARK,1,1,Practice,16,0,16-Nov-2009,17:40,0,2,1,0,116,1,Same,210,326,1,Same,3852.30572056025,1,0
mentalRotation,ARK,1,1,Practice,17,1,16-Nov-2009,17:40,0,4,2,0,148,2,Different,60,208,2,Different,5536.47976275533,1,0
mentalRotation,ARK,1,1,Practice,18,0,16-Nov-2009,17:40,0,2,1,0,148,1,Same,150,298,1,Same,3886.86584401876,1,0
mentalRotation,ARK,1,1,Practice,19,1,16-Nov-2009,17:41,0,1,1,0,148,2,Different,270,58,2,Different,11723.3661003411,1,0
mentalRotation,ARK,1,1,Practice,20,0,16-Nov-2009,17:41,0,5,2,0,148,1,Same,150,298,1,Same,5474.91202969104,1,0
mentalRotation,ARK,1,1,Practice,21,1,16-Nov-2009,17:41,0,2,1,0,180,1,Same,330,150,1,Same,6617.85294767469,1,0
mentalRotation,ARK,1,1,Practice,22,0,16-Nov-2009,17:41,0,3,1,0,180,1,Same,150,330,2,Different,8552.32791602612,0,1
mentalRotation,ARK,1,1,Practice,23,1,16-Nov-2009,17:41,0,4,1,0,180,2,Different,120,300,1,Same,8435.27540564537,0,1
mentalRotation,ARK,1,1,Practice,24,0,16-Nov-2009,17:41,0,1,2,0,180,2,Different,300,120,1,Same,6686.71420123428,0,1
mentalRotation,ARK,1,2,Test,25,1,16-Nov-2009,17:42,100,5,2,4,116,2,Different,30,146,1,Same,9495.70564646274,0,1
mentalRotation,ARK,1,2,Test,26,0,16-Nov-2009,17:42,76,1,2,2,52,2,Different,120,172,2,Different,6330.13055287302,1,0
