exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,AVF,1,1,Practice,1,1,13-Nov-2009,15:32,0,3,1,0,20,1,Same,90,110,1,Same,3529.40793056041,1,0
mentalRotation,AVF,1,1,Practice,2,0,13-Nov-2009,15:32,0,2,1,0,20,2,Different,270,290,2,Different,3195.54466381669,1,0
mentalRotation,AVF,1,1,Practice,3,1,13-Nov-2009,15:32,0,5,1,0,20,2,Different,270,290,2,Different,3813.84846102446,1,0
mentalRotation,AVF,1,1,Practice,4,0,13-Nov-2009,15:32,0,5,2,0,20,1,Same,120,140,1,Same,1913.28376159072,1,0
mentalRotation,AVF,1,1,Practice,5,1,13-Nov-2009,15:33,0,4,2,0,52,2,Different,90,142,2,Different,3556.35494552553,1,0
mentalRotation,AVF,1,1,Practice,6,0,13-Nov-2009,15:33,0,3,2,0,52,1,Same,270,322,1,Same,2995.0353866443,1,0
mentalRotation,AVF,1,1,Practice,7,1,13-Nov-2009,15:33,0,5,2,0,52,2,Different,180,232,2,Different,3604.44329679012,1,0
mentalRotation,AVF,1,1,Practice,8,0,13-Nov-2009,15:33,0,3,1,0,52,1,Same,60,112,1,Same,2813.751203008,1,0
mentalRotation,AVF,1,1,Practice,9,1,13-Nov-2009,15:33,0,4,2,0,84,2,Different,270,354,2,Different,3994.38417516649,1,0
mentalRotation,AVF,1,1,Practice,10,0,13-Nov-2009,15:33,0,3,1,0,84,2,Different,30,114,2,Different,2736.51314713061,1,0
mentalRotation,AVF,1,1,Practice,11,1,13-Nov-2009,15:33,0,4,1,0,84,1,Same,60,144,1,Same,1875.56634377688,1,0
mentalRotation,AVF,1,1,Practice,12,0,13-Nov-2009,15:33,0,1,1,0,84,1,Same,300,24,1,Same,2329.57580685616,1,0
mentalRotation,AVF,1,1,Practice,13,1,13-Nov-2009,15:33,0,5,2,0,116,2,Different,180,296,2,Different,3224.52870383859,1,0
mentalRotation,AVF,1,1,Practice,14,0,13-Nov-2009,15:33,0,5,2,0,116,1,Same,0,116,1,Same,3302.11065057665,1,0
mentalRotation,AVF,1,1,Practice,15,1,13-Nov-2009,15:33,0,4,2,0,116,1,Same,180,296,1,Same,2707.38869346678,1,0
mentalRotation,AVF,1,1,Practice,16,0,13-Nov-2009,15:33,0,5,1,0,116,2,Different,150,266,2,Different,5055.96915818751,1,0
