exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,AW1,2,1,Practice,1,1,06-Apr-2010,16:05,0,5,2,0,20,1,Same,90,110,1,Same,2271.76966099069,1,0
mentalRotation,AW1,2,1,Practice,2,0,06-Apr-2010,16:05,0,5,1,0,20,2,Different,270,290,2,Different,2663.53927087039,1,0
mentalRotation,AW1,2,1,Practice,3,1,06-Apr-2010,16:05,0,3,1,0,20,1,Same,30,50,1,Same,1598.1040711049,1,0
mentalRotation,AW1,2,1,Practice,4,0,06-Apr-2010,16:05,0,2,1,0,20,2,Different,240,260,2,Different,2345.39044997655,1,0
mentalRotation,AW1,2,1,Practice,5,1,06-Apr-2010,16:05,0,4,2,0,52,1,Same,0,52,1,Same,1432.49135394581,1,0
mentalRotation,AW1,2,1,Practice,6,0,06-Apr-2010,16:05,0,4,1,0,52,1,Same,180,232,1,Same,1371.90111004747,1,0
mentalRotation,AW1,2,1,Practice,7,1,06-Apr-2010,16:05,0,2,2,0,52,2,Different,330,22,2,Different,1822.6523459889,1,0
mentalRotation,AW1,2,1,Practice,8,0,06-Apr-2010,16:05,0,4,2,0,52,2,Different,330,22,1,Same,1511.66293397546,0,1
mentalRotation,AW1,2,1,Practice,9,1,06-Apr-2010,16:05,0,1,1,0,84,2,Different,240,324,2,Different,1507.62724899687,1,0
mentalRotation,AW1,2,1,Practice,10,0,06-Apr-2010,16:05,0,5,2,0,84,2,Different,210,294,2,Different,1939.32840996422,1,0
mentalRotation,AW1,2,1,Practice,11,1,06-Apr-2010,16:05,0,5,1,0,84,1,Same,240,324,1,Same,1712.29066699743,1,0
mentalRotation,AW1,2,1,Practice,12,0,06-Apr-2010,16:06,0,1,2,0,84,1,Same,180,264,1,Same,1806.89857387915,1,0
mentalRotation,AW1,2,1,Practice,13,1,06-Apr-2010,16:06,0,5,1,0,116,2,Different,270,26,2,Different,1592.98551804386,1,0
mentalRotation,AW1,2,1,Practice,14,0,06-Apr-2010,16:06,0,1,1,0,116,2,Different,180,296,2,Different,2220.19860590808,1,0
mentalRotation,AW1,2,1,Practice,15,1,06-Apr-2010,16:06,0,2,2,0,116,1,Same,210,326,2,Different,1815.15837600455,0,1
mentalRotation,AW1,2,1,Practice,16,0,06-Apr-2010,16:06,0,2,1,0,116,1,Same,210,326,1,Same,2237.41230904125,1,0
mentalRotation,AW1,2,1,Practice,17,1,06-Apr-2010,16:06,0,4,2,0,148,1,Same,120,268,1,Same,3191.69429386966,1,0
mentalRotation,AW1,2,1,Practice,18,0,06-Apr-2010,16:06,0,3,2,0,148,1,Same,60,208,2,Different,4270.11087303981,0,1
mentalRotation,AW1,2,1,Practice,19,1,06-Apr-2010,16:06,0,5,2,0,148,2,Different,300,88,2,Different,1552.00398014858,1,0
mentalRotation,AW1,2,1,Practice,20,0,06-Apr-2010,16:06,0,2,2,0,148,2,Different,180,328,2,Different,2019.27557494491,1,0
mentalRotation,AW1,2,1,Practice,21,1,06-Apr-2010,16:06,0,3,2,0,180,1,Same,240,60,1,Same,4426.54857086018,1,0
mentalRotation,AW1,2,1,Practice,22,0,06-Apr-2010,16:06,0,1,1,0,180,2,Different,120,300,2,Different,2747.28624802083,1,0
mentalRotation,AW1,2,1,Practice,23,1,06-Apr-2010,16:06,0,2,2,0,180,2,Different,30,210,2,Different,4489.48351293802,1,0
