exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,CCK,1,1,Practice,1,1,12-Jan-2010,15:29,0,3,2,0,20,2,Different,300,320,2,Different,2604.97587899954,1,0
mentalRotation,CCK,1,1,Practice,2,0,12-Jan-2010,15:29,0,5,2,0,20,2,Different,300,320,1,Same,10244.1027360001,0,1
mentalRotation,CCK,1,1,Practice,3,1,12-Jan-2010,15:29,0,3,2,0,20,1,Same,240,260,1,Same,4448.48266500048,1,0
mentalRotation,CCK,1,1,Practice,4,0,12-Jan-2010,15:29,0,2,2,0,20,1,Same,60,80,1,Same,6019.4415269998,1,0
mentalRotation,CCK,1,1,Practice,5,1,12-Jan-2010,15:29,0,1,1,0,52,1,Same,90,142,1,Same,2249.73559000136,1,0
mentalRotation,CCK,1,1,Practice,6,0,12-Jan-2010,15:29,0,4,2,0,52,2,Different,300,352,2,Different,4126.25644699983,1,0
mentalRotation,CCK,1,1,Practice,7,1,12-Jan-2010,15:29,0,1,2,0,52,1,Same,240,292,1,Same,2627.15268000102,1,0
mentalRotation,CCK,1,1,Practice,8,0,12-Jan-2010,15:29,0,4,2,0,52,2,Different,0,52,2,Different,4212.00694899926,1,0
mentalRotation,CCK,1,1,Practice,9,1,12-Jan-2010,15:29,0,3,2,0,84,2,Different,60,144,2,Different,2984.22309200032,1,0
mentalRotation,CCK,1,1,Practice,10,0,12-Jan-2010,15:30,0,4,1,0,84,2,Different,30,114,2,Different,3762.25469699966,1,0
mentalRotation,CCK,1,1,Practice,11,1,12-Jan-2010,15:30,0,5,2,0,84,1,Same,30,114,1,Same,2497.89516700002,1,0
mentalRotation,CCK,1,1,Practice,12,0,12-Jan-2010,15:30,0,2,2,0,84,1,Same,60,144,1,Same,5505.30833399898,1,0
mentalRotation,CCK,1,1,Practice,13,1,12-Jan-2010,15:30,0,4,2,0,116,2,Different,330,86,2,Different,4465.58209100112,1,0
mentalRotation,CCK,1,1,Practice,14,0,12-Jan-2010,15:30,0,2,1,0,116,1,Same,300,56,1,Same,5200.6926009999,1,0
mentalRotation,CCK,1,1,Practice,15,1,12-Jan-2010,15:30,0,1,1,0,116,2,Different,30,146,1,Same,10709.7600659999,0,1
mentalRotation,CCK,1,1,Practice,16,0,12-Jan-2010,15:30,0,2,1,0,116,1,Same,330,86,1,Same,6023.3770570012,1,0
mentalRotation,CCK,1,1,Practice,17,1,12-Jan-2010,15:30,0,1,2,0,148,2,Different,90,238,1,Same,3179.01227199945,0,1
mentalRotation,CCK,1,1,Practice,18,0,12-Jan-2010,15:30,0,5,2,0,148,1,Same,60,208,1,Same,6866.60968499928,1,0
mentalRotation,CCK,1,1,Practice,19,1,12-Jan-2010,15:31,0,1,1,0,148,2,Different,90,238,2,Different,4286.75519900025,1,0
mentalRotation,CCK,1,1,Practice,20,0,12-Jan-2010,15:31,0,2,2,0,148,1,Same,270,58,1,Same,7482.37884300033,1,0
