exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,CGE,1,1,Practice,1,1,29-Jan-2010,15:05,0,2,1,0,20,1,Same,180,200,1,Same,5829.62821610272,1,0
mentalRotation,CGE,1,1,Practice,2,0,29-Jan-2010,15:05,0,1,2,0,20,2,Different,300,320,2,Different,4395.7507328596,1,0
mentalRotation,CGE,1,1,Practice,3,1,29-Jan-2010,15:05,0,4,1,0,20,1,Same,120,140,1,Same,5835.3881968651,1,0
mentalRotation,CGE,1,1,Practice,4,0,29-Jan-2010,15:05,0,2,2,0,20,2,Different,210,230,2,Different,11624.1168340202,1,0
mentalRotation,CGE,1,1,Practice,5,1,29-Jan-2010,15:05,0,5,2,0,52,2,Different,330,22,1,Same,17426.4956701081,0,1
mentalRotation,CGE,1,1,Practice,6,0,29-Jan-2010,15:06,0,3,1,0,52,1,Same,180,232,1,Same,5471.20916307904,1,0
mentalRotation,CGE,1,1,Practice,7,1,29-Jan-2010,15:06,0,5,2,0,52,2,Different,90,142,2,Different,12586.2300011795,1,0
mentalRotation,CGE,1,1,Practice,8,0,29-Jan-2010,15:06,0,1,1,0,52,1,Same,0,52,1,Same,2243.51211707108,1,0
mentalRotation,CGE,1,1,Practice,9,1,29-Jan-2010,15:06,0,1,2,0,84,1,Same,30,114,1,Same,3135.76555484906,1,0
mentalRotation,CGE,1,1,Practice,10,0,29-Jan-2010,15:06,0,3,2,0,84,2,Different,330,54,1,Same,8717.26432815194,0,1
mentalRotation,CGE,1,1,Practice,11,1,29-Jan-2010,15:06,0,5,2,0,84,1,Same,270,354,1,Same,3257.75229791179,1,0
mentalRotation,CGE,1,1,Practice,12,0,29-Jan-2010,15:07,0,1,1,0,84,2,Different,180,264,2,Different,3374.89490001462,1,0
mentalRotation,CGE,1,1,Practice,13,1,29-Jan-2010,15:07,0,3,2,0,116,1,Same,150,266,1,Same,5632.17214099132,1,0
mentalRotation,CGE,1,1,Practice,14,0,29-Jan-2010,15:07,0,3,2,0,116,2,Different,60,176,1,Same,13396.3019240182,0,1
mentalRotation,CGE,1,1,Practice,15,1,29-Jan-2010,15:07,0,2,2,0,116,2,Different,90,206,1,Same,5614.62123296224,0,1
mentalRotation,CGE,1,1,Practice,16,0,29-Jan-2010,15:07,0,4,2,0,116,1,Same,60,176,1,Same,2655.94238205813,1,0
mentalRotation,CGE,1,1,Practice,17,1,29-Jan-2010,15:07,0,4,1,0,148,1,Same,180,328,1,Same,3674.65128307231,1,0
mentalRotation,CGE,1,1,Practice,18,0,29-Jan-2010,15:07,0,2,1,0,148,2,Different,0,148,2,Different,13784.9863520823,1,0
mentalRotation,CGE,1,1,Practice,19,1,29-Jan-2010,15:08,0,5,1,0,148,2,Different,150,298,2,Different,6993.74779616483,1,0
mentalRotation,CGE,1,1,Practice,20,0,29-Jan-2010,15:08,0,2,1,0,148,1,Same,150,298,1,Same,4204.85711307265,1,0
mentalRotation,CGE,1,1,Practice,21,1,29-Jan-2010,15:08,0,1,1,0,180,2,Different,60,240,1,Same,5801.19791114703,0,1
mentalRotation,CGE,1,1,Practice,22,0,29-Jan-2010,15:08,0,4,1,0,180,2,Different,240,60,1,Same,3514.55238088965,0,1
mentalRotation,CGE,1,1,Practice,23,1,29-Jan-2010,15:08,0,4,2,0,180,1,Same,180,0,1,Same,6651.29271009937,1,0
mentalRotation,CGE,1,1,Practice,24,0,29-Jan-2010,15:08,0,2,2,0,180,1,Same,210,30,1,Same,11579.1085248347,1,0
mentalRotation,CGE,1,2,Test,25,1,29-Jan-2010,15:09,4,4,1,1,20,1,Same,0,20,1,Same,2493.09318000451,1,0
mentalRotation,CGE,1,2,Test,26,0,29-Jan-2010,15:09,97,2,2,4,116,2,Different,300,56,2,Different,5302.58715804666,1,0
mentalRotation,CGE,1,2,Test,27,1,29-Jan-2010,15:09,114,4,1,6,180,2,Different,330,150,1,Same,2299.7459329199,0,1
mentalRotation,CGE,1,2,Test,28,0,29-Jan-2010,15:09,82,2,1,3,84,2,Different,240,324,2,Different,4848.95186987706,1,0
mentalRotation,CGE,1,2,Test,29,1,29-Jan-2010,15:09,64,4,1,1,20,2,Different,300,320,2,Different,2170.15179106966,1,0
mentalRotation,CGE,1,2,Test,30,0,29-Jan-2010,15:09,90,5,2,3,84,2,Different,120,204,2,Different,7982.69267007709,1,0
mentalRotation,CGE,1,2,Test,31,1,29-Jan-2010,15:09,47,2,2,5,148,1,Same,300,88,2,Different,9235.79562013038,0,1
mentalRotation,CGE,1,2,Test,32,0,29-Jan-2010,15:09,49,4,2,5,148,1,Same,210,358,1,Same,4541.68058489449,1,0
mentalRotation,CGE,1,2,Test,33,1,29-Jan-2010,15:09,102,2,1,5,148,2,Different,0,148,2,Different,9796.40004201792,1,0
mentalRotation,CGE,1,2,Test,34,0,29-Jan-2010,15:10,36,1,2,4,116,1,Same,60,176,1,Same,2798.01245685667,1,0
mentalRotation,CGE,1,2,Test,35,1,29-Jan-2010,15:10,52,2,1,6,180,1,Same,30,210,2,Different,7001.74931809306,0,1
mentalRotation,CGE,1,2,Test,36,0,29-Jan-2010,15:10,39,4,2,4,116,1,Same,270,26,1,Same,1584.51814786531,1,0
mentalRotation,CGE,1,2,Test,37,1,29-Jan-2010,15:10,99,4,2,4,116,2,Different,180,296,2,Different,3310.47409400344,1,0
mentalRotation,CGE,1,2,Test,38,0,29-Jan-2010,15:10,18,3,2,2,52,1,Same,330,22,1,Same,2093.22472009808,1,0
mentalRotation,CGE,1,2,Test,39,1,29-Jan-2010,15:10,43,3,1,5,148,1,Same,90,238,1,Same,8376.98690197431,1,0
mentalRotation,CGE,1,2,Test,40,0,29-Jan-2010,15:10,78,3,2,2,52,2,Different,60,112,2,Different,3760.10196888819,1,0
mentalRotation,CGE,1,2,Test,41,1,29-Jan-2010,15:10,101,1,1,5,148,2,Different,60,208,2,Different,9871.02293083444,1,0
mentalRotation,CGE,1,2,Test,42,0,29-Jan-2010,15:11,61,1,1,1,20,2,Different,330,350,1,Same,8156.40410780907,0,1
mentalRotation,CGE,1,2,Test,43,1,29-Jan-2010,15:11,74,4,1,2,52,2,Different,330,22,2,Different,5145.66650404595,1,0
mentalRotation,CGE,1,2,Test,44,0,29-Jan-2010,15:11,55,5,1,6,180,1,Same,60,240,1,Same,10120.5102978274,1,0
mentalRotation,CGE,1,2,Test,45,1,29-Jan-2010,15:11,53,3,1,6,180,1,Same,330,150,1,Same,7278.9341348689,1,0
mentalRotation,CGE,1,2,Test,46,0,29-Jan-2010,15:11,11,1,1,2,52,1,Same,300,352,1,Same,1628.47465882078,1,0
mentalRotation,CGE,1,2,Test,47,1,29-Jan-2010,15:11,103,3,1,5,148,2,Different,150,298,1,Same,4187.91475519538,0,1
mentalRotation,CGE,1,2,Test,48,0,29-Jan-2010,15:11,72,2,1,2,52,2,Different,180,232,2,Different,1871.90037383698,1,0
