exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,CJH,1,1,Practice,1,1,05-Dec-2009,15:42,0,3,1,0,20,1,Same,240,260,1,Same,4949.71425099357,1,0
mentalRotation,CJH,1,1,Practice,2,0,05-Dec-2009,15:42,0,3,2,0,20,2,Different,150,170,2,Different,5510.61164100247,1,0
mentalRotation,CJH,1,1,Practice,3,1,05-Dec-2009,15:42,0,3,2,0,20,2,Different,240,260,1,Same,8591.06508101104,0,1
mentalRotation,CJH,1,1,Practice,4,0,05-Dec-2009,15:42,0,4,1,0,20,1,Same,270,290,1,Same,1717.72365899233,1,0
mentalRotation,CJH,1,1,Practice,5,1,05-Dec-2009,15:42,0,1,2,0,52,1,Same,120,172,1,Same,1594.42440900602,1,0
mentalRotation,CJH,1,1,Practice,6,0,05-Dec-2009,15:42,0,4,1,0,52,2,Different,300,352,2,Different,1934.28180599585,1,0
mentalRotation,CJH,1,1,Practice,7,1,05-Dec-2009,15:42,0,5,2,0,52,2,Different,150,202,1,Same,3102.36539100879,0,1
mentalRotation,CJH,1,1,Practice,8,0,05-Dec-2009,15:43,0,5,1,0,52,1,Same,90,142,1,Same,2353.45387899724,1,0
mentalRotation,CJH,1,1,Practice,9,1,05-Dec-2009,15:43,0,5,2,0,84,1,Same,240,324,1,Same,3728.05414100003,1,0
mentalRotation,CJH,1,1,Practice,10,0,05-Dec-2009,15:43,0,2,1,0,84,2,Different,330,54,2,Different,3679.15551298938,1,0
mentalRotation,CJH,1,1,Practice,11,1,05-Dec-2009,15:43,0,2,1,0,84,2,Different,240,324,2,Different,3767.39922301203,1,0
mentalRotation,CJH,1,1,Practice,12,0,05-Dec-2009,15:43,0,2,1,0,84,1,Same,60,144,2,Different,1325.91648599191,0,1
mentalRotation,CJH,1,1,Practice,13,1,05-Dec-2009,15:43,0,1,2,0,116,1,Same,120,236,1,Same,2057.99193099665,1,0
mentalRotation,CJH,1,1,Practice,14,0,05-Dec-2009,15:43,0,1,2,0,116,1,Same,120,236,2,Different,3107.08475198771,0,1
mentalRotation,CJH,1,1,Practice,15,1,05-Dec-2009,15:43,0,2,2,0,116,2,Different,120,236,2,Different,6168.31812000601,1,0
mentalRotation,CJH,1,1,Practice,16,0,05-Dec-2009,15:43,0,3,1,0,116,2,Different,0,116,2,Different,9117.85056299414,1,0
mentalRotation,CJH,1,1,Practice,17,1,05-Dec-2009,15:43,0,2,2,0,148,1,Same,90,238,1,Same,6846.92325799551,1,0
