exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,DDA,2,1,Practice,1,1,27-Feb-2010,14:42,0,3,1,0,20,1,Same,240,260,1,Same,3510.89316199068,1,0
mentalRotation,DDA,2,1,Practice,2,0,27-Feb-2010,14:42,0,3,2,0,20,1,Same,120,140,1,Same,2387.09817902418,1,0
mentalRotation,DDA,2,1,Practice,3,1,27-Feb-2010,14:42,0,4,1,0,20,2,Different,120,140,2,Different,3415.11988604907,1,0
mentalRotation,DDA,2,1,Practice,4,0,27-Feb-2010,14:42,0,3,1,0,20,2,Different,240,260,2,Different,2102.32617100701,1,0
mentalRotation,DDA,2,1,Practice,5,1,27-Feb-2010,14:42,0,5,1,0,52,1,Same,330,22,1,Same,3100.28074699221,1,0
mentalRotation,DDA,2,1,Practice,6,0,27-Feb-2010,14:42,0,5,2,0,52,1,Same,60,112,1,Same,2776.94535802584,1,0
mentalRotation,DDA,2,1,Practice,7,1,27-Feb-2010,14:42,0,4,1,0,52,2,Different,180,232,2,Different,1250.02793298336,1,0
mentalRotation,DDA,2,1,Practice,8,0,27-Feb-2010,14:42,0,5,1,0,52,2,Different,150,202,2,Different,2223.66480500204,1,0
mentalRotation,DDA,2,1,Practice,9,1,27-Feb-2010,14:42,0,2,1,0,84,2,Different,120,204,2,Different,4065.30579202808,1,0
mentalRotation,DDA,2,1,Practice,10,0,27-Feb-2010,14:42,0,4,2,0,84,1,Same,300,24,1,Same,2847.84702304751,1,0
mentalRotation,DDA,2,1,Practice,11,1,27-Feb-2010,14:42,0,2,2,0,84,1,Same,30,114,2,Different,2589.98094301205,0,1
mentalRotation,DDA,2,1,Practice,12,0,27-Feb-2010,14:43,0,5,1,0,84,2,Different,300,24,2,Different,6123.2509840047,1,0
mentalRotation,DDA,2,1,Practice,13,1,27-Feb-2010,14:43,0,1,1,0,116,2,Different,0,116,2,Different,4214.07794998959,1,0
mentalRotation,DDA,2,1,Practice,14,0,27-Feb-2010,14:43,0,1,2,0,116,1,Same,0,116,1,Same,3064.60552097997,1,0
mentalRotation,DDA,2,1,Practice,15,1,27-Feb-2010,14:43,0,4,1,0,116,2,Different,60,176,2,Different,5828.68904602947,1,0
mentalRotation,DDA,2,1,Practice,16,0,27-Feb-2010,14:43,0,5,1,0,116,1,Same,120,236,2,Different,3819.63241100311,0,1
