exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,DRK,2,1,Practice,1,1,14-Jan-2010,16:13,0,4,1,0,20,1,Same,210,230,1,Same,3271.6966799926,1,0
mentalRotation,DRK,2,1,Practice,2,0,14-Jan-2010,16:13,0,1,1,0,20,2,Different,0,20,2,Different,4458.81728001405,1,0
mentalRotation,DRK,2,1,Practice,3,1,14-Jan-2010,16:14,0,5,1,0,20,2,Different,0,20,1,Same,4496.68076899252,0,1
mentalRotation,DRK,2,1,Practice,4,0,14-Jan-2010,16:14,0,1,1,0,20,1,Same,180,200,1,Same,2008.04154202342,1,0
mentalRotation,DRK,2,1,Practice,5,1,14-Jan-2010,16:14,0,3,2,0,52,1,Same,30,82,2,Different,11954.5754380233,0,1
mentalRotation,DRK,2,1,Practice,6,0,14-Jan-2010,16:14,0,5,2,0,52,2,Different,120,172,1,Same,7817.64199500321,0,1
mentalRotation,DRK,2,1,Practice,7,1,14-Jan-2010,16:14,0,4,1,0,52,2,Different,90,142,2,Different,4872.67429500935,1,0
mentalRotation,DRK,2,1,Practice,8,0,14-Jan-2010,16:14,0,3,1,0,52,1,Same,90,142,1,Same,2553.53430000832,1,0
mentalRotation,DRK,2,1,Practice,9,1,14-Jan-2010,16:14,0,4,2,0,84,1,Same,270,354,1,Same,2756.18818998919,1,0
mentalRotation,DRK,2,1,Practice,10,0,14-Jan-2010,16:14,0,3,2,0,84,2,Different,240,324,1,Same,5831.95398800308,0,1
mentalRotation,DRK,2,1,Practice,11,1,14-Jan-2010,16:15,0,5,2,0,84,1,Same,270,354,2,Different,7282.33076701872,0,1
mentalRotation,DRK,2,1,Practice,12,0,14-Jan-2010,16:15,0,1,1,0,84,2,Different,180,264,1,Same,6912.14843900525,0,1
mentalRotation,DRK,2,1,Practice,13,1,14-Jan-2010,16:15,0,1,2,0,116,1,Same,330,86,1,Same,2744.99820999335,1,0
mentalRotation,DRK,2,1,Practice,14,0,14-Jan-2010,16:15,0,3,1,0,116,1,Same,90,206,1,Same,3697.18382298015,1,0
mentalRotation,DRK,2,1,Practice,15,1,14-Jan-2010,16:15,0,5,2,0,116,2,Different,210,326,2,Different,2624.29342899122,1,0
mentalRotation,DRK,2,1,Practice,16,0,14-Jan-2010,16:15,0,3,1,0,116,2,Different,300,56,1,Same,2212.9325120186,0,1
mentalRotation,DRK,2,1,Practice,17,1,14-Jan-2010,16:15,0,5,1,0,148,2,Different,30,178,1,Same,4142.71709800232,0,1
mentalRotation,DRK,2,1,Practice,18,0,14-Jan-2010,16:15,0,3,2,0,148,1,Same,90,238,2,Different,5815.34300098429,0,1
mentalRotation,DRK,2,1,Practice,19,1,14-Jan-2010,16:15,0,3,2,0,148,1,Same,120,268,1,Same,4388.65715800785,1,0
mentalRotation,DRK,2,1,Practice,20,0,14-Jan-2010,16:16,0,3,1,0,148,2,Different,0,148,2,Different,6828.88616001583,1,0
mentalRotation,DRK,2,1,Practice,21,1,14-Jan-2010,16:16,0,1,1,0,180,2,Different,0,180,1,Same,3818.21410299744,0,1
mentalRotation,DRK,2,1,Practice,22,0,14-Jan-2010,16:16,0,4,2,0,180,2,Different,180,0,1,Same,4311.87633000081,0,1
mentalRotation,DRK,2,1,Practice,23,1,14-Jan-2010,16:16,0,5,2,0,180,1,Same,270,90,1,Same,4391.58888399834,1,0
mentalRotation,DRK,2,1,Practice,24,0,14-Jan-2010,16:16,0,5,2,0,180,1,Same,60,240,1,Same,6482.24121599924,1,0
mentalRotation,DRK,2,2,Test,25,1,14-Jan-2010,16:16,91,1,1,4,116,2,Different,30,146,2,Different,3329.74622500478,1,0
mentalRotation,DRK,2,2,Test,26,0,14-Jan-2010,16:16,40,5,2,4,116,1,Same,270,26,1,Same,3276.59076298005,1,0
mentalRotation,DRK,2,2,Test,27,1,14-Jan-2010,16:16,97,2,2,4,116,2,Different,300,56,1,Same,4287.91507298592,0,1
mentalRotation,DRK,2,2,Test,28,0,14-Jan-2010,16:16,84,4,1,3,84,2,Different,0,84,2,Different,10540.6396549952,1,0
mentalRotation,DRK,2,2,Test,29,1,14-Jan-2010,16:17,79,4,2,2,52,2,Different,240,292,2,Different,8569.43910499103,1,0
mentalRotation,DRK,2,2,Test,30,0,14-Jan-2010,16:17,88,3,2,3,84,2,Different,240,324,1,Same,16301.6011480067,0,1
