exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,DYR,1,1,Practice,1,1,18-Feb-2010,11:03,0,2,2,0,20,2,Different,330,350,1,Same,4771.26247389242,0,1
mentalRotation,DYR,1,1,Practice,2,0,18-Feb-2010,11:03,0,3,1,0,20,2,Different,210,230,2,Different,7369.07173367217,1,0
mentalRotation,DYR,1,1,Practice,3,1,18-Feb-2010,11:03,0,2,1,0,20,1,Same,270,290,2,Different,7736.02279322222,0,1
mentalRotation,DYR,1,1,Practice,4,0,18-Feb-2010,11:03,0,1,1,0,20,1,Same,30,50,1,Same,6187.8778510727,1,0
mentalRotation,DYR,1,1,Practice,5,1,18-Feb-2010,11:03,0,4,2,0,52,1,Same,330,22,1,Same,8721.11576469615,1,0
mentalRotation,DYR,1,1,Practice,6,0,18-Feb-2010,11:04,0,1,2,0,52,1,Same,0,52,1,Same,9562.53866897896,1,0
mentalRotation,DYR,1,1,Practice,7,1,18-Feb-2010,11:04,0,3,1,0,52,2,Different,330,22,1,Same,6377.37097777426,0,1
mentalRotation,DYR,1,1,Practice,8,0,18-Feb-2010,11:04,0,4,1,0,52,2,Different,270,322,2,Different,7917.43103275076,1,0
mentalRotation,DYR,1,1,Practice,9,1,18-Feb-2010,11:04,0,3,2,0,84,2,Different,90,174,2,Different,13252.1370928735,1,0
mentalRotation,DYR,1,1,Practice,10,0,18-Feb-2010,11:04,0,1,2,0,84,1,Same,300,24,1,Same,9490.536571946,1,0
mentalRotation,DYR,1,1,Practice,11,1,18-Feb-2010,11:05,0,5,2,0,84,1,Same,30,114,1,Same,7648.68376590312,1,0
mentalRotation,DYR,1,1,Practice,12,0,18-Feb-2010,11:05,0,5,2,0,84,2,Different,270,354,2,Different,12105.0301007926,1,0
mentalRotation,DYR,1,1,Practice,13,1,18-Feb-2010,11:05,0,4,2,0,116,1,Same,300,56,1,Same,12759.7380201332,1,0
mentalRotation,DYR,1,1,Practice,14,0,18-Feb-2010,11:05,0,2,1,0,116,1,Same,90,206,1,Same,7257.81498476863,1,0
mentalRotation,DYR,1,1,Practice,15,1,18-Feb-2010,11:05,0,1,2,0,116,2,Different,330,86,2,Different,10252.2532739677,1,0
mentalRotation,DYR,1,1,Practice,16,0,18-Feb-2010,11:06,0,3,2,0,116,2,Different,300,56,2,Different,12368.1167601608,1,0
mentalRotation,DYR,1,1,Practice,17,1,18-Feb-2010,11:06,0,4,1,0,148,1,Same,240,28,1,Same,7919.88138761371,1,0
mentalRotation,DYR,1,1,Practice,18,0,18-Feb-2010,11:06,0,4,2,0,148,2,Different,300,88,2,Different,4531.45125741139,1,0
mentalRotation,DYR,1,1,Practice,19,1,18-Feb-2010,11:06,0,1,2,0,148,2,Different,0,148,2,Different,6660.12831404805,1,0
mentalRotation,DYR,1,1,Practice,20,0,18-Feb-2010,11:06,0,5,2,0,148,1,Same,240,28,1,Same,11466.3803521544,1,0
mentalRotation,DYR,1,1,Practice,21,1,18-Feb-2010,11:06,0,2,2,0,180,1,Same,120,300,1,Same,4307.59970005602,1,0
mentalRotation,DYR,1,1,Practice,22,0,18-Feb-2010,11:06,0,2,1,0,180,1,Same,300,120,1,Same,6688.00077028573,1,0
mentalRotation,DYR,1,1,Practice,23,1,18-Feb-2010,11:07,0,2,1,0,180,2,Different,240,60,2,Different,3860.33214209601,1,0
