exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,EKO,1,1,Practice,1,1,05-Mar-2010,16:10,0,2,2,0,20,2,Different,210,230,2,Different,14667.1073139878,1,0
mentalRotation,EKO,1,1,Practice,2,0,05-Mar-2010,16:11,0,3,2,0,20,2,Different,120,140,2,Different,11426.4486249886,1,0
mentalRotation,EKO,1,1,Practice,3,1,05-Mar-2010,16:11,0,2,2,0,20,1,Same,210,230,1,Same,4211.7821139982,1,0
mentalRotation,EKO,1,1,Practice,4,0,05-Mar-2010,16:11,0,1,2,0,20,1,Same,90,110,1,Same,3898.10305400169,1,0
mentalRotation,EKO,1,1,Practice,5,1,05-Mar-2010,16:11,0,4,1,0,52,2,Different,300,352,2,Different,3011.18227199186,1,0
mentalRotation,EKO,1,1,Practice,6,0,05-Mar-2010,16:11,0,1,1,0,52,1,Same,240,292,1,Same,2878.84708700585,1,0
mentalRotation,EKO,1,1,Practice,7,1,05-Mar-2010,16:11,0,3,2,0,52,1,Same,240,292,1,Same,4537.67815200263,1,0
mentalRotation,EKO,1,1,Practice,8,0,05-Mar-2010,16:11,0,1,2,0,52,2,Different,300,352,2,Different,3205.12773800874,1,0
mentalRotation,EKO,1,1,Practice,9,1,05-Mar-2010,16:11,0,2,1,0,84,2,Different,180,264,2,Different,2957.11347501492,1,0
mentalRotation,EKO,1,1,Practice,10,0,05-Mar-2010,16:11,0,5,2,0,84,1,Same,60,144,1,Same,3790.57218501111,1,0
mentalRotation,EKO,1,1,Practice,11,1,05-Mar-2010,16:12,0,2,1,0,84,1,Same,330,54,1,Same,3438.81207797676,1,0
mentalRotation,EKO,1,1,Practice,12,0,05-Mar-2010,16:12,0,4,2,0,84,2,Different,180,264,2,Different,4626.69291897328,1,0
mentalRotation,EKO,1,1,Practice,13,1,05-Mar-2010,16:12,0,4,1,0,116,1,Same,120,236,1,Same,3551.40932899667,1,0
mentalRotation,EKO,1,1,Practice,14,0,05-Mar-2010,16:12,0,5,1,0,116,2,Different,330,86,2,Different,7167.31848099153,1,0
mentalRotation,EKO,1,1,Practice,15,1,05-Mar-2010,16:12,0,4,2,0,116,1,Same,120,236,1,Same,2969.10716101411,1,0
mentalRotation,EKO,1,1,Practice,16,0,05-Mar-2010,16:12,0,1,1,0,116,2,Different,270,26,2,Different,3059.56730700564,1,0
mentalRotation,EKO,1,1,Practice,17,1,05-Mar-2010,16:12,0,4,1,0,148,2,Different,240,28,2,Different,4782.00730998651,1,0
mentalRotation,EKO,1,1,Practice,18,0,05-Mar-2010,16:12,0,1,1,0,148,1,Same,240,28,2,Different,3361.29449601867,0,1
mentalRotation,EKO,1,1,Practice,19,1,05-Mar-2010,16:12,0,4,1,0,148,1,Same,150,298,1,Same,2902.40046998952,1,0
mentalRotation,EKO,1,1,Practice,20,0,05-Mar-2010,16:12,0,2,2,0,148,2,Different,30,178,1,Same,3356.26989899902,0,1
mentalRotation,EKO,1,1,Practice,21,1,05-Mar-2010,16:13,0,1,2,0,180,2,Different,0,180,2,Different,1457.29145800578,1,0
mentalRotation,EKO,1,1,Practice,22,0,05-Mar-2010,16:13,0,4,2,0,180,1,Same,150,330,2,Different,5578.70089399512,0,1
mentalRotation,EKO,1,1,Practice,23,1,05-Mar-2010,16:13,0,5,1,0,180,1,Same,90,270,2,Different,3742.82648699591,0,1
mentalRotation,EKO,1,1,Practice,24,0,05-Mar-2010,16:13,0,5,1,0,180,2,Different,330,150,2,Different,4443.68666998344,1,0
mentalRotation,EKO,1,2,Test,25,1,05-Mar-2010,16:13,82,2,1,3,84,2,Different,270,354,2,Different,528.207424998982,1,0
mentalRotation,EKO,1,2,Test,26,0,05-Mar-2010,16:13,17,2,2,2,52,1,Same,210,262,2,Different,3118.59571002424,0,1
mentalRotation,EKO,1,2,Test,27,1,05-Mar-2010,16:13,8,3,2,1,20,1,Same,270,290,1,Same,2583.77636698424,1,0
mentalRotation,EKO,1,2,Test,28,0,05-Mar-2010,16:13,86,1,2,3,84,2,Different,180,264,2,Different,4378.16829400253,1,0
mentalRotation,EKO,1,2,Test,29,1,05-Mar-2010,16:13,23,3,1,3,84,1,Same,180,264,1,Same,4375.66871001036,1,0
mentalRotation,EKO,1,2,Test,30,0,05-Mar-2010,16:13,28,3,2,3,84,1,Same,180,264,1,Same,5526.39727000496,1,0
mentalRotation,EKO,1,2,Test,31,1,05-Mar-2010,16:14,102,2,1,5,148,2,Different,30,178,1,Same,3581.89464101451,0,1
mentalRotation,EKO,1,2,Test,32,0,05-Mar-2010,16:14,33,3,1,4,116,1,Same,210,326,2,Different,1877.87383800605,0,1
mentalRotation,EKO,1,2,Test,33,1,05-Mar-2010,16:14,6,1,2,1,20,1,Same,90,110,1,Same,1299.24220402609,1,0
mentalRotation,EKO,1,2,Test,34,0,05-Mar-2010,16:14,35,5,1,4,116,1,Same,240,356,2,Different,5467.81997999642,0,1
mentalRotation,EKO,1,2,Test,35,1,05-Mar-2010,16:14,32,2,1,4,116,1,Same,60,176,2,Different,3211.39860799303,0,1
mentalRotation,EKO,1,2,Test,36,0,05-Mar-2010,16:14,44,4,1,5,148,1,Same,300,88,1,Same,3139.63694497943,1,0
mentalRotation,EKO,1,2,Test,37,1,05-Mar-2010,16:14,52,2,1,6,180,1,Same,150,330,1,Same,5895.03469801275,1,0
mentalRotation,EKO,1,2,Test,38,0,05-Mar-2010,16:14,16,1,2,2,52,1,Same,60,112,1,Same,1732.17046097852,1,0
mentalRotation,EKO,1,2,Test,39,1,05-Mar-2010,16:14,118,3,2,6,180,2,Different,180,0,2,Different,2020.99797097617,1,0
mentalRotation,EKO,1,2,Test,40,0,05-Mar-2010,16:14,97,2,2,4,116,2,Different,30,146,2,Different,2513.29405800789,1,0
mentalRotation,EKO,1,2,Test,41,1,05-Mar-2010,16:14,55,5,1,6,180,1,Same,270,90,2,Different,11937.3944030085,0,1
mentalRotation,EKO,1,2,Test,42,0,05-Mar-2010,16:15,30,5,2,3,84,1,Same,90,174,1,Same,8178.13271100749,1,0
mentalRotation,EKO,1,2,Test,43,1,05-Mar-2010,16:15,46,1,2,5,148,1,Same,210,358,1,Same,7513.88215098996,1,0
mentalRotation,EKO,1,2,Test,44,0,05-Mar-2010,16:15,24,4,1,3,84,1,Same,60,144,1,Same,6532.91375099798,1,0
mentalRotation,EKO,1,2,Test,45,1,05-Mar-2010,16:15,71,1,1,2,52,2,Different,90,142,1,Same,6632.27188398014,0,1
mentalRotation,EKO,1,2,Test,46,0,05-Mar-2010,16:15,104,4,1,5,148,2,Different,300,88,2,Different,5890.15995900263,1,0
mentalRotation,EKO,1,2,Test,47,1,05-Mar-2010,16:15,5,5,1,1,20,1,Same,210,230,1,Same,2791.68180702254,1,0
mentalRotation,EKO,1,2,Test,48,0,05-Mar-2010,16:15,84,4,1,3,84,2,Different,270,354,2,Different,3514.71758302068,1,0
mentalRotation,EKO,1,2,Test,49,1,05-Mar-2010,16:16,95,5,1,4,116,2,Different,0,116,2,Different,5443.36680800188,1,0
mentalRotation,EKO,1,2,Test,50,0,05-Mar-2010,16:16,51,1,1,6,180,1,Same,0,180,2,Different,4066.03490299312,0,1
mentalRotation,EKO,1,2,Test,51,1,05-Mar-2010,16:16,43,3,1,5,148,1,Same,330,118,2,Different,8754.66706597945,0,1
mentalRotation,EKO,1,2,Test,52,0,05-Mar-2010,16:16,87,2,2,3,84,2,Different,90,174,1,Same,5790.67600899725,0,1
mentalRotation,EKO,1,2,Test,53,1,05-Mar-2010,16:16,9,4,2,1,20,1,Same,180,200,1,Same,2418.84001798462,1,0
mentalRotation,EKO,1,2,Test,54,0,05-Mar-2010,16:16,49,4,2,5,148,1,Same,270,58,1,Same,6688.56264301576,1,0
mentalRotation,EKO,1,2,Test,55,1,05-Mar-2010,16:16,4,4,1,1,20,1,Same,30,50,1,Same,1760.10995000252,1,0
mentalRotation,EKO,1,2,Test,56,0,05-Mar-2010,16:16,66,1,2,1,20,2,Different,330,350,2,Different,4691.04981899727,1,0
mentalRotation,EKO,1,2,Test,57,1,05-Mar-2010,16:17,101,1,1,5,148,2,Different,300,88,1,Same,10383.5691739805,0,1
mentalRotation,EKO,1,2,Test,58,0,05-Mar-2010,16:17,112,2,1,6,180,2,Different,60,240,1,Same,5932.74556900724,0,1
mentalRotation,EKO,1,2,Test,59,1,05-Mar-2010,16:17,94,4,1,4,116,2,Different,300,56,2,Different,2557.12319299346,1,0
mentalRotation,EKO,1,2,Test,60,0,05-Mar-2010,16:17,77,2,2,2,52,2,Different,150,202,2,Different,4495.88299301104,1,0
mentalRotation,EKO,1,2,Test,61,1,05-Mar-2010,16:17,19,4,2,2,52,1,Same,150,202,1,Same,2042.31700400123,1,0
mentalRotation,EKO,1,2,Test,62,0,05-Mar-2010,16:17,14,4,1,2,52,1,Same,330,22,1,Same,1693.38142598281,1,0
mentalRotation,EKO,1,2,Test,63,1,05-Mar-2010,16:17,114,4,1,6,180,2,Different,300,120,2,Different,2825.30727298581,1,0
mentalRotation,EKO,1,2,Test,64,0,05-Mar-2010,16:17,1,1,1,1,20,1,Same,150,170,1,Same,1873.83782700635,1,0
mentalRotation,EKO,1,2,Test,65,1,05-Mar-2010,16:17,79,4,2,2,52,2,Different,30,82,2,Different,2622.87836198811,1,0
mentalRotation,EKO,1,2,Test,66,0,05-Mar-2010,16:17,93,3,1,4,116,2,Different,330,86,2,Different,2598.61833401374,1,0
mentalRotation,EKO,1,2,Test,67,1,05-Mar-2010,16:17,27,2,2,3,84,1,Same,240,324,1,Same,5647.20292098355,1,0
mentalRotation,EKO,1,2,Test,68,0,05-Mar-2010,16:18,39,4,2,4,116,1,Same,240,356,1,Same,2193.51821998134,1,0
mentalRotation,EKO,1,2,Test,69,1,05-Mar-2010,16:18,50,5,2,5,148,1,Same,90,238,1,Same,10241.3871249883,1,0
mentalRotation,EKO,1,2,Test,70,0,05-Mar-2010,16:18,98,3,2,4,116,2,Different,330,86,2,Different,4221.44599500461,1,0
mentalRotation,EKO,1,2,Test,71,1,05-Mar-2010,16:18,7,2,2,1,20,1,Same,330,350,1,Same,2602.65818799962,1,0
mentalRotation,EKO,1,2,Test,72,0,05-Mar-2010,16:18,2,2,1,1,20,1,Same,90,110,1,Same,2203.35854301811,1,0
mentalRotation,EKO,1,2,Test,73,1,05-Mar-2010,16:18,88,3,2,3,84,2,Different,240,324,2,Different,2264.81622998836,1,0
mentalRotation,EKO,1,2,Test,74,0,05-Mar-2010,16:18,34,4,1,4,116,1,Same,330,86,1,Same,1617.92611601413,1,0
mentalRotation,EKO,1,2,Test,75,1,05-Mar-2010,16:18,75,5,1,2,52,2,Different,300,352,2,Different,6286.89061201294,1,0
mentalRotation,EKO,1,2,Test,76,0,05-Mar-2010,16:18,111,1,1,6,180,2,Different,300,120,2,Different,3443.78858801792,1,0
mentalRotation,EKO,1,2,Test,77,1,05-Mar-2010,16:18,3,3,1,1,20,1,Same,120,140,1,Same,2566.70175600448,1,0
mentalRotation,EKO,1,2,Test,78,0,05-Mar-2010,16:19,21,1,1,3,84,1,Same,240,324,1,Same,3264.75785300136,1,0
mentalRotation,EKO,1,2,Test,79,1,05-Mar-2010,16:19,89,4,2,3,84,2,Different,240,324,2,Different,6173.69777598651,1,0
mentalRotation,EKO,1,2,Test,80,0,05-Mar-2010,16:19,63,3,1,1,20,2,Different,60,80,2,Different,12177.2185510199,1,0
mentalRotation,EKO,1,2,Test,81,1,05-Mar-2010,16:19,115,5,1,6,180,2,Different,90,270,2,Different,7316.10149500193,1,0
mentalRotation,EKO,1,2,Test,82,0,05-Mar-2010,16:19,42,2,1,5,148,1,Same,210,358,2,Different,4590.08550501312,0,1
mentalRotation,EKO,1,2,Test,83,1,05-Mar-2010,16:19,60,5,2,6,180,1,Same,120,300,2,Different,7038.33352800575,0,1
mentalRotation,EKO,1,2,Test,84,0,05-Mar-2010,16:19,117,2,2,6,180,2,Different,210,30,2,Different,2521.60661199014,1,0
mentalRotation,EKO,1,2,Test,85,1,05-Mar-2010,16:20,103,3,1,5,148,2,Different,60,208,2,Different,9510.57119100005,1,0
mentalRotation,EKO,1,2,Test,86,0,05-Mar-2010,16:20,15,5,1,2,52,1,Same,30,82,1,Same,3541.57067497727,1,0
mentalRotation,EKO,1,2,Test,87,1,05-Mar-2010,16:20,36,1,2,4,116,1,Same,150,266,2,Different,3736.9943470112,0,1
mentalRotation,EKO,1,2,Test,88,0,05-Mar-2010,16:20,78,3,2,2,52,2,Different,270,322,2,Different,5403.11120299157,1,0
mentalRotation,EKO,1,2,Test,89,1,05-Mar-2010,16:20,11,1,1,2,52,1,Same,120,172,1,Same,3424.21102701337,1,0
mentalRotation,EKO,1,2,Test,90,0,05-Mar-2010,16:20,38,3,2,4,116,1,Same,30,146,1,Same,8039.5971609978,1,0
mentalRotation,EKO,1,2,Test,91,1,05-Mar-2010,16:20,72,2,1,2,52,2,Different,210,262,2,Different,2535.10284700315,1,0
