exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,EML,1,1,Practice,1,1,02-Apr-2010,16:09,0,3,1,0,20,2,Different,210,230,1,Same,4609.74139700011,0,1
mentalRotation,EML,1,1,Practice,2,0,02-Apr-2010,16:09,0,5,1,0,20,1,Same,30,50,1,Same,2824.85851199999,1,0
mentalRotation,EML,1,1,Practice,3,1,02-Apr-2010,16:09,0,4,1,0,20,2,Different,90,110,1,Same,11458.4834010002,0,1
mentalRotation,EML,1,1,Practice,4,0,02-Apr-2010,16:09,0,5,1,0,20,1,Same,0,20,1,Same,3303.92373199902,1,0
mentalRotation,EML,1,1,Practice,5,1,02-Apr-2010,16:09,0,3,1,0,52,2,Different,60,112,2,Different,4889.01086599981,1,0
mentalRotation,EML,1,1,Practice,6,0,02-Apr-2010,16:09,0,5,2,0,52,1,Same,120,172,1,Same,2160.03173399986,1,0
mentalRotation,EML,1,1,Practice,7,1,02-Apr-2010,16:09,0,3,1,0,52,1,Same,270,322,1,Same,2822.16540000081,1,0
mentalRotation,EML,1,1,Practice,8,0,02-Apr-2010,16:09,0,1,1,0,52,2,Different,150,202,2,Different,5234.49606899885,1,0
mentalRotation,EML,1,1,Practice,9,1,02-Apr-2010,16:10,0,2,1,0,84,2,Different,330,54,1,Same,2707.20556800006,0,1
mentalRotation,EML,1,1,Practice,10,0,02-Apr-2010,16:10,0,5,1,0,84,1,Same,240,324,1,Same,3321.82071199895,1,0
mentalRotation,EML,1,1,Practice,11,1,02-Apr-2010,16:10,0,3,2,0,84,1,Same,270,354,1,Same,5265.1003179999,1,0
mentalRotation,EML,1,1,Practice,12,0,02-Apr-2010,16:10,0,2,1,0,84,2,Different,210,294,2,Different,6026.17915900009,1,0
mentalRotation,EML,1,1,Practice,13,1,02-Apr-2010,16:10,0,2,2,0,116,2,Different,0,116,1,Same,6713.7519049993,0,1
mentalRotation,EML,1,1,Practice,14,0,02-Apr-2010,16:10,0,3,2,0,116,1,Same,30,146,2,Different,5517.30907400088,0,1
mentalRotation,EML,1,1,Practice,15,1,02-Apr-2010,16:10,0,2,2,0,116,2,Different,120,236,2,Different,5574.85864999944,1,0
mentalRotation,EML,1,1,Practice,16,0,02-Apr-2010,16:10,0,2,2,0,116,1,Same,0,116,1,Same,5307.5177339997,1,0
mentalRotation,EML,1,1,Practice,17,1,02-Apr-2010,16:11,0,3,2,0,148,1,Same,180,328,1,Same,4268.31445700009,1,0
mentalRotation,EML,1,1,Practice,18,0,02-Apr-2010,16:11,0,1,2,0,148,2,Different,30,178,1,Same,2550.47509200085,0,1
mentalRotation,EML,1,1,Practice,19,1,02-Apr-2010,16:11,0,2,1,0,148,2,Different,180,328,2,Different,5991.12986199907,1,0
mentalRotation,EML,1,1,Practice,20,0,02-Apr-2010,16:11,0,3,1,0,148,1,Same,240,28,1,Same,10603.0944550002,1,0
