exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,EOO,1,1,Practice,1,1,16-Apr-2010,15:57,0,2,2,0,20,2,Different,180,200,2,Different,5388.99440899695,1,0
mentalRotation,EOO,1,1,Practice,2,0,16-Apr-2010,15:57,0,2,2,0,20,2,Different,300,320,2,Different,13398.6783660002,1,0
mentalRotation,EOO,1,1,Practice,3,1,16-Apr-2010,15:58,0,4,1,0,20,1,Same,0,20,1,Same,2562.75060599728,1,0
mentalRotation,EOO,1,1,Practice,4,0,16-Apr-2010,15:58,0,5,2,0,20,1,Same,270,290,1,Same,2856.29442099889,1,0
mentalRotation,EOO,1,1,Practice,5,1,16-Apr-2010,15:58,0,2,1,0,52,2,Different,180,232,2,Different,10883.6856019989,1,0
mentalRotation,EOO,1,1,Practice,6,0,16-Apr-2010,15:58,0,3,2,0,52,1,Same,60,112,1,Same,3028.20608299953,1,0
mentalRotation,EOO,1,1,Practice,7,1,16-Apr-2010,15:58,0,3,1,0,52,1,Same,330,22,1,Same,1889.22313199873,1,0
mentalRotation,EOO,1,1,Practice,8,0,16-Apr-2010,15:58,0,5,2,0,52,2,Different,30,82,2,Different,5983.3440729999,1,0
mentalRotation,EOO,1,1,Practice,9,1,16-Apr-2010,15:58,0,4,2,0,84,1,Same,330,54,1,Same,3222.86768299819,1,0
mentalRotation,EOO,1,1,Practice,10,0,16-Apr-2010,15:58,0,4,2,0,84,1,Same,120,204,1,Same,3460.37430300203,1,0
mentalRotation,EOO,1,1,Practice,11,1,16-Apr-2010,15:58,0,2,1,0,84,2,Different,30,114,2,Different,5556.0179239983,1,0
mentalRotation,EOO,1,1,Practice,12,0,16-Apr-2010,15:59,0,2,1,0,84,2,Different,270,354,1,Same,9358.60487500031,0,1
