exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,HZ1,1,1,Practice,1,1,13-Nov-2009,13:14,0,3,1,0,20,1,Same,60,80,1,Same,13471.9410277903,1,0
mentalRotation,HZ1,1,1,Practice,2,0,13-Nov-2009,13:15,0,5,1,0,20,2,Different,0,20,1,Same,3226.74982156605,0,1
mentalRotation,HZ1,1,1,Practice,3,1,13-Nov-2009,13:15,0,4,2,0,20,2,Different,210,230,2,Different,2419.02866121382,1,0
mentalRotation,HZ1,1,1,Practice,4,0,13-Nov-2009,13:15,0,3,1,0,20,1,Same,240,260,1,Same,1609.53176673502,1,0
mentalRotation,HZ1,1,1,Practice,5,1,13-Nov-2009,13:15,0,4,1,0,52,2,Different,120,172,2,Different,1674.23656117171,1,0
mentalRotation,HZ1,1,1,Practice,6,0,13-Nov-2009,13:15,0,4,1,0,52,1,Same,330,22,1,Same,1180.18457479775,1,0
mentalRotation,HZ1,1,1,Practice,7,1,13-Nov-2009,13:15,0,3,1,0,52,1,Same,150,202,1,Same,1149.47356563061,1,0
mentalRotation,HZ1,1,1,Practice,8,0,13-Nov-2009,13:15,0,3,2,0,52,2,Different,270,322,2,Different,1293.25786884874,1,0
mentalRotation,HZ1,1,1,Practice,9,1,13-Nov-2009,13:15,0,4,1,0,84,2,Different,270,354,1,Same,1678.31305600703,0,1
mentalRotation,HZ1,1,1,Practice,10,0,13-Nov-2009,13:15,0,2,2,0,84,2,Different,300,24,1,Same,1787.382745184,0,1
mentalRotation,HZ1,1,1,Practice,11,1,13-Nov-2009,13:15,0,4,2,0,84,1,Same,60,144,1,Same,1104.90558296442,1,0
mentalRotation,HZ1,1,1,Practice,12,0,13-Nov-2009,13:15,0,3,1,0,84,1,Same,300,24,2,Different,1039.33634329587,0,1
mentalRotation,HZ1,1,1,Practice,13,1,13-Nov-2009,13:15,0,2,1,0,116,2,Different,60,176,2,Different,2259.43339429796,1,0
mentalRotation,HZ1,1,1,Practice,14,0,13-Nov-2009,13:15,0,2,2,0,116,1,Same,150,266,2,Different,2105.69396615028,0,1
mentalRotation,HZ1,1,1,Practice,15,1,13-Nov-2009,13:15,0,5,2,0,116,2,Different,150,266,1,Same,2750.0325338915,0,1
mentalRotation,HZ1,1,1,Practice,16,0,13-Nov-2009,13:16,0,2,1,0,116,1,Same,210,326,1,Same,3412.14685607702,1,0
mentalRotation,HZ1,1,1,Practice,17,1,13-Nov-2009,13:16,0,4,2,0,148,2,Different,60,208,2,Different,3323.56295920908,1,0
mentalRotation,HZ1,1,1,Practice,18,0,13-Nov-2009,13:16,0,2,1,0,148,1,Same,150,298,1,Same,2918.74484624714,1,0
mentalRotation,HZ1,1,1,Practice,19,1,13-Nov-2009,13:16,0,1,1,0,148,2,Different,270,58,2,Different,6244.73842047155,1,0
mentalRotation,HZ1,1,1,Practice,20,0,13-Nov-2009,13:16,0,5,2,0,148,1,Same,150,298,2,Different,4297.34276887029,0,1
mentalRotation,HZ1,1,1,Practice,21,1,13-Nov-2009,13:16,0,2,1,0,180,1,Same,330,150,1,Same,8136.59556675702,1,0
mentalRotation,HZ1,1,1,Practice,22,0,13-Nov-2009,13:16,0,3,1,0,180,1,Same,150,330,1,Same,4566.41487311572,1,0
mentalRotation,HZ1,1,1,Practice,23,1,13-Nov-2009,13:16,0,4,1,0,180,2,Different,120,300,2,Different,3460.18999069929,1,0
mentalRotation,HZ1,1,1,Practice,24,0,13-Nov-2009,13:16,0,1,2,0,180,2,Different,300,120,2,Different,4234.60091091692,1,0
mentalRotation,HZ1,1,2,Test,25,1,13-Nov-2009,13:17,100,5,2,4,116,2,Different,30,146,2,Different,2208.98938179016,1,0
mentalRotation,HZ1,1,2,Test,26,0,13-Nov-2009,13:17,76,1,2,2,52,2,Different,120,172,2,Different,1814.14781138301,1,0
mentalRotation,HZ1,1,2,Test,27,1,13-Nov-2009,13:17,9,4,2,1,20,1,Same,30,50,1,Same,1877.62523069978,1,0
mentalRotation,HZ1,1,2,Test,28,0,13-Nov-2009,13:17,17,2,2,2,52,1,Same,30,82,1,Same,2113.09575662017,1,0
mentalRotation,HZ1,1,2,Test,29,1,13-Nov-2009,13:17,11,1,1,2,52,1,Same,150,202,1,Same,1217.34576113522,1,0
mentalRotation,HZ1,1,2,Test,30,0,13-Nov-2009,13:17,69,4,2,1,20,2,Different,240,260,2,Different,2635.77623572201,1,0
mentalRotation,HZ1,1,2,Test,31,1,13-Nov-2009,13:17,68,3,2,1,20,2,Different,300,320,2,Different,4367.6074789837,1,0
mentalRotation,HZ1,1,2,Test,32,0,13-Nov-2009,13:17,96,1,2,4,116,2,Different,240,356,2,Different,2997.54434544593,1,0
mentalRotation,HZ1,1,2,Test,33,1,13-Nov-2009,13:17,89,4,2,3,84,2,Different,0,84,2,Different,2640.89848008007,1,0
mentalRotation,HZ1,1,2,Test,34,0,13-Nov-2009,13:17,104,4,1,5,148,2,Different,180,328,2,Different,3792.12022293359,1,0
mentalRotation,HZ1,1,2,Test,35,1,13-Nov-2009,13:17,12,2,1,2,52,1,Same,300,352,1,Same,1709.47697386146,1,0
mentalRotation,HZ1,1,2,Test,36,0,13-Nov-2009,13:18,98,3,2,4,116,2,Different,210,326,2,Different,3603.63161936402,1,0
mentalRotation,HZ1,1,2,Test,37,1,13-Nov-2009,13:18,32,2,1,4,116,1,Same,270,26,1,Same,2792.76597406715,1,0
mentalRotation,HZ1,1,2,Test,38,0,13-Nov-2009,13:18,73,3,1,2,52,2,Different,60,112,2,Different,2543.95136144012,1,0
mentalRotation,HZ1,1,2,Test,39,1,13-Nov-2009,13:18,113,3,1,6,180,2,Different,300,120,2,Different,2157.39340428263,1,0
mentalRotation,HZ1,1,2,Test,40,0,13-Nov-2009,13:18,45,5,1,5,148,1,Same,150,298,1,Same,4047.28301800787,1,0
mentalRotation,HZ1,1,2,Test,41,1,13-Nov-2009,13:18,117,2,2,6,180,2,Different,330,150,2,Different,3311.21157296002,1,0
mentalRotation,HZ1,1,2,Test,42,0,13-Nov-2009,13:18,112,2,1,6,180,2,Different,180,0,2,Different,6139.97350353748,1,0
mentalRotation,HZ1,1,2,Test,43,1,13-Nov-2009,13:18,46,1,2,5,148,1,Same,0,148,1,Same,2396.20614238083,1,0
mentalRotation,HZ1,1,2,Test,44,0,13-Nov-2009,13:18,92,2,1,4,116,2,Different,0,116,2,Different,5974.22191500664,1,0
mentalRotation,HZ1,1,2,Test,45,1,13-Nov-2009,13:18,78,3,2,2,52,2,Different,180,232,2,Different,7490.0461724028,1,0
mentalRotation,HZ1,1,2,Test,46,0,13-Nov-2009,13:19,31,1,1,4,116,1,Same,270,26,1,Same,3111.73377465457,1,0
mentalRotation,HZ1,1,2,Test,47,1,13-Nov-2009,13:19,82,2,1,3,84,2,Different,240,324,2,Different,4315.30789844692,1,0
mentalRotation,HZ1,1,2,Test,48,0,13-Nov-2009,13:19,7,2,2,1,20,1,Same,210,230,1,Same,1651.07059851289,1,0
mentalRotation,HZ1,1,2,Test,49,1,13-Nov-2009,13:19,110,5,2,5,148,2,Different,330,118,2,Different,4265.57116862386,1,0
mentalRotation,HZ1,1,2,Test,50,0,13-Nov-2009,13:19,22,2,1,3,84,1,Same,270,354,1,Same,1580.99539764225,1,0
mentalRotation,HZ1,1,2,Test,51,1,13-Nov-2009,13:19,54,4,1,6,180,1,Same,150,330,2,Different,4363.80596458912,0,1
mentalRotation,HZ1,1,2,Test,52,0,13-Nov-2009,13:19,37,2,2,4,116,1,Same,30,146,2,Different,1848.87177310884,0,1
mentalRotation,HZ1,1,2,Test,53,1,13-Nov-2009,13:19,90,5,2,3,84,2,Different,60,144,2,Different,6682.61902127415,1,0
mentalRotation,HZ1,1,2,Test,54,0,13-Nov-2009,13:19,51,1,1,6,180,1,Same,270,90,1,Same,3073.39321542531,1,0
mentalRotation,HZ1,1,2,Test,55,1,13-Nov-2009,13:19,55,5,1,6,180,1,Same,0,180,1,Same,10504.6645030379,1,0
mentalRotation,HZ1,1,2,Test,56,0,13-Nov-2009,13:20,49,4,2,5,148,1,Same,180,328,1,Same,4086.52773499489,1,0
mentalRotation,HZ1,1,2,Test,57,1,13-Nov-2009,13:20,39,4,2,4,116,1,Same,210,326,1,Same,2566.49160198867,1,0
mentalRotation,HZ1,1,2,Test,58,0,13-Nov-2009,13:20,47,2,2,5,148,1,Same,90,238,1,Same,6963.04346714169,1,0
mentalRotation,HZ1,1,2,Test,59,1,13-Nov-2009,13:20,106,1,2,5,148,2,Different,0,148,1,Same,5786.04726865888,0,1
mentalRotation,HZ1,1,2,Test,60,0,13-Nov-2009,13:20,84,4,1,3,84,2,Different,60,144,1,Same,3107.35583025962,0,1
mentalRotation,HZ1,1,2,Test,61,1,13-Nov-2009,13:20,111,1,1,6,180,2,Different,120,300,2,Different,6659.50505062938,1,0
mentalRotation,HZ1,1,2,Test,62,0,13-Nov-2009,13:20,28,3,2,3,84,1,Same,150,234,1,Same,3549.59307517856,1,0
mentalRotation,HZ1,1,2,Test,63,1,13-Nov-2009,13:20,10,5,2,1,20,1,Same,330,350,1,Same,1423.01553953439,1,0
mentalRotation,HZ1,1,2,Test,64,0,13-Nov-2009,13:20,63,3,1,1,20,2,Different,0,20,2,Different,3788.20836544037,1,0
