exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,JCW,2,1,Practice,1,1,11-Dec-2009,13:01,0,2,1,0,20,2,Different,60,80,2,Different,38048.4822629951,1,0
mentalRotation,JCW,2,1,Practice,2,0,11-Dec-2009,13:01,0,1,2,0,20,1,Same,90,110,1,Same,6815.6808160129,1,0
mentalRotation,JCW,2,1,Practice,3,1,11-Dec-2009,13:01,0,2,1,0,20,2,Different,240,260,2,Different,4257.60225503473,1,0
mentalRotation,JCW,2,1,Practice,4,0,11-Dec-2009,13:01,0,5,2,0,20,1,Same,330,350,1,Same,5225.59592302423,1,0
mentalRotation,JCW,2,1,Practice,5,1,11-Dec-2009,13:02,0,4,2,0,52,2,Different,60,112,2,Different,5984.06374297338,1,0
mentalRotation,JCW,2,1,Practice,6,0,11-Dec-2009,13:02,0,1,2,0,52,1,Same,0,52,1,Same,2905.71580501273,1,0
mentalRotation,JCW,2,1,Practice,7,1,11-Dec-2009,13:02,0,4,2,0,52,1,Same,300,352,1,Same,3563.85267199948,1,0
mentalRotation,JCW,2,1,Practice,8,0,11-Dec-2009,13:02,0,5,1,0,52,2,Different,150,202,2,Different,6524.0445069503,1,0
mentalRotation,JCW,2,1,Practice,9,1,11-Dec-2009,13:02,0,2,1,0,84,2,Different,90,174,2,Different,4469.38649402,1,0
mentalRotation,JCW,2,1,Practice,10,0,11-Dec-2009,13:02,0,1,2,0,84,1,Same,300,24,1,Same,3680.29852601467,1,0
mentalRotation,JCW,2,1,Practice,11,1,11-Dec-2009,13:02,0,1,2,0,84,1,Same,60,144,1,Same,5837.75043603964,1,0
mentalRotation,JCW,2,1,Practice,12,0,11-Dec-2009,13:02,0,2,1,0,84,2,Different,300,24,2,Different,4172.79549600789,1,0
mentalRotation,JCW,2,1,Practice,13,1,11-Dec-2009,13:02,0,4,2,0,116,1,Same,330,86,1,Same,3295.37728597643,1,0
mentalRotation,JCW,2,1,Practice,14,0,11-Dec-2009,13:03,0,3,2,0,116,1,Same,90,206,1,Same,5508.00063600764,1,0
mentalRotation,JCW,2,1,Practice,15,1,11-Dec-2009,13:03,0,2,2,0,116,2,Different,270,26,2,Different,5826.46474498324,1,0
mentalRotation,JCW,2,1,Practice,16,0,11-Dec-2009,13:03,0,5,1,0,116,2,Different,30,146,2,Different,5384.78754099924,1,0
mentalRotation,JCW,2,1,Practice,17,1,11-Dec-2009,13:03,0,1,2,0,148,2,Different,90,238,2,Different,5984.09114900278,1,0
mentalRotation,JCW,2,1,Practice,18,0,11-Dec-2009,13:03,0,4,1,0,148,2,Different,300,88,2,Different,3840.99609003169,1,0
mentalRotation,JCW,2,1,Practice,19,1,11-Dec-2009,13:03,0,1,2,0,148,1,Same,0,148,1,Same,3795.71060603485,1,0
mentalRotation,JCW,2,1,Practice,20,0,11-Dec-2009,13:03,0,1,1,0,148,1,Same,270,58,1,Same,5277.88604598027,1,0
mentalRotation,JCW,2,1,Practice,21,1,11-Dec-2009,13:03,0,2,1,0,180,1,Same,210,30,2,Different,4492.99280601554,0,1
mentalRotation,JCW,2,1,Practice,22,0,11-Dec-2009,13:03,0,1,2,0,180,2,Different,120,300,2,Different,5890.01137699233,1,0
mentalRotation,JCW,2,1,Practice,23,1,11-Dec-2009,13:04,0,5,2,0,180,1,Same,330,150,1,Same,7488.95431595156,1,0
mentalRotation,JCW,2,1,Practice,24,0,11-Dec-2009,13:04,0,5,1,0,180,2,Different,270,90,2,Different,3791.06424294878,1,0
mentalRotation,JCW,2,2,Test,25,1,11-Dec-2009,13:04,77,2,2,2,52,2,Different,180,232,2,Different,2104.41292799078,1,0
mentalRotation,JCW,2,2,Test,26,0,11-Dec-2009,13:04,41,1,1,5,148,1,Same,150,298,1,Same,3334.61650600657,1,0
mentalRotation,JCW,2,2,Test,27,1,11-Dec-2009,13:04,38,3,2,4,116,1,Same,150,266,1,Same,2668.99926500628,1,0
mentalRotation,JCW,2,2,Test,28,0,11-Dec-2009,13:04,113,3,1,6,180,2,Different,270,90,1,Same,3469.82260298682,0,1
mentalRotation,JCW,2,2,Test,29,1,11-Dec-2009,13:04,70,5,2,1,20,2,Different,210,230,2,Different,3869.74970099982,1,0
mentalRotation,JCW,2,2,Test,30,0,11-Dec-2009,13:04,10,5,2,1,20,1,Same,0,20,1,Same,1337.70340698538,1,0
mentalRotation,JCW,2,2,Test,31,1,11-Dec-2009,13:04,32,2,1,4,116,1,Same,300,56,2,Different,3505.47499099048,0,1
mentalRotation,JCW,2,2,Test,32,0,11-Dec-2009,13:04,5,5,1,1,20,1,Same,300,320,1,Same,2202.85053702537,1,0
mentalRotation,JCW,2,2,Test,33,1,11-Dec-2009,13:05,44,4,1,5,148,1,Same,270,58,2,Different,4028.99014798459,0,1
mentalRotation,JCW,2,2,Test,34,0,11-Dec-2009,13:05,106,1,2,5,148,2,Different,0,148,1,Same,2856.39647603966,0,1
mentalRotation,JCW,2,2,Test,35,1,11-Dec-2009,13:05,104,4,1,5,148,2,Different,330,118,2,Different,3463.17639399786,1,0
mentalRotation,JCW,2,2,Test,36,0,11-Dec-2009,13:05,112,2,1,6,180,2,Different,300,120,2,Different,2611.74245999428,1,0
mentalRotation,JCW,2,2,Test,37,1,11-Dec-2009,13:05,47,2,2,5,148,1,Same,330,118,1,Same,3737.7799259848,1,0
mentalRotation,JCW,2,2,Test,38,0,11-Dec-2009,13:05,91,1,1,4,116,2,Different,270,26,2,Different,4355.34982796526,1,0
mentalRotation,JCW,2,2,Test,39,1,11-Dec-2009,13:05,4,4,1,1,20,1,Same,180,200,1,Same,1935.87282003136,1,0
mentalRotation,JCW,2,2,Test,40,0,11-Dec-2009,13:05,40,5,2,4,116,1,Same,90,206,1,Same,2630.63560100272,1,0
mentalRotation,JCW,2,2,Test,41,1,11-Dec-2009,13:05,74,4,1,2,52,2,Different,120,172,1,Same,4078.1491920352,0,1
mentalRotation,JCW,2,2,Test,42,0,11-Dec-2009,13:05,115,5,1,6,180,2,Different,330,150,2,Different,3715.51575895865,1,0
mentalRotation,JCW,2,2,Test,43,1,11-Dec-2009,13:05,114,4,1,6,180,2,Different,30,210,2,Different,4345.57675302494,1,0
mentalRotation,JCW,2,2,Test,44,0,11-Dec-2009,13:06,79,4,2,2,52,2,Different,150,202,1,Same,2919.61235099006,0,1
mentalRotation,JCW,2,2,Test,45,1,11-Dec-2009,13:06,99,4,2,4,116,2,Different,120,236,2,Different,2225.31009401428,1,0
mentalRotation,JCW,2,2,Test,46,0,11-Dec-2009,13:06,96,1,2,4,116,2,Different,330,86,1,Same,3193.71527101612,0,1
mentalRotation,JCW,2,2,Test,47,1,11-Dec-2009,13:06,2,2,1,1,20,1,Same,0,20,1,Same,2161.38732101535,1,0
mentalRotation,JCW,2,2,Test,48,0,11-Dec-2009,13:06,62,2,1,1,20,2,Different,210,230,2,Different,2021.85572101735,1,0
mentalRotation,JCW,2,2,Test,49,1,11-Dec-2009,13:06,53,3,1,6,180,1,Same,210,30,2,Different,3841.36432997184,0,1
mentalRotation,JCW,2,2,Test,50,0,11-Dec-2009,13:06,45,5,1,5,148,1,Same,120,268,2,Different,3512.48913700692,0,1
mentalRotation,JCW,2,2,Test,51,1,11-Dec-2009,13:06,14,4,1,2,52,1,Same,300,352,1,Same,2208.10852502473,1,0
mentalRotation,JCW,2,2,Test,52,0,11-Dec-2009,13:06,61,1,1,1,20,2,Different,180,200,1,Same,3821.58908498241,0,1
mentalRotation,JCW,2,2,Test,53,1,11-Dec-2009,13:06,82,2,1,3,84,2,Different,270,354,2,Different,5180.04983401624,1,0
mentalRotation,JCW,2,2,Test,54,0,11-Dec-2009,13:06,98,3,2,4,116,2,Different,0,116,2,Different,5867.4313640222,1,0
mentalRotation,JCW,2,2,Test,55,1,11-Dec-2009,13:07,6,1,2,1,20,1,Same,0,20,1,Same,1524.55218299292,1,0
mentalRotation,JCW,2,2,Test,56,0,11-Dec-2009,13:07,105,5,1,5,148,2,Different,180,328,1,Same,3016.668310971,0,1
mentalRotation,JCW,2,2,Test,57,1,11-Dec-2009,13:07,21,1,1,3,84,1,Same,120,204,1,Same,2703.76322098309,1,0
mentalRotation,JCW,2,2,Test,58,0,11-Dec-2009,13:07,67,2,2,1,20,2,Different,180,200,2,Different,2264.73086298211,1,0
mentalRotation,JCW,2,2,Test,59,1,11-Dec-2009,13:07,107,2,2,5,148,2,Different,60,208,1,Same,2336.63571102079,0,1
mentalRotation,JCW,2,2,Test,60,0,11-Dec-2009,13:07,33,3,1,4,116,1,Same,210,326,1,Same,5925.11976498645,1,0
mentalRotation,JCW,2,2,Test,61,1,11-Dec-2009,13:07,71,1,1,2,52,2,Different,210,262,2,Different,5459.81409802334,1,0
mentalRotation,JCW,2,2,Test,62,0,11-Dec-2009,13:07,119,4,2,6,180,2,Different,330,150,2,Different,3469.92112399312,1,0
mentalRotation,JCW,2,2,Test,63,1,11-Dec-2009,13:07,75,5,1,2,52,2,Different,0,52,2,Different,2557.66701401444,1,0
mentalRotation,JCW,2,2,Test,64,0,11-Dec-2009,13:07,73,3,1,2,52,2,Different,120,172,2,Different,3567.7490690141,1,0
mentalRotation,JCW,2,2,Test,65,1,11-Dec-2009,13:07,89,4,2,3,84,2,Different,0,84,2,Different,5622.51235800795,1,0
mentalRotation,JCW,2,2,Test,66,0,11-Dec-2009,13:08,68,3,2,1,20,2,Different,210,230,2,Different,5279.69488402596,1,0
mentalRotation,JCW,2,2,Test,67,1,11-Dec-2009,13:08,49,4,2,5,148,1,Same,60,208,1,Same,4139.49429499917,1,0
mentalRotation,JCW,2,2,Test,68,0,11-Dec-2009,13:08,36,1,2,4,116,1,Same,150,266,1,Same,4226.72952502035,1,0
mentalRotation,JCW,2,2,Test,69,1,11-Dec-2009,13:08,58,3,2,6,180,1,Same,60,240,1,Same,7246.9762180117,1,0
mentalRotation,JCW,2,2,Test,70,0,11-Dec-2009,13:08,3,3,1,1,20,1,Same,30,50,1,Same,2014.12980002351,1,0
mentalRotation,JCW,2,2,Test,71,1,11-Dec-2009,13:08,64,4,1,1,20,2,Different,60,80,2,Different,3013.79945699591,1,0
mentalRotation,JCW,2,2,Test,72,0,11-Dec-2009,13:08,60,5,2,6,180,1,Same,0,180,2,Different,3805.70104002254,0,1
mentalRotation,JCW,2,2,Test,73,1,11-Dec-2009,13:08,72,2,1,2,52,2,Different,0,52,2,Different,3141.5946049965,1,0
mentalRotation,JCW,2,2,Test,74,0,11-Dec-2009,13:08,7,2,2,1,20,1,Same,30,50,1,Same,2557.95636499533,1,0
mentalRotation,JCW,2,2,Test,75,1,11-Dec-2009,13:08,48,3,2,5,148,1,Same,210,358,2,Different,2807.31392698362,0,1
mentalRotation,JCW,2,2,Test,76,0,11-Dec-2009,13:09,29,4,2,3,84,1,Same,150,234,1,Same,2509.75374499103,1,0
mentalRotation,JCW,2,2,Test,77,1,11-Dec-2009,13:09,81,1,1,3,84,2,Different,90,174,2,Different,2461.87290700618,1,0
mentalRotation,JCW,2,2,Test,78,0,11-Dec-2009,13:09,46,1,2,5,148,1,Same,120,268,1,Same,2680.37819798337,1,0
mentalRotation,JCW,2,2,Test,79,1,11-Dec-2009,13:09,57,2,2,6,180,1,Same,150,330,1,Same,3701.25577895669,1,0
mentalRotation,JCW,2,2,Test,80,0,11-Dec-2009,13:09,24,4,1,3,84,1,Same,180,264,1,Same,3507.63933500275,1,0
