exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,LL1,2,1,Practice,1,1,07-May-2010,16:32,0,4,1,0,20,1,Same,30,50,1,Same,1202.98791899768,1,0
mentalRotation,LL1,2,1,Practice,2,0,07-May-2010,16:33,0,4,1,0,20,2,Different,240,260,2,Different,3412.28500899888,1,0
mentalRotation,LL1,2,1,Practice,3,1,07-May-2010,16:33,0,1,2,0,20,2,Different,330,350,2,Different,2981.31002100126,1,0
mentalRotation,LL1,2,1,Practice,4,0,07-May-2010,16:33,0,3,1,0,20,1,Same,0,20,1,Same,1296.76974500035,1,0
mentalRotation,LL1,2,1,Practice,5,1,07-May-2010,16:33,0,3,2,0,52,1,Same,0,52,1,Same,1273.243697,1,0
mentalRotation,LL1,2,1,Practice,6,0,07-May-2010,16:33,0,2,1,0,52,2,Different,60,112,2,Different,2419.58063000129,1,0
mentalRotation,LL1,2,1,Practice,7,1,07-May-2010,16:33,0,4,2,0,52,2,Different,300,352,2,Different,3842.42455399726,1,0
mentalRotation,LL1,2,1,Practice,8,0,07-May-2010,16:33,0,1,2,0,52,1,Same,240,292,1,Same,1271.64673800144,1,0
mentalRotation,LL1,2,1,Practice,9,1,07-May-2010,16:33,0,5,1,0,84,2,Different,150,234,2,Different,4330.89974800168,1,0
mentalRotation,LL1,2,1,Practice,10,0,07-May-2010,16:33,0,1,1,0,84,1,Same,180,264,1,Same,1504.3094749999,1,0
mentalRotation,LL1,2,1,Practice,11,1,07-May-2010,16:33,0,1,2,0,84,2,Different,60,144,2,Different,2994.97851000342,1,0
mentalRotation,LL1,2,1,Practice,12,0,07-May-2010,16:33,0,2,2,0,84,1,Same,270,354,1,Same,2562.21045200073,1,0
mentalRotation,LL1,2,1,Practice,13,1,07-May-2010,16:33,0,5,1,0,116,2,Different,270,26,1,Same,4591.4898939991,0,1
mentalRotation,LL1,2,1,Practice,14,0,07-May-2010,16:33,0,3,1,0,116,1,Same,150,266,1,Same,1783.71684300146,1,0
mentalRotation,LL1,2,1,Practice,15,1,07-May-2010,16:34,0,2,2,0,116,2,Different,270,26,1,Same,3101.38540800108,0,1
mentalRotation,LL1,2,1,Practice,16,0,07-May-2010,16:34,0,1,2,0,116,1,Same,270,26,1,Same,1907.56028000033,1,0
mentalRotation,LL1,2,1,Practice,17,1,07-May-2010,16:34,0,2,2,0,148,1,Same,210,358,1,Same,5311.77432000186,1,0
mentalRotation,LL1,2,1,Practice,18,0,07-May-2010,16:34,0,2,1,0,148,2,Different,330,118,1,Same,6309.68189799751,0,1
mentalRotation,LL1,2,1,Practice,19,1,07-May-2010,16:34,0,4,1,0,148,2,Different,210,358,1,Same,1991.5170610002,0,1
mentalRotation,LL1,2,1,Practice,20,0,07-May-2010,16:34,0,2,2,0,148,1,Same,30,178,1,Same,2872.26916200234,1,0
mentalRotation,LL1,2,1,Practice,21,1,07-May-2010,16:34,0,2,1,0,180,1,Same,90,270,2,Different,4397.78926399958,0,1
mentalRotation,LL1,2,1,Practice,22,0,07-May-2010,16:34,0,5,1,0,180,2,Different,300,120,2,Different,6157.21749300064,1,0
mentalRotation,LL1,2,1,Practice,23,1,07-May-2010,16:34,0,3,2,0,180,1,Same,150,330,1,Same,4406.66834299918,1,0
mentalRotation,LL1,2,1,Practice,24,0,07-May-2010,16:34,0,1,1,0,180,2,Different,240,60,2,Different,2605.17143600009,1,0
