exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,LM1,1,1,Practice,1,1,03-May-2010,10:16,0,1,2,0,20,1,Same,210,230,1,Same,1709.28517999999,1,0
mentalRotation,LM1,1,1,Practice,2,0,03-May-2010,10:16,0,2,2,0,20,1,Same,150,170,1,Same,1589.278597,1,0
mentalRotation,LM1,1,1,Practice,3,1,03-May-2010,10:16,0,1,2,0,20,2,Different,150,170,2,Different,1800.960739,1,0
mentalRotation,LM1,1,1,Practice,4,0,03-May-2010,10:16,0,5,2,0,20,2,Different,30,50,2,Different,1889.945027,1,0
mentalRotation,LM1,1,1,Practice,5,1,03-May-2010,10:16,0,3,1,0,52,2,Different,90,142,1,Same,2872.214906,0,1
mentalRotation,LM1,1,1,Practice,6,0,03-May-2010,10:16,0,3,1,0,52,2,Different,240,292,2,Different,4342.88219699999,1,0
mentalRotation,LM1,1,1,Practice,7,1,03-May-2010,10:16,0,1,1,0,52,1,Same,120,172,1,Same,1892.96977999999,1,0
mentalRotation,LM1,1,1,Practice,8,0,03-May-2010,10:16,0,5,2,0,52,1,Same,300,352,1,Same,1535.82585000001,1,0
mentalRotation,LM1,1,1,Practice,9,1,03-May-2010,10:16,0,4,2,0,84,1,Same,210,294,1,Same,2490.219849,1,0
mentalRotation,LM1,1,1,Practice,10,0,03-May-2010,10:16,0,2,1,0,84,2,Different,240,324,2,Different,2223.577409,1,0
mentalRotation,LM1,1,1,Practice,11,1,03-May-2010,10:16,0,2,1,0,84,2,Different,60,144,1,Same,2788.50894999999,0,1
mentalRotation,LM1,1,1,Practice,12,0,03-May-2010,10:16,0,1,2,0,84,1,Same,120,204,1,Same,2348.47677899998,1,0
mentalRotation,LM1,1,1,Practice,13,1,03-May-2010,10:16,0,1,1,0,116,1,Same,300,56,1,Same,2487.49702000001,1,0
mentalRotation,LM1,1,1,Practice,14,0,03-May-2010,10:16,0,3,1,0,116,2,Different,240,356,2,Different,3800.83455600001,1,0
mentalRotation,LM1,1,1,Practice,15,1,03-May-2010,10:17,0,2,2,0,116,1,Same,270,26,1,Same,2830.321277,1,0
mentalRotation,LM1,1,1,Practice,16,0,03-May-2010,10:17,0,3,1,0,116,2,Different,180,296,1,Same,2472.74650899999,0,1
mentalRotation,LM1,1,1,Practice,17,1,03-May-2010,10:17,0,3,2,0,148,2,Different,60,208,2,Different,3727.93854699998,1,0
mentalRotation,LM1,1,1,Practice,18,0,03-May-2010,10:17,0,3,1,0,148,1,Same,0,148,1,Same,4305.67371999999,1,0
mentalRotation,LM1,1,1,Practice,19,1,03-May-2010,10:17,0,3,1,0,148,1,Same,180,328,1,Same,3523.84809,1,0
mentalRotation,LM1,1,1,Practice,20,0,03-May-2010,10:17,0,1,2,0,148,2,Different,120,268,2,Different,3432.953027,1,0
mentalRotation,LM1,1,1,Practice,21,1,03-May-2010,10:17,0,5,1,0,180,2,Different,120,300,2,Different,3793.72532299999,1,0
mentalRotation,LM1,1,1,Practice,22,0,03-May-2010,10:17,0,5,1,0,180,2,Different,150,330,2,Different,3929.31339,1,0
mentalRotation,LM1,1,1,Practice,23,1,03-May-2010,10:17,0,1,2,0,180,1,Same,90,270,2,Different,2470.69683999999,0,1
mentalRotation,LM1,1,1,Practice,24,0,03-May-2010,10:17,0,5,1,0,180,1,Same,30,210,1,Same,3193.90835800002,1,0
mentalRotation,LM1,1,2,Test,25,1,03-May-2010,10:18,38,3,2,4,116,1,Same,240,356,1,Same,1960.36007400002,1,0
mentalRotation,LM1,1,2,Test,26,0,03-May-2010,10:18,19,4,2,2,52,1,Same,330,22,1,Same,1698.845605,1,0
mentalRotation,LM1,1,2,Test,27,1,03-May-2010,10:18,67,2,2,1,20,2,Different,120,140,2,Different,3126.62568600001,1,0
