exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,LPT,1,1,Practice,1,1,19-Feb-2010,16:11,0,5,2,0,20,1,Same,240,260,1,Same,2179.01276994962,1,0
mentalRotation,LPT,1,1,Practice,2,0,19-Feb-2010,16:11,0,1,1,0,20,1,Same,120,140,1,Same,4600.36958497949,1,0
mentalRotation,LPT,1,1,Practice,3,1,19-Feb-2010,16:11,0,5,1,0,20,2,Different,240,260,2,Different,3022.15975895524,1,0
mentalRotation,LPT,1,1,Practice,4,0,19-Feb-2010,16:11,0,3,2,0,20,2,Different,90,110,1,Same,1595.36690509412,0,1
mentalRotation,LPT,1,1,Practice,5,1,19-Feb-2010,16:11,0,4,1,0,52,2,Different,180,232,2,Different,3892.88374199532,1,0
mentalRotation,LPT,1,1,Practice,6,0,19-Feb-2010,16:11,0,2,2,0,52,1,Same,150,202,1,Same,2806.91003403626,1,0
mentalRotation,LPT,1,1,Practice,7,1,19-Feb-2010,16:11,0,5,1,0,52,2,Different,240,292,2,Different,2447.37349892966,1,0
mentalRotation,LPT,1,1,Practice,8,0,19-Feb-2010,16:11,0,5,2,0,52,1,Same,90,142,1,Same,3442.67393893097,1,0
mentalRotation,LPT,1,1,Practice,9,1,19-Feb-2010,16:12,0,5,2,0,84,2,Different,210,294,2,Different,1671.38703202363,1,0
mentalRotation,LPT,1,1,Practice,10,0,19-Feb-2010,16:12,0,5,1,0,84,2,Different,330,54,2,Different,2079.17768508196,1,0
mentalRotation,LPT,1,1,Practice,11,1,19-Feb-2010,16:12,0,5,2,0,84,1,Same,150,234,1,Same,3021.65373892058,1,0
mentalRotation,LPT,1,1,Practice,12,0,19-Feb-2010,16:12,0,1,1,0,84,1,Same,90,174,1,Same,1914.77477410808,1,0
mentalRotation,LPT,1,1,Practice,13,1,19-Feb-2010,16:12,0,5,1,0,116,2,Different,60,176,2,Different,1922.55248699803,1,0
mentalRotation,LPT,1,1,Practice,14,0,19-Feb-2010,16:12,0,1,1,0,116,2,Different,240,356,2,Different,2473.86544407345,1,0
mentalRotation,LPT,1,1,Practice,15,1,19-Feb-2010,16:12,0,2,2,0,116,1,Same,30,146,2,Different,2820.6876500044,0,1
mentalRotation,LPT,1,1,Practice,16,0,19-Feb-2010,16:12,0,3,1,0,116,1,Same,90,206,1,Same,2619.33207896072,1,0
mentalRotation,LPT,1,1,Practice,17,1,19-Feb-2010,16:12,0,3,2,0,148,1,Same,90,238,1,Same,1388.98970209993,1,0
mentalRotation,LPT,1,1,Practice,18,0,19-Feb-2010,16:12,0,2,2,0,148,2,Different,270,58,2,Different,1527.35577500425,1,0
mentalRotation,LPT,1,1,Practice,19,1,19-Feb-2010,16:12,0,4,2,0,148,2,Different,60,208,1,Same,3489.63615705725,0,1
mentalRotation,LPT,1,1,Practice,20,0,19-Feb-2010,16:12,0,5,1,0,148,1,Same,0,148,1,Same,3578.91196990386,1,0
mentalRotation,LPT,1,1,Practice,21,1,19-Feb-2010,16:12,0,1,1,0,180,2,Different,270,90,2,Different,2157.27600303944,1,0
mentalRotation,LPT,1,1,Practice,22,0,19-Feb-2010,16:13,0,4,1,0,180,2,Different,60,240,2,Different,2973.40203588828,1,0
mentalRotation,LPT,1,1,Practice,23,1,19-Feb-2010,16:13,0,3,2,0,180,1,Same,240,60,1,Same,3282.86619589198,1,0
mentalRotation,LPT,1,1,Practice,24,0,19-Feb-2010,16:13,0,1,2,0,180,1,Same,210,30,2,Different,3941.89739204012,0,1
mentalRotation,LPT,1,2,Test,25,1,19-Feb-2010,16:13,21,1,1,3,84,1,Same,330,54,2,Different,3220.05273506511,0,1
mentalRotation,LPT,1,2,Test,26,0,19-Feb-2010,16:13,22,2,1,3,84,1,Same,90,174,1,Same,1624.0128360223,1,0
mentalRotation,LPT,1,2,Test,27,1,19-Feb-2010,16:13,29,4,2,3,84,1,Same,150,234,1,Same,2275.59017203748,1,0
mentalRotation,LPT,1,2,Test,28,0,19-Feb-2010,16:13,28,3,2,3,84,1,Same,270,354,1,Same,1900.62794310506,1,0
mentalRotation,LPT,1,2,Test,29,1,19-Feb-2010,16:13,34,4,1,4,116,1,Same,150,266,1,Same,2001.80237798486,1,0
mentalRotation,LPT,1,2,Test,30,0,19-Feb-2010,16:13,61,1,1,1,20,2,Different,120,140,2,Different,1421.00903205574,1,0
mentalRotation,LPT,1,2,Test,31,1,19-Feb-2010,16:13,67,2,2,1,20,2,Different,120,140,2,Different,3906.22594498564,1,0
mentalRotation,LPT,1,2,Test,32,0,19-Feb-2010,16:13,47,2,2,5,148,1,Same,90,238,1,Same,2161.01943701506,1,0
mentalRotation,LPT,1,2,Test,33,1,19-Feb-2010,16:13,115,5,1,6,180,2,Different,0,180,2,Different,1651.9574499689,1,0
mentalRotation,LPT,1,2,Test,34,0,19-Feb-2010,16:13,76,1,2,2,52,2,Different,30,82,2,Different,2493.54067293461,1,0
mentalRotation,LPT,1,2,Test,35,1,19-Feb-2010,16:14,39,4,2,4,116,1,Same,150,266,1,Same,1883.01759795286,1,0
mentalRotation,LPT,1,2,Test,36,0,19-Feb-2010,16:14,26,1,2,3,84,1,Same,90,174,2,Different,2061.30918103736,0,1
mentalRotation,LPT,1,2,Test,37,1,19-Feb-2010,16:14,37,2,2,4,116,1,Same,0,116,1,Same,2275.8833830012,1,0
mentalRotation,LPT,1,2,Test,38,0,19-Feb-2010,16:14,51,1,1,6,180,1,Same,30,210,2,Different,1485.22629903164,0,1
mentalRotation,LPT,1,2,Test,39,1,19-Feb-2010,16:14,11,1,1,2,52,1,Same,0,52,1,Same,2126.83338008355,1,0
mentalRotation,LPT,1,2,Test,40,0,19-Feb-2010,16:14,96,1,2,4,116,2,Different,210,326,2,Different,2605.67747894675,1,0
mentalRotation,LPT,1,2,Test,41,1,19-Feb-2010,16:14,60,5,2,6,180,1,Same,90,270,2,Different,3088.09725800529,0,1
mentalRotation,LPT,1,2,Test,42,0,19-Feb-2010,16:14,33,3,1,4,116,1,Same,60,176,1,Same,1673.39092306793,1,0
mentalRotation,LPT,1,2,Test,43,1,19-Feb-2010,16:14,83,3,1,3,84,2,Different,120,204,1,Same,1432.36658291426,0,1
mentalRotation,LPT,1,2,Test,44,0,19-Feb-2010,16:14,13,3,1,2,52,1,Same,330,22,1,Same,2256.17276097182,1,0
mentalRotation,LPT,1,2,Test,45,1,19-Feb-2010,16:14,12,2,1,2,52,1,Same,210,262,1,Same,2512.07700092345,1,0
mentalRotation,LPT,1,2,Test,46,0,19-Feb-2010,16:14,43,3,1,5,148,1,Same,210,358,2,Different,1768.22746603284,0,1
mentalRotation,LPT,1,2,Test,47,1,19-Feb-2010,16:14,86,1,2,3,84,2,Different,210,294,2,Different,2527.58196508512,1,0
mentalRotation,LPT,1,2,Test,48,0,19-Feb-2010,16:15,46,1,2,5,148,1,Same,90,238,1,Same,2607.18821501359,1,0
mentalRotation,LPT,1,2,Test,49,1,19-Feb-2010,16:15,52,2,1,6,180,1,Same,60,240,2,Different,2438.17720189691,0,1
mentalRotation,LPT,1,2,Test,50,0,19-Feb-2010,16:15,17,2,2,2,52,1,Same,270,322,1,Same,1857.65079804696,1,0
mentalRotation,LPT,1,2,Test,51,1,19-Feb-2010,16:15,69,4,2,1,20,2,Different,210,230,2,Different,1626.28377904184,1,0
mentalRotation,LPT,1,2,Test,52,0,19-Feb-2010,16:15,84,4,1,3,84,2,Different,180,264,1,Same,1949.44926700555,0,1
mentalRotation,LPT,1,2,Test,53,1,19-Feb-2010,16:15,107,2,2,5,148,2,Different,150,298,1,Same,4847.81853097957,0,1
