exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,MAE,2,1,Practice,1,1,09-Feb-2010,11:14,0,5,2,0,20,2,Different,60,80,2,Different,2409.26901390776,1,0
mentalRotation,MAE,2,1,Practice,2,0,09-Feb-2010,11:14,0,4,1,0,20,1,Same,270,290,1,Same,2957.72280124947,1,0
mentalRotation,MAE,2,1,Practice,3,1,09-Feb-2010,11:14,0,1,1,0,20,1,Same,0,20,1,Same,2114.85955491662,1,0
mentalRotation,MAE,2,1,Practice,4,0,09-Feb-2010,11:15,0,4,2,0,20,2,Different,210,230,2,Different,4935.45382097363,1,0
mentalRotation,MAE,2,1,Practice,5,1,09-Feb-2010,11:15,0,4,1,0,52,2,Different,120,172,1,Same,3363.7377852574,0,1
mentalRotation,MAE,2,1,Practice,6,0,09-Feb-2010,11:15,0,2,2,0,52,2,Different,300,352,2,Different,3883.64530401304,1,0
mentalRotation,MAE,2,1,Practice,7,1,09-Feb-2010,11:15,0,3,2,0,52,1,Same,330,22,2,Different,2771.9336822629,0,1
mentalRotation,MAE,2,1,Practice,8,0,09-Feb-2010,11:15,0,2,1,0,52,1,Same,120,172,1,Same,3247.35842179507,1,0
mentalRotation,MAE,2,1,Practice,9,1,09-Feb-2010,11:15,0,3,1,0,84,1,Same,180,264,2,Different,5690.86317624897,0,1
mentalRotation,MAE,2,1,Practice,10,0,09-Feb-2010,11:15,0,5,2,0,84,1,Same,270,354,2,Different,2807.59784393013,0,1
mentalRotation,MAE,2,1,Practice,11,1,09-Feb-2010,11:15,0,1,1,0,84,2,Different,150,234,2,Different,6092.65522891656,1,0
mentalRotation,MAE,2,1,Practice,12,0,09-Feb-2010,11:15,0,5,2,0,84,2,Different,0,84,1,Same,2588.46011385322,0,1
mentalRotation,MAE,2,1,Practice,13,1,09-Feb-2010,11:15,0,2,1,0,116,1,Same,240,356,2,Different,2612.73774504662,0,1
mentalRotation,MAE,2,1,Practice,14,0,09-Feb-2010,11:16,0,3,2,0,116,2,Different,60,176,1,Same,2012.51465221867,0,1
mentalRotation,MAE,2,1,Practice,15,1,09-Feb-2010,11:16,0,4,2,0,116,2,Different,270,26,1,Same,5631.33573718369,0,1
mentalRotation,MAE,2,1,Practice,16,0,09-Feb-2010,11:16,0,2,2,0,116,1,Same,90,206,2,Different,3807.53124086186,0,1
mentalRotation,MAE,2,1,Practice,17,1,09-Feb-2010,11:16,0,3,1,0,148,2,Different,120,268,2,Different,3511.63905533031,1,0
mentalRotation,MAE,2,1,Practice,18,0,09-Feb-2010,11:16,0,4,1,0,148,1,Same,330,118,1,Same,3691.17771694437,1,0
