exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,MED,1,1,Practice,1,1,05-Mar-2010,16:15,0,3,2,0,20,2,Different,210,230,2,Different,10898.1954639894,1,0
mentalRotation,MED,1,1,Practice,2,0,05-Mar-2010,16:15,0,5,1,0,20,2,Different,90,110,2,Different,16047.8426070185,1,0
mentalRotation,MED,1,1,Practice,3,1,05-Mar-2010,16:16,0,1,1,0,20,1,Same,180,200,1,Same,4557.90679802885,1,0
mentalRotation,MED,1,1,Practice,4,0,05-Mar-2010,16:16,0,4,1,0,20,1,Same,0,20,1,Same,4493.72423801105,1,0
mentalRotation,MED,1,1,Practice,5,1,05-Mar-2010,16:16,0,3,2,0,52,2,Different,330,22,2,Different,5062.29134503519,1,0
mentalRotation,MED,1,1,Practice,6,0,05-Mar-2010,16:16,0,5,1,0,52,1,Same,90,142,1,Same,5233.58084895881,1,0
mentalRotation,MED,1,1,Practice,7,1,05-Mar-2010,16:16,0,5,1,0,52,2,Different,270,322,2,Different,4499.93328098208,1,0
mentalRotation,MED,1,1,Practice,8,0,05-Mar-2010,16:16,0,5,1,0,52,1,Same,120,172,1,Same,2165.68950802321,1,0
mentalRotation,MED,1,1,Practice,9,1,05-Mar-2010,16:16,0,3,2,0,84,2,Different,120,204,2,Different,3590.10628302349,1,0
mentalRotation,MED,1,1,Practice,10,0,05-Mar-2010,16:16,0,1,2,0,84,1,Same,120,204,1,Same,7967.42197597632,1,0
mentalRotation,MED,1,1,Practice,11,1,05-Mar-2010,16:17,0,5,1,0,84,1,Same,90,174,1,Same,2959.27431102609,1,0
mentalRotation,MED,1,1,Practice,12,0,05-Mar-2010,16:17,0,3,2,0,84,2,Different,330,54,2,Different,7723.03819499211,1,0
mentalRotation,MED,1,1,Practice,13,1,05-Mar-2010,16:17,0,3,1,0,116,1,Same,60,176,2,Different,8134.82478499645,0,1
mentalRotation,MED,1,1,Practice,14,0,05-Mar-2010,16:17,0,4,2,0,116,2,Different,240,356,2,Different,3655.41699202731,1,0
mentalRotation,MED,1,1,Practice,15,1,05-Mar-2010,16:17,0,2,1,0,116,2,Different,300,56,2,Different,7325.69816702744,1,0
mentalRotation,MED,1,1,Practice,16,0,05-Mar-2010,16:17,0,5,1,0,116,1,Same,30,146,1,Same,13507.9240060295,1,0
mentalRotation,MED,1,1,Practice,17,1,05-Mar-2010,16:18,0,2,1,0,148,1,Same,120,268,1,Same,21554.2899190332,1,0
mentalRotation,MED,1,1,Practice,18,0,05-Mar-2010,16:18,0,4,2,0,148,1,Same,240,28,1,Same,7664.74269301398,1,0
mentalRotation,MED,1,1,Practice,19,1,05-Mar-2010,16:18,0,1,1,0,148,2,Different,150,298,2,Different,15401.9402259728,1,0
mentalRotation,MED,1,1,Practice,20,0,05-Mar-2010,16:18,0,1,1,0,148,2,Different,60,208,2,Different,8330.79043700127,1,0
mentalRotation,MED,1,1,Practice,21,1,05-Mar-2010,16:19,0,3,1,0,180,1,Same,270,90,1,Same,15614.1035000328,1,0
mentalRotation,MED,1,1,Practice,22,0,05-Mar-2010,16:19,0,3,1,0,180,2,Different,210,30,2,Different,14211.2352959812,1,0
mentalRotation,MED,1,1,Practice,23,1,05-Mar-2010,16:19,0,5,1,0,180,2,Different,0,180,2,Different,11462.7794359694,1,0
mentalRotation,MED,1,1,Practice,24,0,05-Mar-2010,16:19,0,1,1,0,180,1,Same,90,270,1,Same,13554.3530749856,1,0
mentalRotation,MED,1,2,Test,25,1,05-Mar-2010,16:20,90,5,2,3,84,2,Different,330,54,2,Different,11485.4862339562,1,0
mentalRotation,MED,1,2,Test,26,0,05-Mar-2010,16:20,120,5,2,6,180,2,Different,330,150,2,Different,7461.13410202088,1,0
mentalRotation,MED,1,2,Test,27,1,05-Mar-2010,16:20,69,4,2,1,20,2,Different,30,50,2,Different,9055.32253999263,1,0
mentalRotation,MED,1,2,Test,28,0,05-Mar-2010,16:20,103,3,1,5,148,2,Different,30,178,2,Different,8175.85741903167,1,0
mentalRotation,MED,1,2,Test,29,1,05-Mar-2010,16:20,62,2,1,1,20,2,Different,90,110,2,Different,8827.05647399416,1,0
