exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,MEM,1,1,Practice,1,1,02-Apr-2010,16:05,0,2,1,0,20,1,Same,210,230,1,Same,2850.88834981434,1,0
mentalRotation,MEM,1,1,Practice,2,0,02-Apr-2010,16:05,0,5,2,0,20,1,Same,210,230,1,Same,1401.44988894463,1,0
mentalRotation,MEM,1,1,Practice,3,1,02-Apr-2010,16:05,0,4,1,0,20,2,Different,30,50,1,Same,1724.87104893662,0,1
mentalRotation,MEM,1,1,Practice,4,0,02-Apr-2010,16:05,0,2,1,0,20,2,Different,60,80,2,Different,3771.72247087583,1,0
mentalRotation,MEM,1,1,Practice,5,1,02-Apr-2010,16:06,0,4,2,0,52,2,Different,30,82,1,Same,6793.09333511628,0,1
mentalRotation,MEM,1,1,Practice,6,0,02-Apr-2010,16:06,0,3,1,0,52,2,Different,240,292,1,Same,2731.91202408634,0,1
mentalRotation,MEM,1,1,Practice,7,1,02-Apr-2010,16:06,0,1,2,0,52,1,Same,270,322,1,Same,2110.67462083884,1,0
mentalRotation,MEM,1,1,Practice,8,0,02-Apr-2010,16:06,0,5,2,0,52,1,Same,330,22,1,Same,2394.98631400056,1,0
mentalRotation,MEM,1,1,Practice,9,1,02-Apr-2010,16:06,0,5,1,0,84,1,Same,240,324,2,Different,4601.21070197783,0,1
mentalRotation,MEM,1,1,Practice,10,0,02-Apr-2010,16:06,0,5,1,0,84,2,Different,0,84,1,Same,3539.0446940437,0,1
mentalRotation,MEM,1,1,Practice,11,1,02-Apr-2010,16:06,0,2,2,0,84,1,Same,180,264,1,Same,10125.0434459653,1,0
mentalRotation,MEM,1,1,Practice,12,0,02-Apr-2010,16:06,0,4,2,0,84,2,Different,300,24,2,Different,2773.10413797386,1,0
mentalRotation,MEM,1,1,Practice,13,1,02-Apr-2010,16:06,0,5,2,0,116,2,Different,30,146,1,Same,7202.35734805465,0,1
mentalRotation,MEM,1,1,Practice,14,0,02-Apr-2010,16:07,0,4,1,0,116,1,Same,30,146,1,Same,4250.07559196092,1,0
mentalRotation,MEM,1,1,Practice,15,1,02-Apr-2010,16:07,0,5,2,0,116,2,Different,90,206,2,Different,4780.44130420312,1,0
mentalRotation,MEM,1,1,Practice,16,0,02-Apr-2010,16:07,0,4,2,0,116,1,Same,240,356,1,Same,3979.63837790303,1,0
mentalRotation,MEM,1,1,Practice,17,1,02-Apr-2010,16:07,0,5,2,0,148,1,Same,270,58,1,Same,3448.28669005074,1,0
mentalRotation,MEM,1,1,Practice,18,0,02-Apr-2010,16:07,0,1,1,0,148,2,Different,150,298,2,Different,5652.05654292367,1,0
mentalRotation,MEM,1,1,Practice,19,1,02-Apr-2010,16:07,0,5,2,0,148,1,Same,60,208,2,Different,3993.41171514243,0,1
mentalRotation,MEM,1,1,Practice,20,0,02-Apr-2010,16:07,0,2,2,0,148,2,Different,30,178,2,Different,3117.03365691938,1,0
mentalRotation,MEM,1,1,Practice,21,1,02-Apr-2010,16:07,0,1,2,0,180,1,Same,210,30,2,Different,2825.65804407932,0,1
mentalRotation,MEM,1,1,Practice,22,0,02-Apr-2010,16:07,0,2,1,0,180,2,Different,270,90,1,Same,4360.67808303051,0,1
mentalRotation,MEM,1,1,Practice,23,1,02-Apr-2010,16:08,0,4,2,0,180,2,Different,180,0,1,Same,8949.68129694462,0,1
mentalRotation,MEM,1,1,Practice,24,0,02-Apr-2010,16:08,0,5,2,0,180,1,Same,150,330,1,Same,1790.78958788887,1,0
mentalRotation,MEM,1,2,Test,25,1,02-Apr-2010,16:08,33,3,1,4,116,1,Same,120,236,1,Same,3744.05509792268,1,0
mentalRotation,MEM,1,2,Test,26,0,02-Apr-2010,16:08,29,4,2,3,84,1,Same,150,234,1,Same,2821.97379297577,1,0
mentalRotation,MEM,1,2,Test,27,1,02-Apr-2010,16:08,95,5,1,4,116,2,Different,60,176,2,Different,4704.92950710468,1,0
mentalRotation,MEM,1,2,Test,28,0,02-Apr-2010,16:08,117,2,2,6,180,2,Different,270,90,1,Same,6022.76547905058,0,1
mentalRotation,MEM,1,2,Test,29,1,02-Apr-2010,16:08,27,2,2,3,84,1,Same,0,84,1,Same,3994.65663684532,1,0
mentalRotation,MEM,1,2,Test,30,0,02-Apr-2010,16:08,89,4,2,3,84,2,Different,210,294,2,Different,2683.09512012638,1,0
mentalRotation,MEM,1,2,Test,31,1,02-Apr-2010,16:08,30,5,2,3,84,1,Same,30,114,1,Same,3466.97852108628,1,0
mentalRotation,MEM,1,2,Test,32,0,02-Apr-2010,16:09,50,5,2,5,148,1,Same,60,208,2,Different,7105.14773381874,0,1
mentalRotation,MEM,1,2,Test,33,1,02-Apr-2010,16:09,72,2,1,2,52,2,Different,330,22,2,Different,5319.6551471483,1,0
mentalRotation,MEM,1,2,Test,34,0,02-Apr-2010,16:09,101,1,1,5,148,2,Different,150,298,1,Same,7993.28160891309,0,1
mentalRotation,MEM,1,2,Test,35,1,02-Apr-2010,16:09,37,2,2,4,116,1,Same,300,56,1,Same,1660.77149496414,1,0
mentalRotation,MEM,1,2,Test,36,0,02-Apr-2010,16:09,59,4,2,6,180,1,Same,30,210,1,Same,3559.89399179816,1,0
mentalRotation,MEM,1,2,Test,37,1,02-Apr-2010,16:09,79,4,2,2,52,2,Different,150,202,1,Same,5656.89466497861,0,1
mentalRotation,MEM,1,2,Test,38,0,02-Apr-2010,16:09,100,5,2,4,116,2,Different,30,146,2,Different,6492.77896503918,1,0
mentalRotation,MEM,1,2,Test,39,1,02-Apr-2010,16:09,56,1,2,6,180,1,Same,180,0,1,Same,4969.15674605407,1,0
mentalRotation,MEM,1,2,Test,40,0,02-Apr-2010,16:10,109,4,2,5,148,2,Different,300,88,1,Same,6216.64703311399,0,1
mentalRotation,MEM,1,2,Test,41,1,02-Apr-2010,16:10,36,1,2,4,116,1,Same,90,206,1,Same,3209.73975607194,1,0
mentalRotation,MEM,1,2,Test,42,0,02-Apr-2010,16:10,118,3,2,6,180,2,Different,270,90,2,Different,6209.36281303875,1,0
mentalRotation,MEM,1,2,Test,43,1,02-Apr-2010,16:10,107,2,2,5,148,2,Different,30,178,1,Same,6638.5648730211,0,1
mentalRotation,MEM,1,2,Test,44,0,02-Apr-2010,16:10,76,1,2,2,52,2,Different,330,22,1,Same,4298.22687385604,0,1
mentalRotation,MEM,1,2,Test,45,1,02-Apr-2010,16:10,114,4,1,6,180,2,Different,330,150,1,Same,4276.72187797725,0,1
mentalRotation,MEM,1,2,Test,46,0,02-Apr-2010,16:10,22,2,1,3,84,1,Same,210,294,1,Same,3570.65800903365,1,0
mentalRotation,MEM,1,2,Test,47,1,02-Apr-2010,16:10,24,4,1,3,84,1,Same,330,54,1,Same,2564.66336292215,1,0
mentalRotation,MEM,1,2,Test,48,0,02-Apr-2010,16:10,20,5,2,2,52,1,Same,30,82,1,Same,3305.85788795725,1,0
mentalRotation,MEM,1,2,Test,49,1,02-Apr-2010,16:11,5,5,1,1,20,1,Same,60,80,1,Same,2442.78815691359,1,0
mentalRotation,MEM,1,2,Test,50,0,02-Apr-2010,16:11,113,3,1,6,180,2,Different,180,0,2,Different,7422.42377181537,1,0
mentalRotation,MEM,1,2,Test,51,1,02-Apr-2010,16:11,46,1,2,5,148,1,Same,300,88,1,Same,5291.64098389447,1,0
mentalRotation,MEM,1,2,Test,52,0,02-Apr-2010,16:11,39,4,2,4,116,1,Same,30,146,1,Same,2586.71468799002,1,0
mentalRotation,MEM,1,2,Test,53,1,02-Apr-2010,16:11,42,2,1,5,148,1,Same,180,328,1,Same,3455.13384300284,1,0
mentalRotation,MEM,1,2,Test,54,0,02-Apr-2010,16:11,111,1,1,6,180,2,Different,120,300,2,Different,7925.04344298504,1,0
mentalRotation,MEM,1,2,Test,55,1,02-Apr-2010,16:11,74,4,1,2,52,2,Different,270,322,2,Different,7437.98714806326,1,0
mentalRotation,MEM,1,2,Test,56,0,02-Apr-2010,16:11,69,4,2,1,20,2,Different,150,170,2,Different,6483.94804704003,1,0
mentalRotation,MEM,1,2,Test,57,1,02-Apr-2010,16:12,9,4,2,1,20,1,Same,60,80,1,Same,2298.7567470409,1,0
mentalRotation,MEM,1,2,Test,58,0,02-Apr-2010,16:12,96,1,2,4,116,2,Different,120,236,1,Same,5776.38698020019,0,1
mentalRotation,MEM,1,2,Test,59,1,02-Apr-2010,16:12,77,2,2,2,52,2,Different,180,232,2,Different,3814.1914200969,1,0
mentalRotation,MEM,1,2,Test,60,0,02-Apr-2010,16:12,104,4,1,5,148,2,Different,30,178,1,Same,4199.50034911744,0,1
mentalRotation,MEM,1,2,Test,61,1,02-Apr-2010,16:12,65,5,1,1,20,2,Different,90,110,2,Different,5423.44579496421,1,0
mentalRotation,MEM,1,2,Test,62,0,02-Apr-2010,16:12,19,4,2,2,52,1,Same,330,22,1,Same,2876.60042312928,1,0
mentalRotation,MEM,1,2,Test,63,1,02-Apr-2010,16:12,32,2,1,4,116,1,Same,120,236,1,Same,2656.64818091318,1,0
mentalRotation,MEM,1,2,Test,64,0,02-Apr-2010,16:12,53,3,1,6,180,1,Same,90,270,2,Different,4221.12367209047,0,1
mentalRotation,MEM,1,2,Test,65,1,02-Apr-2010,16:12,82,2,1,3,84,2,Different,210,294,2,Different,3777.3209430743,1,0
mentalRotation,MEM,1,2,Test,66,0,02-Apr-2010,16:12,45,5,1,5,148,1,Same,300,88,1,Same,2934.86278387718,1,0
mentalRotation,MEM,1,2,Test,67,1,02-Apr-2010,16:13,102,2,1,5,148,2,Different,60,208,2,Different,4712.59876689874,1,0
mentalRotation,MEM,1,2,Test,68,0,02-Apr-2010,16:13,14,4,1,2,52,1,Same,150,202,2,Different,2831.61651599221,0,1
mentalRotation,MEM,1,2,Test,69,1,02-Apr-2010,16:13,40,5,2,4,116,1,Same,330,86,1,Same,2142.23608584143,1,0
mentalRotation,MEM,1,2,Test,70,0,02-Apr-2010,16:13,48,3,2,5,148,1,Same,180,328,2,Different,2304.56523108296,0,1
mentalRotation,MEM,1,2,Test,71,1,02-Apr-2010,16:13,92,2,1,4,116,2,Different,270,26,1,Same,3486.93875106983,0,1
mentalRotation,MEM,1,2,Test,72,0,02-Apr-2010,16:13,88,3,2,3,84,2,Different,30,114,2,Different,5263.15331785008,1,0
mentalRotation,MEM,1,2,Test,73,1,02-Apr-2010,16:13,105,5,1,5,148,2,Different,330,118,2,Different,4417.32441913337,1,0
mentalRotation,MEM,1,2,Test,74,0,02-Apr-2010,16:13,12,2,1,2,52,1,Same,120,172,1,Same,2472.93406398967,1,0
mentalRotation,MEM,1,2,Test,75,1,02-Apr-2010,16:13,85,5,1,3,84,2,Different,210,294,1,Same,4299.77707099169,0,1
mentalRotation,MEM,1,2,Test,76,0,02-Apr-2010,16:13,49,4,2,5,148,1,Same,210,358,1,Same,2685.19726395607,1,0
mentalRotation,MEM,1,2,Test,77,1,02-Apr-2010,16:13,31,1,1,4,116,1,Same,30,146,1,Same,2926.11698200926,1,0
mentalRotation,MEM,1,2,Test,78,0,02-Apr-2010,16:14,60,5,2,6,180,1,Same,240,60,2,Different,3284.04309903271,0,1
mentalRotation,MEM,1,2,Test,79,1,02-Apr-2010,16:14,16,1,2,2,52,1,Same,120,172,1,Same,1794.2721049767,1,0
mentalRotation,MEM,1,2,Test,80,0,02-Apr-2010,16:14,66,1,2,1,20,2,Different,150,170,2,Different,4329.48878500611,1,0
mentalRotation,MEM,1,2,Test,81,1,02-Apr-2010,16:14,75,5,1,2,52,2,Different,240,292,1,Same,2973.85209612548,0,1
mentalRotation,MEM,1,2,Test,82,0,02-Apr-2010,16:14,120,5,2,6,180,2,Different,330,150,1,Same,4248.69620800018,0,1
mentalRotation,MEM,1,2,Test,83,1,02-Apr-2010,16:14,41,1,1,5,148,1,Same,330,118,1,Same,1983.79122396,1,0
