exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,STJ,1,1,Practice,1,1,04-Dec-2009,14:32,0,3,2,0,20,1,Same,210,230,1,Same,9090.2606210002,1,0
mentalRotation,STJ,1,1,Practice,2,0,04-Dec-2009,14:33,0,4,1,0,20,1,Same,300,320,1,Same,1782.11183800886,1,0
mentalRotation,STJ,1,1,Practice,3,1,04-Dec-2009,14:33,0,5,2,0,20,2,Different,330,350,2,Different,1943.75689400476,1,0
mentalRotation,STJ,1,1,Practice,4,0,04-Dec-2009,14:33,0,4,2,0,20,2,Different,120,140,1,Same,883.065160000115,0,1
mentalRotation,STJ,1,1,Practice,5,1,04-Dec-2009,14:33,0,3,2,0,52,1,Same,180,232,2,Different,694.568308012094,0,1
mentalRotation,STJ,1,1,Practice,6,0,04-Dec-2009,14:33,0,5,2,0,52,1,Same,210,262,1,Same,531.075559993042,1,0
mentalRotation,STJ,1,1,Practice,7,1,04-Dec-2009,14:33,0,3,2,0,52,2,Different,120,172,1,Same,703.152928996133,0,1
mentalRotation,STJ,1,1,Practice,8,0,04-Dec-2009,14:33,0,5,2,0,52,2,Different,60,112,2,Different,396.266566007398,1,0
mentalRotation,STJ,1,1,Practice,9,1,04-Dec-2009,14:33,0,2,1,0,84,2,Different,300,24,2,Different,533.942065012525,1,0
mentalRotation,STJ,1,1,Practice,10,0,04-Dec-2009,14:33,0,4,2,0,84,1,Same,210,294,1,Same,543.231948002358,1,0
mentalRotation,STJ,1,1,Practice,11,1,04-Dec-2009,14:33,0,3,2,0,84,2,Different,150,234,1,Same,1212.97932199377,0,1
mentalRotation,STJ,1,1,Practice,12,0,04-Dec-2009,14:33,0,1,1,0,84,1,Same,150,234,2,Different,325.780194005347,0,1
mentalRotation,STJ,1,1,Practice,13,1,04-Dec-2009,14:33,0,2,2,0,116,1,Same,90,206,1,Same,171.800490003079,1,0
mentalRotation,STJ,1,1,Practice,14,0,04-Dec-2009,14:33,0,3,1,0,116,2,Different,0,116,1,Same,2265.90068500082,0,1
mentalRotation,STJ,1,1,Practice,15,1,04-Dec-2009,14:33,0,5,2,0,116,1,Same,60,176,1,Same,3690.71234999865,1,0
mentalRotation,STJ,1,1,Practice,16,0,04-Dec-2009,14:33,0,5,2,0,116,2,Different,300,56,1,Same,3552.66369400488,0,1
mentalRotation,STJ,1,1,Practice,17,1,04-Dec-2009,14:33,0,5,1,0,148,1,Same,0,148,2,Different,1424.97487200308,0,1
mentalRotation,STJ,1,1,Practice,18,0,04-Dec-2009,14:34,0,2,1,0,148,2,Different,240,28,1,Same,1156.86128599918,0,1
mentalRotation,STJ,1,1,Practice,19,1,04-Dec-2009,14:34,0,1,2,0,148,1,Same,270,58,2,Different,530.761686997721,0,1
mentalRotation,STJ,1,1,Practice,20,0,04-Dec-2009,14:34,0,5,2,0,148,2,Different,0,148,1,Same,478.522204997716,0,1
mentalRotation,STJ,1,1,Practice,21,1,04-Dec-2009,14:34,0,4,1,0,180,1,Same,60,240,1,Same,2339.34187699924,1,0
mentalRotation,STJ,1,1,Practice,22,0,04-Dec-2009,14:34,0,3,1,0,180,1,Same,330,150,1,Same,1694.56442299997,1,0
mentalRotation,STJ,1,1,Practice,23,1,04-Dec-2009,14:34,0,5,2,0,180,2,Different,180,0,1,Same,2508.0963520013,0,1
mentalRotation,STJ,1,1,Practice,24,0,04-Dec-2009,14:34,0,5,1,0,180,2,Different,270,90,2,Different,2089.46286600258,1,0
mentalRotation,STJ,1,2,Test,25,1,04-Dec-2009,14:34,36,1,2,4,116,1,Same,180,296,1,Same,589.706269005546,1,0
mentalRotation,STJ,1,2,Test,26,0,04-Dec-2009,14:34,26,1,2,3,84,1,Same,60,144,2,Different,794.476954994025,0,1
mentalRotation,STJ,1,2,Test,27,1,04-Dec-2009,14:34,29,4,2,3,84,1,Same,330,54,1,Same,619.629502005409,1,0
mentalRotation,STJ,1,2,Test,28,0,04-Dec-2009,14:34,30,5,2,3,84,1,Same,180,264,1,Same,896.75172099669,1,0
mentalRotation,STJ,1,2,Test,29,1,04-Dec-2009,14:34,108,3,2,5,148,2,Different,150,298,1,Same,1656.12526399491,0,1
mentalRotation,STJ,1,2,Test,30,0,04-Dec-2009,14:34,70,5,2,1,20,2,Different,240,260,2,Different,381.745703009074,1,0
mentalRotation,STJ,1,2,Test,31,1,04-Dec-2009,14:34,55,5,1,6,180,1,Same,210,30,1,Same,695.150610001292,1,0
mentalRotation,STJ,1,2,Test,32,0,04-Dec-2009,14:34,66,1,2,1,20,2,Different,150,170,2,Different,414.76036599488,1,0
mentalRotation,STJ,1,2,Test,33,1,04-Dec-2009,14:34,107,2,2,5,148,2,Different,270,58,1,Same,538.732573986636,0,1
mentalRotation,STJ,1,2,Test,34,0,04-Dec-2009,14:34,27,2,2,3,84,1,Same,90,174,2,Different,1388.62850000442,0,1
mentalRotation,STJ,1,2,Test,35,1,04-Dec-2009,14:35,79,4,2,2,52,2,Different,60,112,1,Same,1516.31533700856,0,1
mentalRotation,STJ,1,2,Test,36,0,04-Dec-2009,14:35,118,3,2,6,180,2,Different,30,210,2,Different,1691.7673459975,1,0
mentalRotation,STJ,1,2,Test,37,1,04-Dec-2009,14:35,85,5,1,3,84,2,Different,150,234,1,Same,1154.18519200466,0,1
mentalRotation,STJ,1,2,Test,38,0,04-Dec-2009,14:35,43,3,1,5,148,1,Same,300,88,2,Different,1649.12258999539,0,1
mentalRotation,STJ,1,2,Test,39,1,04-Dec-2009,14:35,18,3,2,2,52,1,Same,180,232,1,Same,508.520185991074,1,0
mentalRotation,STJ,1,2,Test,40,0,04-Dec-2009,14:35,6,1,2,1,20,1,Same,90,110,2,Different,1148.53824400052,0,1
