exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,UA1,1,1,Practice,1,1,27-Apr-2010,16:05,0,4,1,0,20,1,Same,120,140,1,Same,5124.50724000519,1,0
mentalRotation,UA1,1,1,Practice,2,0,27-Apr-2010,16:05,0,1,2,0,20,2,Different,180,200,1,Same,2798.83852900821,0,1
mentalRotation,UA1,1,1,Practice,3,1,27-Apr-2010,16:05,0,3,1,0,20,1,Same,240,260,1,Same,2991.06232399936,1,0
mentalRotation,UA1,1,1,Practice,4,0,27-Apr-2010,16:05,0,2,2,0,20,2,Different,270,290,1,Same,7270.82863599935,0,1
mentalRotation,UA1,1,1,Practice,5,1,27-Apr-2010,16:05,0,4,1,0,52,2,Different,0,52,2,Different,3979.45097601041,1,0
mentalRotation,UA1,1,1,Practice,6,0,27-Apr-2010,16:05,0,4,1,0,52,1,Same,90,142,1,Same,3041.75692900026,1,0
mentalRotation,UA1,1,1,Practice,7,1,27-Apr-2010,16:05,0,5,1,0,52,1,Same,60,112,1,Same,1971.15198899701,1,0
mentalRotation,UA1,1,1,Practice,8,0,27-Apr-2010,16:05,0,1,1,0,52,2,Different,210,262,2,Different,2341.72699099872,1,0
mentalRotation,UA1,1,1,Practice,9,1,27-Apr-2010,16:05,0,1,2,0,84,1,Same,240,324,1,Same,4829.39259099658,1,0
mentalRotation,UA1,1,1,Practice,10,0,27-Apr-2010,16:06,0,1,1,0,84,2,Different,180,264,1,Same,7594.90032000758,0,1
mentalRotation,UA1,1,1,Practice,11,1,27-Apr-2010,16:06,0,1,2,0,84,2,Different,300,24,2,Different,5529.49526598968,1,0
mentalRotation,UA1,1,1,Practice,12,0,27-Apr-2010,16:06,0,4,2,0,84,1,Same,150,234,1,Same,3301.2807710038,1,0
mentalRotation,UA1,1,1,Practice,13,1,27-Apr-2010,16:06,0,4,2,0,116,2,Different,270,26,2,Different,5073.98453699716,1,0
mentalRotation,UA1,1,1,Practice,14,0,27-Apr-2010,16:06,0,4,1,0,116,1,Same,300,56,1,Same,4662.82285298803,1,0
mentalRotation,UA1,1,1,Practice,15,1,27-Apr-2010,16:06,0,2,1,0,116,1,Same,30,146,1,Same,6172.33434099762,1,0
mentalRotation,UA1,1,1,Practice,16,0,27-Apr-2010,16:06,0,3,1,0,116,2,Different,270,26,1,Same,2084.8903679871,0,1
mentalRotation,UA1,1,1,Practice,17,1,27-Apr-2010,16:06,0,3,2,0,148,1,Same,60,208,2,Different,4929.5028100023,0,1
mentalRotation,UA1,1,1,Practice,18,0,27-Apr-2010,16:06,0,4,1,0,148,1,Same,60,208,1,Same,6106.96215101052,1,0
mentalRotation,UA1,1,1,Practice,19,1,27-Apr-2010,16:07,0,5,2,0,148,2,Different,180,328,1,Same,10033.5216729873,0,1
mentalRotation,UA1,1,1,Practice,20,0,27-Apr-2010,16:07,0,3,1,0,148,2,Different,240,28,2,Different,9748.93572399742,1,0
mentalRotation,UA1,1,1,Practice,21,1,27-Apr-2010,16:07,0,5,2,0,180,1,Same,150,330,2,Different,4114.5224810025,0,1
mentalRotation,UA1,1,1,Practice,22,0,27-Apr-2010,16:07,0,4,2,0,180,2,Different,210,30,1,Same,2193.89712499105,0,1
mentalRotation,UA1,1,1,Practice,23,1,27-Apr-2010,16:07,0,4,2,0,180,2,Different,180,0,2,Different,12049.5952470083,1,0
mentalRotation,UA1,1,1,Practice,24,0,27-Apr-2010,16:07,0,3,2,0,180,1,Same,60,240,1,Same,7336.84954399359,1,0
mentalRotation,UA1,1,2,Test,25,1,27-Apr-2010,16:08,58,3,2,6,180,1,Same,330,150,1,Same,8857.05459900782,1,0
mentalRotation,UA1,1,2,Test,26,0,27-Apr-2010,16:08,96,1,2,4,116,2,Different,270,26,2,Different,3540.41983200295,1,0
mentalRotation,UA1,1,2,Test,27,1,27-Apr-2010,16:08,46,1,2,5,148,1,Same,150,298,1,Same,5163.50155801047,1,0
mentalRotation,UA1,1,2,Test,28,0,27-Apr-2010,16:08,42,2,1,5,148,1,Same,300,88,1,Same,5580.36618500773,1,0
mentalRotation,UA1,1,2,Test,29,1,27-Apr-2010,16:08,112,2,1,6,180,2,Different,30,210,2,Different,5154.18054799375,1,0
mentalRotation,UA1,1,2,Test,30,0,27-Apr-2010,16:08,44,4,1,5,148,1,Same,0,148,1,Same,6792.61241199856,1,0
mentalRotation,UA1,1,2,Test,31,1,27-Apr-2010,16:08,108,3,2,5,148,2,Different,270,58,1,Same,9931.52952200035,0,1
mentalRotation,UA1,1,2,Test,32,0,27-Apr-2010,16:09,12,2,1,2,52,1,Same,120,172,1,Same,2245.01121499634,1,0
mentalRotation,UA1,1,2,Test,33,1,27-Apr-2010,16:09,54,4,1,6,180,1,Same,90,270,1,Same,3430.72031599877,1,0
mentalRotation,UA1,1,2,Test,34,0,27-Apr-2010,16:09,64,4,1,1,20,2,Different,270,290,2,Different,5110.86194499512,1,0
mentalRotation,UA1,1,2,Test,35,1,27-Apr-2010,16:09,116,1,2,6,180,2,Different,330,150,2,Different,6841.53809599229,1,0
mentalRotation,UA1,1,2,Test,36,0,27-Apr-2010,16:09,13,3,1,2,52,1,Same,240,292,1,Same,2622.39738099743,1,0
mentalRotation,UA1,1,2,Test,37,1,27-Apr-2010,16:09,53,3,1,6,180,1,Same,300,120,1,Same,5312.17979200301,1,0
mentalRotation,UA1,1,2,Test,38,0,27-Apr-2010,16:09,5,5,1,1,20,1,Same,180,200,1,Same,2228.49203100486,1,0
mentalRotation,UA1,1,2,Test,39,1,27-Apr-2010,16:09,23,3,1,3,84,1,Same,180,264,2,Different,7179.2232220032,0,1
mentalRotation,UA1,1,2,Test,40,0,27-Apr-2010,16:09,45,5,1,5,148,1,Same,330,118,2,Different,4673.5161490069,0,1
mentalRotation,UA1,1,2,Test,41,1,27-Apr-2010,16:10,56,1,2,6,180,1,Same,240,60,1,Same,6365.95587899501,1,0
mentalRotation,UA1,1,2,Test,42,0,27-Apr-2010,16:10,48,3,2,5,148,1,Same,180,328,1,Same,10291.880394012,1,0
mentalRotation,UA1,1,2,Test,43,1,27-Apr-2010,16:10,4,4,1,1,20,1,Same,90,110,1,Same,1719.10847099207,1,0
mentalRotation,UA1,1,2,Test,44,0,27-Apr-2010,16:10,100,5,2,4,116,2,Different,210,326,2,Different,26897.1940000047,1,0
mentalRotation,UA1,1,2,Test,45,1,27-Apr-2010,16:10,68,3,2,1,20,2,Different,240,260,2,Different,7299.85532100545,1,0
mentalRotation,UA1,1,2,Test,46,0,27-Apr-2010,16:11,111,1,1,6,180,2,Different,90,270,2,Different,11949.5752700022,1,0
mentalRotation,UA1,1,2,Test,47,1,27-Apr-2010,16:11,69,4,2,1,20,2,Different,0,20,2,Different,6401.76447399426,1,0
