exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,YHT,1,1,Practice,1,1,09-Feb-2010,16:03,0,3,2,0,20,1,Same,150,170,1,Same,3359.92672340944,1,0
mentalRotation,YHT,1,1,Practice,2,0,09-Feb-2010,16:03,0,2,1,0,20,1,Same,210,230,1,Same,2827.35562091693,1,0
mentalRotation,YHT,1,1,Practice,3,1,09-Feb-2010,16:03,0,3,1,0,20,2,Different,0,20,2,Different,2630.28351590037,1,0
mentalRotation,YHT,1,1,Practice,4,0,09-Feb-2010,16:03,0,3,2,0,20,2,Different,120,140,1,Same,3461.91829070449,0,1
mentalRotation,YHT,1,1,Practice,5,1,09-Feb-2010,16:03,0,5,1,0,52,1,Same,120,172,1,Same,3746.51840794832,1,0
mentalRotation,YHT,1,1,Practice,6,0,09-Feb-2010,16:04,0,3,2,0,52,2,Different,180,232,1,Same,3706.86668017879,0,1
mentalRotation,YHT,1,1,Practice,7,1,09-Feb-2010,16:04,0,2,1,0,52,2,Different,60,112,1,Same,2890.22819185629,0,1
mentalRotation,YHT,1,1,Practice,8,0,09-Feb-2010,16:04,0,5,2,0,52,1,Same,0,52,1,Same,2677.23676888272,1,0
mentalRotation,YHT,1,1,Practice,9,1,09-Feb-2010,16:04,0,4,1,0,84,1,Same,270,354,1,Same,4802.09626583382,1,0
mentalRotation,YHT,1,1,Practice,10,0,09-Feb-2010,16:04,0,5,2,0,84,1,Same,120,204,1,Same,2368.15196368843,1,0
mentalRotation,YHT,1,1,Practice,11,1,09-Feb-2010,16:04,0,3,1,0,84,2,Different,210,294,2,Different,4786.06505971402,1,0
mentalRotation,YHT,1,1,Practice,12,0,09-Feb-2010,16:04,0,4,2,0,84,2,Different,90,174,2,Different,3670.46266421676,1,0
mentalRotation,YHT,1,1,Practice,13,1,09-Feb-2010,16:04,0,1,1,0,116,2,Different,150,266,2,Different,3996.16306927055,1,0
mentalRotation,YHT,1,1,Practice,14,0,09-Feb-2010,16:04,0,3,1,0,116,1,Same,300,56,1,Same,2447.0099741593,1,0
mentalRotation,YHT,1,1,Practice,15,1,09-Feb-2010,16:04,0,4,1,0,116,2,Different,0,116,1,Same,3376.97513168678,0,1
mentalRotation,YHT,1,1,Practice,16,0,09-Feb-2010,16:04,0,3,2,0,116,1,Same,330,86,1,Same,4217.33408328146,1,0
mentalRotation,YHT,1,1,Practice,17,1,09-Feb-2010,16:05,0,2,2,0,148,2,Different,60,208,2,Different,3256.83130184188,1,0
mentalRotation,YHT,1,1,Practice,18,0,09-Feb-2010,16:05,0,4,1,0,148,1,Same,150,298,1,Same,2091.73985989764,1,0
mentalRotation,YHT,1,1,Practice,19,1,09-Feb-2010,16:05,0,5,1,0,148,2,Different,90,238,2,Different,2142.48692430556,1,0
mentalRotation,YHT,1,1,Practice,20,0,09-Feb-2010,16:05,0,5,1,0,148,1,Same,180,328,1,Same,2540.22149089724,1,0
mentalRotation,YHT,1,1,Practice,21,1,09-Feb-2010,16:05,0,1,1,0,180,2,Different,150,330,2,Different,2702.55278097466,1,0
mentalRotation,YHT,1,1,Practice,22,0,09-Feb-2010,16:05,0,2,2,0,180,2,Different,30,210,1,Same,2159.94193404913,0,1
mentalRotation,YHT,1,1,Practice,23,1,09-Feb-2010,16:05,0,2,2,0,180,1,Same,180,0,1,Same,4852.86045214161,1,0
mentalRotation,YHT,1,1,Practice,24,0,09-Feb-2010,16:05,0,3,2,0,180,1,Same,30,210,1,Same,2802.1548660472,1,0
mentalRotation,YHT,1,2,Test,25,1,09-Feb-2010,16:05,54,4,1,6,180,1,Same,180,0,1,Same,3610.66921986639,1,0
mentalRotation,YHT,1,2,Test,26,0,09-Feb-2010,16:05,65,5,1,1,20,2,Different,300,320,1,Same,3011.99962384999,0,1
mentalRotation,YHT,1,2,Test,27,1,09-Feb-2010,16:05,33,3,1,4,116,1,Same,180,296,1,Same,4310.81248633564,1,0
mentalRotation,YHT,1,2,Test,28,0,09-Feb-2010,16:06,41,1,1,5,148,1,Same,90,238,1,Same,5525.00827610493,1,0
mentalRotation,YHT,1,2,Test,29,1,09-Feb-2010,16:06,26,1,2,3,84,1,Same,30,114,1,Same,2133.56471201405,1,0
mentalRotation,YHT,1,2,Test,30,0,09-Feb-2010,16:06,40,5,2,4,116,1,Same,210,326,1,Same,3516.07570983469,1,0
mentalRotation,YHT,1,2,Test,31,1,09-Feb-2010,16:06,69,4,2,1,20,2,Different,210,230,2,Different,1493.61296789721,1,0
mentalRotation,YHT,1,2,Test,32,0,09-Feb-2010,16:06,98,3,2,4,116,2,Different,240,356,1,Same,2488.67275007069,0,1
mentalRotation,YHT,1,2,Test,33,1,09-Feb-2010,16:06,68,3,2,1,20,2,Different,90,110,1,Same,2188.56707308441,0,1
mentalRotation,YHT,1,2,Test,34,0,09-Feb-2010,16:06,57,2,2,6,180,1,Same,270,90,1,Same,4189.46948507801,1,0
mentalRotation,YHT,1,2,Test,35,1,09-Feb-2010,16:06,113,3,1,6,180,2,Different,300,120,2,Different,2373.36646392941,1,0
mentalRotation,YHT,1,2,Test,36,0,09-Feb-2010,16:06,11,1,1,2,52,1,Same,270,322,1,Same,2358.10499778017,1,0
mentalRotation,YHT,1,2,Test,37,1,09-Feb-2010,16:06,95,5,1,4,116,2,Different,150,266,1,Same,1879.99318912625,0,1
mentalRotation,YHT,1,2,Test,38,0,09-Feb-2010,16:06,94,4,1,4,116,2,Different,270,26,2,Different,4444.68852272257,1,0
mentalRotation,YHT,1,2,Test,39,1,09-Feb-2010,16:07,35,5,1,4,116,1,Same,210,326,2,Different,2754.97295707464,0,1
mentalRotation,YHT,1,2,Test,40,0,09-Feb-2010,16:07,9,4,2,1,20,1,Same,300,320,1,Same,2539.65408913791,1,0
mentalRotation,YHT,1,2,Test,41,1,09-Feb-2010,16:07,22,2,1,3,84,1,Same,330,54,2,Different,2825.46143513173,0,1
