exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,ZC1,2,1,Practice,1,1,18-Jan-10,16:13,0,4,1,0,20,1,Same,90,110,1,Same,1825.755627,1,0
mentalRotation,ZC1,2,1,Practice,2,0,18-Jan-10,16:13,0,5,1,0,20,2,Different,330,350,2,Different,1806.563459,1,0
mentalRotation,ZC1,2,1,Practice,3,1,18-Jan-10,16:13,0,5,1,0,20,1,Same,60,80,1,Same,1726.033003,1,0
mentalRotation,ZC1,2,1,Practice,4,0,18-Jan-10,16:13,0,5,1,0,20,2,Different,210,230,2,Different,1433.561708,1,0
mentalRotation,ZC1,2,1,Practice,5,1,18-Jan-10,16:13,0,2,1,0,52,2,Different,0,52,2,Different,2381.207086,1,0
mentalRotation,ZC1,2,1,Practice,6,0,18-Jan-10,16:13,0,4,1,0,52,1,Same,0,52,1,Same,1739.508751,1,0
mentalRotation,ZC1,2,1,Practice,7,1,18-Jan-10,16:13,0,5,1,0,52,1,Same,0,52,1,Same,1489.390484,1,0
mentalRotation,ZC1,2,1,Practice,8,0,18-Jan-10,16:14,0,5,1,0,52,2,Different,300,352,2,Different,1625.606162,1,0
mentalRotation,ZC1,2,1,Practice,9,1,18-Jan-10,16:14,0,4,1,0,84,1,Same,30,114,1,Same,1885.570975,1,0
mentalRotation,ZC1,2,1,Practice,10,0,18-Jan-10,16:14,0,1,1,0,84,2,Different,180,264,1,Same,2522.581474,0,1
mentalRotation,ZC1,2,1,Practice,11,1,18-Jan-10,16:14,0,5,2,0,84,2,Different,240,324,2,Different,1947.392643,1,0
mentalRotation,ZC1,2,1,Practice,12,0,18-Jan-10,16:14,0,3,1,0,84,1,Same,150,234,1,Same,2054.966825,1,0
mentalRotation,ZC1,2,1,Practice,13,1,18-Jan-10,16:14,0,4,2,0,116,2,Different,150,266,1,Same,2713.732027,0,1
mentalRotation,ZC1,2,1,Practice,14,0,18-Jan-10,16:14,0,5,2,0,116,1,Same,180,296,1,Same,2381.665244,1,0
mentalRotation,ZC1,2,1,Practice,15,1,18-Jan-10,16:14,0,3,1,0,116,1,Same,120,236,2,Different,5193.763846,0,1
