exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,AVF,2,1,Practice,1,1,20-Nov-2009,13:33,0,3,2,0,20,2,Different,240,260,2,Different,3054.79411000852,1,0
mentalRotation,AVF,2,1,Practice,2,0,20-Nov-2009,13:33,0,5,2,0,20,2,Different,150,170,1,Same,3849.21142103849,0,1
mentalRotation,AVF,2,1,Practice,3,1,20-Nov-2009,13:33,0,2,1,0,20,1,Same,210,230,1,Same,1604.43939303514,1,0
mentalRotation,AVF,2,1,Practice,4,0,20-Nov-2009,13:33,0,2,2,0,20,1,Same,30,50,1,Same,961.247982981149,1,0
mentalRotation,AVF,2,1,Practice,5,1,20-Nov-2009,13:33,0,2,1,0,52,1,Same,180,232,1,Same,1657.81590301776,1,0
mentalRotation,AVF,2,1,Practice,6,0,20-Nov-2009,13:33,0,4,1,0,52,1,Same,0,52,1,Same,1217.62367500924,1,0
mentalRotation,AVF,2,1,Practice,7,1,20-Nov-2009,13:33,0,1,2,0,52,2,Different,120,172,2,Different,1685.35285798134,1,0
mentalRotation,AVF,2,1,Practice,8,0,20-Nov-2009,13:33,0,5,2,0,52,2,Different,180,232,1,Same,2254.33912902372,0,1
mentalRotation,AVF,2,1,Practice,9,1,20-Nov-2009,13:33,0,1,1,0,84,2,Different,270,354,2,Different,3308.69693198474,1,0
mentalRotation,AVF,2,1,Practice,10,0,20-Nov-2009,13:33,0,4,1,0,84,2,Different,180,264,1,Same,3507.64462904772,0,1
mentalRotation,AVF,2,1,Practice,11,1,20-Nov-2009,13:33,0,5,2,0,84,1,Same,180,264,1,Same,3012.17708102195,1,0
mentalRotation,AVF,2,1,Practice,12,0,20-Nov-2009,13:34,0,4,1,0,84,1,Same,60,144,1,Same,2537.43631899124,1,0
mentalRotation,AVF,2,1,Practice,13,1,20-Nov-2009,13:34,0,3,2,0,116,1,Same,60,176,1,Same,1182.92846297845,1,0
mentalRotation,AVF,2,1,Practice,14,0,20-Nov-2009,13:34,0,1,1,0,116,2,Different,240,356,2,Different,2381.75028102705,1,0
mentalRotation,AVF,2,1,Practice,15,1,20-Nov-2009,13:34,0,3,2,0,116,2,Different,0,116,1,Same,1217.56837703288,0,1
mentalRotation,AVF,2,1,Practice,16,0,20-Nov-2009,13:34,0,4,1,0,116,1,Same,270,26,1,Same,1992.41403100314,1,0
mentalRotation,AVF,2,1,Practice,17,1,20-Nov-2009,13:34,0,4,1,0,148,1,Same,30,178,2,Different,2274.57803097786,0,1
mentalRotation,AVF,2,1,Practice,18,0,20-Nov-2009,13:34,0,5,1,0,148,1,Same,300,88,1,Same,3543.52544504218,1,0
mentalRotation,AVF,2,1,Practice,19,1,20-Nov-2009,13:34,0,4,1,0,148,2,Different,60,208,2,Different,3150.02744196681,1,0
mentalRotation,AVF,2,1,Practice,20,0,20-Nov-2009,13:34,0,3,2,0,148,2,Different,210,358,2,Different,3668.23547898093,1,0
mentalRotation,AVF,2,1,Practice,21,1,20-Nov-2009,13:34,0,3,1,0,180,1,Same,150,330,2,Different,2616.66870600311,0,1
mentalRotation,AVF,2,1,Practice,22,0,20-Nov-2009,13:34,0,5,1,0,180,2,Different,120,300,1,Same,3017.82599097351,0,1
mentalRotation,AVF,2,1,Practice,23,1,20-Nov-2009,13:34,0,5,2,0,180,2,Different,240,60,2,Different,3290.77190795215,1,0
mentalRotation,AVF,2,1,Practice,24,0,20-Nov-2009,13:34,0,5,1,0,180,1,Same,240,60,2,Different,2083.51918502012,0,1
mentalRotation,AVF,2,2,Test,25,1,20-Nov-2009,13:35,64,4,1,1,20,2,Different,120,140,1,Same,1309.51116397046,0,1
mentalRotation,AVF,2,2,Test,26,0,20-Nov-2009,13:35,72,2,1,2,52,2,Different,210,262,2,Different,3440.20760402782,1,0
mentalRotation,AVF,2,2,Test,27,1,20-Nov-2009,13:35,119,4,2,6,180,2,Different,240,60,2,Different,2254.35780599946,1,0
mentalRotation,AVF,2,2,Test,28,0,20-Nov-2009,13:35,100,5,2,4,116,2,Different,150,266,2,Different,3400.75226098998,1,0
mentalRotation,AVF,2,2,Test,29,1,20-Nov-2009,13:35,62,2,1,1,20,2,Different,300,320,2,Different,4280.31022503274,1,0
mentalRotation,AVF,2,2,Test,30,0,20-Nov-2009,13:35,76,1,2,2,52,2,Different,30,82,2,Different,2773.62834697124,1,0
mentalRotation,AVF,2,2,Test,31,1,20-Nov-2009,13:35,46,1,2,5,148,1,Same,240,28,1,Same,3032.42914902512,1,0
mentalRotation,AVF,2,2,Test,32,0,20-Nov-2009,13:35,34,4,1,4,116,1,Same,270,26,1,Same,2883.97872599307,1,0
