exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,AW1,1,1,Practice,1,1,30-Mar-2010,16:01,0,2,2,0,20,2,Different,90,110,2,Different,6712.08002697676,1,0
mentalRotation,AW1,1,1,Practice,2,0,30-Mar-2010,16:01,0,2,2,0,20,2,Different,90,110,2,Different,5520.06519515999,1,0
mentalRotation,AW1,1,1,Practice,3,1,30-Mar-2010,16:01,0,3,2,0,20,1,Same,240,260,1,Same,3776.58521616831,1,0
mentalRotation,AW1,1,1,Practice,4,0,30-Mar-2010,16:01,0,3,1,0,20,1,Same,300,320,1,Same,3471.13199997693,1,0
mentalRotation,AW1,1,1,Practice,5,1,30-Mar-2010,16:01,0,5,2,0,52,1,Same,150,202,1,Same,2122.0760201104,1,0
mentalRotation,AW1,1,1,Practice,6,0,30-Mar-2010,16:01,0,3,1,0,52,1,Same,30,82,1,Same,2666.40247404575,1,0
mentalRotation,AW1,1,1,Practice,7,1,30-Mar-2010,16:01,0,2,2,0,52,2,Different,180,232,2,Different,2941.463930998,1,0
mentalRotation,AW1,1,1,Practice,8,0,30-Mar-2010,16:01,0,1,2,0,52,2,Different,120,172,2,Different,2695.95764903352,1,0
mentalRotation,AW1,1,1,Practice,9,1,30-Mar-2010,16:01,0,3,1,0,84,2,Different,210,294,2,Different,5780.91375110671,1,0
mentalRotation,AW1,1,1,Practice,10,0,30-Mar-2010,16:01,0,1,1,0,84,2,Different,60,144,2,Different,4643.75392417423,1,0
mentalRotation,AW1,1,1,Practice,11,1,30-Mar-2010,16:02,0,1,1,0,84,1,Same,120,204,1,Same,3066.24881108291,1,0
mentalRotation,AW1,1,1,Practice,12,0,30-Mar-2010,16:02,0,1,1,0,84,1,Same,270,354,1,Same,3734.2658189591,1,0
