exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,CCK,2,1,Practice,1,1,20-Jan-2010,15:31,0,5,1,0,20,2,Different,60,80,2,Different,5799.78522995953,1,0
mentalRotation,CCK,2,1,Practice,2,0,20-Jan-2010,15:31,0,3,1,0,20,1,Same,150,170,1,Same,2195.14081196394,1,0
mentalRotation,CCK,2,1,Practice,3,1,20-Jan-2010,15:31,0,5,1,0,20,2,Different,210,230,2,Different,7638.65501107648,1,0
mentalRotation,CCK,2,1,Practice,4,0,20-Jan-2010,15:31,0,1,2,0,20,1,Same,240,260,1,Same,2445.60362910852,1,0
mentalRotation,CCK,2,1,Practice,5,1,20-Jan-2010,15:31,0,1,1,0,52,1,Same,270,322,1,Same,2110.2708139224,1,0
mentalRotation,CCK,2,1,Practice,6,0,20-Jan-2010,15:31,0,3,1,0,52,2,Different,240,292,2,Different,6053.64226095844,1,0
mentalRotation,CCK,2,1,Practice,7,1,20-Jan-2010,15:31,0,1,2,0,52,2,Different,240,292,2,Different,5306.77997099701,1,0
mentalRotation,CCK,2,1,Practice,8,0,20-Jan-2010,15:32,0,5,1,0,52,1,Same,270,322,1,Same,2984.72601198591,1,0
mentalRotation,CCK,2,1,Practice,9,1,20-Jan-2010,15:32,0,3,1,0,84,2,Different,30,114,2,Different,4961.63662197068,1,0
mentalRotation,CCK,2,1,Practice,10,0,20-Jan-2010,15:32,0,4,1,0,84,1,Same,120,204,1,Same,4270.18440200482,1,0
mentalRotation,CCK,2,1,Practice,11,1,20-Jan-2010,15:32,0,3,1,0,84,1,Same,180,264,1,Same,3014.65951395221,1,0
mentalRotation,CCK,2,1,Practice,12,0,20-Jan-2010,15:32,0,4,1,0,84,2,Different,90,174,2,Different,4213.84044596925,1,0
mentalRotation,CCK,2,1,Practice,13,1,20-Jan-2010,15:32,0,1,1,0,116,2,Different,30,146,2,Different,7379.95834392495,1,0
mentalRotation,CCK,2,1,Practice,14,0,20-Jan-2010,15:32,0,5,1,0,116,1,Same,240,356,1,Same,3685.86360500194,1,0
