exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,CFL,1,1,Practice,1,1,23-Feb-2010,15:27,0,3,2,0,20,2,Different,90,110,2,Different,24471.4235528372,1,0
mentalRotation,CFL,1,1,Practice,2,0,23-Feb-2010,15:27,0,5,2,0,20,1,Same,270,290,1,Same,5739.49501290917,1,0
mentalRotation,CFL,1,1,Practice,3,1,23-Feb-2010,15:27,0,1,2,0,20,2,Different,0,20,2,Different,9510.14076173306,1,0
mentalRotation,CFL,1,1,Practice,4,0,23-Feb-2010,15:28,0,1,1,0,20,1,Same,240,260,1,Same,3339.0133860521,1,0
mentalRotation,CFL,1,1,Practice,5,1,23-Feb-2010,15:28,0,2,2,0,52,2,Different,60,112,2,Different,6914.20621098951,1,0
mentalRotation,CFL,1,1,Practice,6,0,23-Feb-2010,15:28,0,3,1,0,52,2,Different,0,52,2,Different,10883.150937967,1,0
mentalRotation,CFL,1,1,Practice,7,1,23-Feb-2010,15:28,0,1,1,0,52,1,Same,120,172,1,Same,3934.81178069487,1,0
mentalRotation,CFL,1,1,Practice,8,0,23-Feb-2010,15:28,0,5,1,0,52,1,Same,210,262,1,Same,2651.63918584585,1,0
mentalRotation,CFL,1,1,Practice,9,1,23-Feb-2010,15:28,0,4,2,0,84,2,Different,300,24,2,Different,4317.83307110891,1,0
mentalRotation,CFL,1,1,Practice,10,0,23-Feb-2010,15:28,0,3,2,0,84,2,Different,60,144,2,Different,11595.9969074465,1,0
mentalRotation,CFL,1,1,Practice,11,1,23-Feb-2010,15:29,0,3,2,0,84,1,Same,150,234,1,Same,2858.38582972065,1,0
mentalRotation,CFL,1,1,Practice,12,0,23-Feb-2010,15:29,0,4,2,0,84,1,Same,240,324,1,Same,5702.43114884943,1,0
mentalRotation,CFL,1,1,Practice,13,1,23-Feb-2010,15:29,0,2,1,0,116,1,Same,210,326,1,Same,5479.38212007284,1,0
mentalRotation,CFL,1,1,Practice,14,0,23-Feb-2010,15:29,0,1,1,0,116,2,Different,180,296,1,Same,10539.7717980668,0,1
mentalRotation,CFL,1,1,Practice,15,1,23-Feb-2010,15:29,0,3,1,0,116,1,Same,150,266,1,Same,7270.54958790541,1,0
mentalRotation,CFL,1,1,Practice,16,0,23-Feb-2010,15:29,0,4,1,0,116,2,Different,210,326,1,Same,7077.6969618164,0,1
mentalRotation,CFL,1,1,Practice,17,1,23-Feb-2010,15:29,0,5,1,0,148,2,Different,270,58,2,Different,9397.94376911595,1,0
mentalRotation,CFL,1,1,Practice,18,0,23-Feb-2010,15:30,0,5,1,0,148,2,Different,0,148,2,Different,8944.72332810983,1,0
mentalRotation,CFL,1,1,Practice,19,1,23-Feb-2010,15:30,0,2,1,0,148,1,Same,30,178,1,Same,20349.7330280952,1,0
mentalRotation,CFL,1,1,Practice,20,0,23-Feb-2010,15:30,0,3,1,0,148,1,Same,210,358,2,Different,21133.6640408263,0,1
mentalRotation,CFL,1,1,Practice,21,1,23-Feb-2010,15:31,0,3,2,0,180,1,Same,240,60,1,Same,8882.18188425526,1,0
mentalRotation,CFL,1,1,Practice,22,0,23-Feb-2010,15:31,0,5,1,0,180,1,Same,120,300,2,Different,14012.9760308191,0,1
mentalRotation,CFL,1,1,Practice,23,1,23-Feb-2010,15:31,0,2,1,0,180,2,Different,330,150,1,Same,20677.7271442115,0,1
mentalRotation,CFL,1,1,Practice,24,0,23-Feb-2010,15:31,0,2,1,0,180,2,Different,300,120,1,Same,12557.7833261341,0,1
mentalRotation,CFL,1,2,Test,25,1,23-Feb-2010,15:32,23,3,1,3,84,1,Same,240,324,1,Same,14511.1599452794,1,0
mentalRotation,CFL,1,2,Test,26,0,23-Feb-2010,15:32,37,2,2,4,116,1,Same,90,206,1,Same,8163.34292897955,1,0
mentalRotation,CFL,1,2,Test,27,1,23-Feb-2010,15:33,42,2,1,5,148,1,Same,270,58,1,Same,4485.40649982169,1,0
mentalRotation,CFL,1,2,Test,28,0,23-Feb-2010,15:33,100,5,2,4,116,2,Different,210,326,1,Same,8351.39790037647,0,1
mentalRotation,CFL,1,2,Test,29,1,23-Feb-2010,15:33,25,5,1,3,84,1,Same,210,294,1,Same,7010.43453905731,1,0
mentalRotation,CFL,1,2,Test,30,0,23-Feb-2010,15:33,2,2,1,1,20,1,Same,30,50,1,Same,2945.00239891931,1,0
mentalRotation,CFL,1,2,Test,31,1,23-Feb-2010,15:33,97,2,2,4,116,2,Different,180,296,2,Different,8789.89857202396,1,0
mentalRotation,CFL,1,2,Test,32,0,23-Feb-2010,15:33,105,5,1,5,148,2,Different,60,208,2,Different,16118.3332083747,1,0
mentalRotation,CFL,1,2,Test,33,1,23-Feb-2010,15:34,62,2,1,1,20,2,Different,90,110,2,Different,7603.66265801713,1,0
mentalRotation,CFL,1,2,Test,34,0,23-Feb-2010,15:34,82,2,1,3,84,2,Different,240,324,2,Different,8396.42276987433,1,0
mentalRotation,CFL,1,2,Test,35,1,23-Feb-2010,15:34,90,5,2,3,84,2,Different,300,24,2,Different,6282.89363579825,1,0
mentalRotation,CFL,1,2,Test,36,0,23-Feb-2010,15:34,17,2,2,2,52,1,Same,240,292,1,Same,16298.4554856084,1,0
mentalRotation,CFL,1,2,Test,37,1,23-Feb-2010,15:34,115,5,1,6,180,2,Different,270,90,2,Different,8345.29635310173,1,0
mentalRotation,CFL,1,2,Test,38,0,23-Feb-2010,15:34,38,3,2,4,116,1,Same,330,86,1,Same,12820.1239262708,1,0
mentalRotation,CFL,1,2,Test,39,1,23-Feb-2010,15:35,72,2,1,2,52,2,Different,120,172,2,Different,9930.26772979647,1,0
mentalRotation,CFL,1,2,Test,40,0,23-Feb-2010,15:35,119,4,2,6,180,2,Different,90,270,2,Different,10606.4099138603,1,0
mentalRotation,CFL,1,2,Test,41,1,23-Feb-2010,15:35,76,1,2,2,52,2,Different,90,142,2,Different,3375.90685207397,1,0
mentalRotation,CFL,1,2,Test,42,0,23-Feb-2010,15:35,71,1,1,2,52,2,Different,120,172,2,Different,8140.68526402116,1,0
mentalRotation,CFL,1,2,Test,43,1,23-Feb-2010,15:35,53,3,1,6,180,1,Same,0,180,2,Different,25136.6809690371,0,1
mentalRotation,CFL,1,2,Test,44,0,23-Feb-2010,15:36,74,4,1,2,52,2,Different,300,352,2,Different,4348.03524194285,1,0
mentalRotation,CFL,1,2,Test,45,1,23-Feb-2010,15:36,13,3,1,2,52,1,Same,210,262,1,Same,4979.8667919822,1,0
mentalRotation,CFL,1,2,Test,46,0,23-Feb-2010,15:36,54,4,1,6,180,1,Same,300,120,1,Same,2145.66022017971,1,0
mentalRotation,CFL,1,2,Test,47,1,23-Feb-2010,15:36,59,4,2,6,180,1,Same,30,210,1,Same,10641.2790748291,1,0
mentalRotation,CFL,1,2,Test,48,0,23-Feb-2010,15:36,30,5,2,3,84,1,Same,180,264,1,Same,5136.34543819353,1,0
mentalRotation,CFL,1,2,Test,49,1,23-Feb-2010,15:36,4,4,1,1,20,1,Same,30,50,1,Same,2624.40411839634,1,0
mentalRotation,CFL,1,2,Test,50,0,23-Feb-2010,15:37,61,1,1,1,20,2,Different,180,200,2,Different,4377.83394521102,1,0
mentalRotation,CFL,1,2,Test,51,1,23-Feb-2010,15:37,21,1,1,3,84,1,Same,210,294,1,Same,3990.50088692456,1,0
