exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,CJH,2,1,Practice,1,1,12-Dec-2009,13:56,0,4,2,0,20,2,Different,240,260,2,Different,7445.96103503136,1,0
mentalRotation,CJH,2,1,Practice,2,0,12-Dec-2009,13:56,0,5,1,0,20,1,Same,60,80,1,Same,15993.7277130084,1,0
mentalRotation,CJH,2,1,Practice,3,1,12-Dec-2009,13:56,0,1,2,0,20,1,Same,210,230,1,Same,22852.6542930049,1,0
mentalRotation,CJH,2,1,Practice,4,0,12-Dec-2009,13:57,0,5,2,0,20,2,Different,120,140,2,Different,2386.89992699074,1,0
mentalRotation,CJH,2,1,Practice,5,1,12-Dec-2009,13:57,0,5,1,0,52,2,Different,240,292,2,Different,2531.22700599488,1,0
mentalRotation,CJH,2,1,Practice,6,0,12-Dec-2009,13:57,0,3,1,0,52,1,Same,90,142,1,Same,2029.26558197942,1,0
mentalRotation,CJH,2,1,Practice,7,1,12-Dec-2009,13:57,0,4,2,0,52,1,Same,0,52,2,Different,1824.03112796601,0,1
mentalRotation,CJH,2,1,Practice,8,0,12-Dec-2009,13:57,0,1,2,0,52,2,Different,90,142,2,Different,3563.50999203278,1,0
mentalRotation,CJH,2,1,Practice,9,1,12-Dec-2009,13:57,0,5,2,0,84,1,Same,90,174,1,Same,3664.10745395115,1,0
mentalRotation,CJH,2,1,Practice,10,0,12-Dec-2009,13:57,0,1,1,0,84,2,Different,30,114,1,Same,3073.84763297159,0,1
mentalRotation,CJH,2,1,Practice,11,1,12-Dec-2009,13:57,0,3,1,0,84,2,Different,240,324,2,Different,5441.1386079737,1,0
mentalRotation,CJH,2,1,Practice,12,0,12-Dec-2009,13:57,0,4,2,0,84,1,Same,330,54,1,Same,2587.64489402529,1,0
mentalRotation,CJH,2,1,Practice,13,1,12-Dec-2009,13:57,0,3,1,0,116,2,Different,90,206,2,Different,3216.33890998783,1,0
mentalRotation,CJH,2,1,Practice,14,0,12-Dec-2009,13:57,0,2,2,0,116,2,Different,330,86,2,Different,8466.19817602914,1,0
mentalRotation,CJH,2,1,Practice,15,1,12-Dec-2009,13:58,0,4,1,0,116,1,Same,60,176,1,Same,7139.46272199973,1,0
mentalRotation,CJH,2,1,Practice,16,0,12-Dec-2009,13:58,0,3,2,0,116,1,Same,90,206,1,Same,4428.93629701575,1,0
mentalRotation,CJH,2,1,Practice,17,1,12-Dec-2009,13:58,0,3,2,0,148,1,Same,300,88,2,Different,2280.82628396805,0,1
mentalRotation,CJH,2,1,Practice,18,0,12-Dec-2009,13:58,0,5,1,0,148,2,Different,120,268,2,Different,4323.94181896234,1,0
mentalRotation,CJH,2,1,Practice,19,1,12-Dec-2009,13:58,0,2,2,0,148,2,Different,330,118,2,Different,9121.77459499799,1,0
mentalRotation,CJH,2,1,Practice,20,0,12-Dec-2009,13:58,0,2,2,0,148,1,Same,60,208,2,Different,3966.47705498617,0,1
mentalRotation,CJH,2,1,Practice,21,1,12-Dec-2009,13:58,0,5,1,0,180,2,Different,150,330,2,Different,4514.43299098173,1,0
mentalRotation,CJH,2,1,Practice,22,0,12-Dec-2009,13:58,0,5,2,0,180,1,Same,210,30,2,Different,2023.03694299189,0,1
mentalRotation,CJH,2,1,Practice,23,1,12-Dec-2009,13:59,0,3,2,0,180,2,Different,330,150,2,Different,2735.25258200243,1,0
mentalRotation,CJH,2,1,Practice,24,0,12-Dec-2009,13:59,0,3,1,0,180,1,Same,60,240,2,Different,3936.81967601879,0,1
mentalRotation,CJH,2,2,Test,25,1,12-Dec-2009,13:59,112,2,1,6,180,2,Different,0,180,2,Different,5852.83022501972,1,0
mentalRotation,CJH,2,2,Test,26,0,12-Dec-2009,13:59,19,4,2,2,52,1,Same,120,172,1,Same,2188.14548401861,1,0
mentalRotation,CJH,2,2,Test,27,1,12-Dec-2009,13:59,33,3,1,4,116,1,Same,120,236,1,Same,2076.46840502275,1,0
mentalRotation,CJH,2,2,Test,28,0,12-Dec-2009,13:59,10,5,2,1,20,1,Same,210,230,1,Same,3355.78230797546,1,0
mentalRotation,CJH,2,2,Test,29,1,12-Dec-2009,13:59,83,3,1,3,84,2,Different,270,354,2,Different,2849.68627296621,1,0
mentalRotation,CJH,2,2,Test,30,0,12-Dec-2009,13:59,28,3,2,3,84,1,Same,0,84,1,Same,8026.8120780238,1,0
mentalRotation,CJH,2,2,Test,31,1,12-Dec-2009,13:59,29,4,2,3,84,1,Same,120,204,1,Same,1360.21751200315,1,0
mentalRotation,CJH,2,2,Test,32,0,12-Dec-2009,13:59,66,1,2,1,20,2,Different,180,200,2,Different,4595.6074600108,1,0
mentalRotation,CJH,2,2,Test,33,1,12-Dec-2009,14:00,70,5,2,1,20,2,Different,240,260,2,Different,5782.34621201409,1,0
mentalRotation,CJH,2,2,Test,34,0,12-Dec-2009,14:00,113,3,1,6,180,2,Different,30,210,2,Different,6042.21790202428,1,0
mentalRotation,CJH,2,2,Test,35,1,12-Dec-2009,14:00,8,3,2,1,20,1,Same,90,110,1,Same,1593.37978000985,1,0
mentalRotation,CJH,2,2,Test,36,0,12-Dec-2009,14:00,14,4,1,2,52,1,Same,210,262,1,Same,3692.77487898944,1,0
mentalRotation,CJH,2,2,Test,37,1,12-Dec-2009,14:00,82,2,1,3,84,2,Different,210,294,2,Different,5392.31030200608,1,0
mentalRotation,CJH,2,2,Test,38,0,12-Dec-2009,14:00,47,2,2,5,148,1,Same,90,238,1,Same,4488.98704099702,1,0
mentalRotation,CJH,2,2,Test,39,1,12-Dec-2009,14:00,63,3,1,1,20,2,Different,240,260,2,Different,3338.06989196455,1,0
mentalRotation,CJH,2,2,Test,40,0,12-Dec-2009,14:00,75,5,1,2,52,2,Different,150,202,2,Different,16744.976721995,1,0
mentalRotation,CJH,2,2,Test,41,1,12-Dec-2009,14:01,31,1,1,4,116,1,Same,240,356,1,Same,16672.579466016,1,0
mentalRotation,CJH,2,2,Test,42,0,12-Dec-2009,14:01,3,3,1,1,20,1,Same,330,350,1,Same,2127.00447597308,1,0
mentalRotation,CJH,2,2,Test,43,1,12-Dec-2009,14:01,110,5,2,5,148,2,Different,210,358,2,Different,1603.17980399122,1,0
mentalRotation,CJH,2,2,Test,44,0,12-Dec-2009,14:01,48,3,2,5,148,1,Same,210,358,2,Different,7299.10215496784,0,1
mentalRotation,CJH,2,2,Test,45,1,12-Dec-2009,14:01,54,4,1,6,180,1,Same,180,0,2,Different,3586.78863494424,0,1
mentalRotation,CJH,2,2,Test,46,0,12-Dec-2009,14:01,91,1,1,4,116,2,Different,30,146,1,Same,3066.21023995103,0,1
mentalRotation,CJH,2,2,Test,47,1,12-Dec-2009,14:01,81,1,1,3,84,2,Different,150,234,2,Different,7213.15859799506,1,0
mentalRotation,CJH,2,2,Test,48,0,12-Dec-2009,14:02,38,3,2,4,116,1,Same,30,146,2,Different,1708.72835902264,0,1
mentalRotation,CJH,2,2,Test,49,1,12-Dec-2009,14:02,53,3,1,6,180,1,Same,0,180,2,Different,2193.20924696513,0,1
mentalRotation,CJH,2,2,Test,50,0,12-Dec-2009,14:02,87,2,2,3,84,2,Different,120,204,2,Different,4027.67914504511,1,0
mentalRotation,CJH,2,2,Test,51,1,12-Dec-2009,14:02,9,4,2,1,20,1,Same,120,140,1,Same,1527.77657803381,1,0
mentalRotation,CJH,2,2,Test,52,0,12-Dec-2009,14:02,5,5,1,1,20,1,Same,90,110,1,Same,1828.27966997866,1,0
mentalRotation,CJH,2,2,Test,53,1,12-Dec-2009,14:02,13,3,1,2,52,1,Same,270,322,1,Same,1354.76487496635,1,0
mentalRotation,CJH,2,2,Test,54,0,12-Dec-2009,14:02,86,1,2,3,84,2,Different,180,264,2,Different,3151.61413303576,1,0
mentalRotation,CJH,2,2,Test,55,1,12-Dec-2009,14:02,4,4,1,1,20,1,Same,270,290,1,Same,1386.68899796903,1,0
mentalRotation,CJH,2,2,Test,56,0,12-Dec-2009,14:02,23,3,1,3,84,1,Same,60,144,1,Same,4244.63986401679,1,0
mentalRotation,CJH,2,2,Test,57,1,12-Dec-2009,14:02,116,1,2,6,180,2,Different,330,150,2,Different,2851.4905909542,1,0
mentalRotation,CJH,2,2,Test,58,0,12-Dec-2009,14:02,27,2,2,3,84,1,Same,0,84,1,Same,5948.24855099432,1,0
mentalRotation,CJH,2,2,Test,59,1,12-Dec-2009,14:02,50,5,2,5,148,1,Same,210,358,2,Different,5251.20618898654,0,1
mentalRotation,CJH,2,2,Test,60,0,12-Dec-2009,14:03,80,5,2,2,52,2,Different,60,112,2,Different,2131.69733097311,1,0
mentalRotation,CJH,2,2,Test,61,1,12-Dec-2009,14:03,39,4,2,4,116,1,Same,210,326,2,Different,7661.66893101763,0,1
mentalRotation,CJH,2,2,Test,62,0,12-Dec-2009,14:03,18,3,2,2,52,1,Same,30,82,2,Different,2817.59836903075,0,1
mentalRotation,CJH,2,2,Test,63,1,12-Dec-2009,14:03,69,4,2,1,20,2,Different,330,350,2,Different,3488.86613600189,1,0
mentalRotation,CJH,2,2,Test,64,0,12-Dec-2009,14:03,102,2,1,5,148,2,Different,270,58,1,Same,7007.20436900156,0,1
mentalRotation,CJH,2,2,Test,65,1,12-Dec-2009,14:03,103,3,1,5,148,2,Different,330,118,2,Different,1285.76337301638,1,0
mentalRotation,CJH,2,2,Test,66,0,12-Dec-2009,14:03,6,1,2,1,20,1,Same,240,260,1,Same,2155.55003099144,1,0
mentalRotation,CJH,2,2,Test,67,1,12-Dec-2009,14:03,61,1,1,1,20,2,Different,270,290,2,Different,3536.5118579939,1,0
mentalRotation,CJH,2,2,Test,68,0,12-Dec-2009,14:03,67,2,2,1,20,2,Different,210,230,1,Same,10379.294089973,0,1
mentalRotation,CJH,2,2,Test,69,1,12-Dec-2009,14:04,22,2,1,3,84,1,Same,240,324,1,Same,2721.97565098759,1,0
mentalRotation,CJH,2,2,Test,70,0,12-Dec-2009,14:04,99,4,2,4,116,2,Different,210,326,2,Different,3674.70084503293,1,0
mentalRotation,CJH,2,2,Test,71,1,12-Dec-2009,14:04,98,3,2,4,116,2,Different,180,296,2,Different,4308.30286297714,1,0
mentalRotation,CJH,2,2,Test,72,0,12-Dec-2009,14:04,11,1,1,2,52,1,Same,270,322,1,Same,2240.95265998039,1,0
mentalRotation,CJH,2,2,Test,73,1,12-Dec-2009,14:04,49,4,2,5,148,1,Same,150,298,1,Same,5303.10567701235,1,0
mentalRotation,CJH,2,2,Test,74,0,12-Dec-2009,14:04,30,5,2,3,84,1,Same,270,354,1,Same,3745.86541100871,1,0
mentalRotation,CJH,2,2,Test,75,1,12-Dec-2009,14:04,52,2,1,6,180,1,Same,120,300,1,Same,5621.49393203435,1,0
mentalRotation,CJH,2,2,Test,76,0,12-Dec-2009,14:04,58,3,2,6,180,1,Same,30,210,1,Same,4513.86356400326,1,0
mentalRotation,CJH,2,2,Test,77,1,12-Dec-2009,14:04,64,4,1,1,20,2,Different,150,170,2,Different,3801.26763897715,1,0
mentalRotation,CJH,2,2,Test,78,0,12-Dec-2009,14:04,93,3,1,4,116,2,Different,60,176,2,Different,1933.68724000175,1,0
mentalRotation,CJH,2,2,Test,79,1,12-Dec-2009,14:05,45,5,1,5,148,1,Same,210,358,1,Same,10124.2033919552,1,0
mentalRotation,CJH,2,2,Test,80,0,12-Dec-2009,14:05,42,2,1,5,148,1,Same,90,238,1,Same,2859.79311697884,1,0
mentalRotation,CJH,2,2,Test,81,1,12-Dec-2009,14:05,62,2,1,1,20,2,Different,60,80,2,Different,3105.0327619887,1,0
mentalRotation,CJH,2,2,Test,82,0,12-Dec-2009,14:05,74,4,1,2,52,2,Different,120,172,2,Different,3227.6265519904,1,0
mentalRotation,CJH,2,2,Test,83,1,12-Dec-2009,14:05,26,1,2,3,84,1,Same,60,144,1,Same,3121.28513702191,1,0
mentalRotation,CJH,2,2,Test,84,0,12-Dec-2009,14:05,76,1,2,2,52,2,Different,120,172,2,Different,5445.43492002413,1,0
