exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,DDA,1,1,Practice,1,1,17-Feb-2010,11:07,0,3,2,0,20,1,Same,240,260,2,Different,2506.73932163045,0,1
mentalRotation,DDA,1,1,Practice,2,0,17-Feb-2010,11:07,0,3,1,0,20,1,Same,150,170,1,Same,4697.97953311354,1,0
mentalRotation,DDA,1,1,Practice,3,1,17-Feb-2010,11:07,0,4,1,0,20,2,Different,210,230,2,Different,6154.45970091969,1,0
mentalRotation,DDA,1,1,Practice,4,0,17-Feb-2010,11:07,0,3,1,0,20,2,Different,240,260,1,Same,4733.04130788893,0,1
mentalRotation,DDA,1,1,Practice,5,1,17-Feb-2010,11:07,0,2,1,0,52,2,Different,180,232,1,Same,4336.8184058927,0,1
mentalRotation,DDA,1,1,Practice,6,0,17-Feb-2010,11:07,0,5,2,0,52,2,Different,90,142,2,Different,5255.72178186849,1,0
mentalRotation,DDA,1,1,Practice,7,1,17-Feb-2010,11:08,0,5,1,0,52,1,Same,0,52,1,Same,3539.90457998589,1,0
mentalRotation,DDA,1,1,Practice,8,0,17-Feb-2010,11:08,0,1,2,0,52,1,Same,300,352,1,Same,5188.47220484167,1,0
mentalRotation,DDA,1,1,Practice,9,1,17-Feb-2010,11:08,0,2,2,0,84,2,Different,330,54,2,Different,3259.06530814245,1,0
mentalRotation,DDA,1,1,Practice,10,0,17-Feb-2010,11:08,0,2,1,0,84,2,Different,210,294,2,Different,4094.0448329784,1,0
mentalRotation,DDA,1,1,Practice,11,1,17-Feb-2010,11:08,0,1,1,0,84,1,Same,150,234,1,Same,5916.92177066579,1,0
mentalRotation,DDA,1,1,Practice,12,0,17-Feb-2010,11:08,0,4,2,0,84,1,Same,180,264,2,Different,4250.07484667003,0,1
mentalRotation,DDA,1,1,Practice,13,1,17-Feb-2010,11:08,0,1,2,0,116,2,Different,30,146,2,Different,5252.535819076,1,0
mentalRotation,DDA,1,1,Practice,14,0,17-Feb-2010,11:08,0,1,1,0,116,2,Different,120,236,2,Different,5086.28308400512,1,0
mentalRotation,DDA,1,1,Practice,15,1,17-Feb-2010,11:08,0,4,2,0,116,1,Same,210,326,1,Same,4539.92138197646,1,0
mentalRotation,DDA,1,1,Practice,16,0,17-Feb-2010,11:09,0,1,1,0,116,1,Same,240,356,1,Same,4827.68147019669,1,0
mentalRotation,DDA,1,1,Practice,17,1,17-Feb-2010,11:09,0,1,1,0,148,2,Different,240,28,2,Different,4861.03974701837,1,0
mentalRotation,DDA,1,1,Practice,18,0,17-Feb-2010,11:09,0,3,2,0,148,1,Same,60,208,2,Different,5454.10942286253,0,1
mentalRotation,DDA,1,1,Practice,19,1,17-Feb-2010,11:09,0,4,1,0,148,1,Same,270,58,2,Different,8740.33462861553,0,1
mentalRotation,DDA,1,1,Practice,20,0,17-Feb-2010,11:09,0,1,1,0,148,2,Different,240,28,1,Same,11253.4332540818,0,1
mentalRotation,DDA,1,1,Practice,21,1,17-Feb-2010,11:09,0,2,1,0,180,1,Same,30,210,2,Different,2043.31988701597,0,1
mentalRotation,DDA,1,1,Practice,22,0,17-Feb-2010,11:09,0,5,2,0,180,1,Same,0,180,2,Different,5073.18910257891,0,1
mentalRotation,DDA,1,1,Practice,23,1,17-Feb-2010,11:10,0,2,2,0,180,2,Different,60,240,2,Different,7202.8759047389,1,0
mentalRotation,DDA,1,1,Practice,24,0,17-Feb-2010,11:10,0,5,1,0,180,2,Different,210,30,1,Same,11797.4503831938,0,1
mentalRotation,DDA,1,2,Test,25,1,17-Feb-2010,11:10,63,3,1,1,20,2,Different,210,230,1,Same,5663.57696196064,0,1
mentalRotation,DDA,1,2,Test,26,0,17-Feb-2010,11:10,64,4,1,1,20,2,Different,240,260,1,Same,2534.39145721495,0,1
mentalRotation,DDA,1,2,Test,27,1,17-Feb-2010,11:10,103,3,1,5,148,2,Different,150,298,1,Same,4541.64376622066,0,1
mentalRotation,DDA,1,2,Test,28,0,17-Feb-2010,11:10,100,5,2,4,116,2,Different,240,356,2,Different,5835.56608110666,1,0
mentalRotation,DDA,1,2,Test,29,1,17-Feb-2010,11:10,79,4,2,2,52,2,Different,90,142,2,Different,9019.09482013434,1,0
mentalRotation,DDA,1,2,Test,30,0,17-Feb-2010,11:11,98,3,2,4,116,2,Different,90,206,2,Different,5043.06713305414,1,0
mentalRotation,DDA,1,2,Test,31,1,17-Feb-2010,11:11,111,1,1,6,180,2,Different,210,30,1,Same,7059.98542811722,0,1
mentalRotation,DDA,1,2,Test,32,0,17-Feb-2010,11:11,70,5,2,1,20,2,Different,120,140,2,Different,7210.84378007799,1,0
mentalRotation,DDA,1,2,Test,33,1,17-Feb-2010,11:11,99,4,2,4,116,2,Different,30,146,1,Same,4054.36213919893,0,1
mentalRotation,DDA,1,2,Test,34,0,17-Feb-2010,11:11,3,3,1,1,20,1,Same,300,320,1,Same,3508.20963364094,1,0
mentalRotation,DDA,1,2,Test,35,1,17-Feb-2010,11:11,76,1,2,2,52,2,Different,90,142,2,Different,6141.99295826256,1,0
mentalRotation,DDA,1,2,Test,36,0,17-Feb-2010,11:11,10,5,2,1,20,1,Same,180,200,1,Same,2656.42111282796,1,0
mentalRotation,DDA,1,2,Test,37,1,17-Feb-2010,11:11,31,1,1,4,116,1,Same,270,26,1,Same,5227.85948310047,1,0
mentalRotation,DDA,1,2,Test,38,0,17-Feb-2010,11:12,25,5,1,3,84,1,Same,150,234,1,Same,2221.99086192995,1,0
mentalRotation,DDA,1,2,Test,39,1,17-Feb-2010,11:12,47,2,2,5,148,1,Same,150,298,1,Same,4409.3507649377,1,0
mentalRotation,DDA,1,2,Test,40,0,17-Feb-2010,11:12,73,3,1,2,52,2,Different,270,322,2,Different,3429.56605367362,1,0
mentalRotation,DDA,1,2,Test,41,1,17-Feb-2010,11:12,49,4,2,5,148,1,Same,30,178,1,Same,4708.00612866879,1,0
mentalRotation,DDA,1,2,Test,42,0,17-Feb-2010,11:12,43,3,1,5,148,1,Same,0,148,1,Same,2429.17409026995,1,0
mentalRotation,DDA,1,2,Test,43,1,17-Feb-2010,11:12,28,3,2,3,84,1,Same,120,204,1,Same,1557.63037316501,1,0
mentalRotation,DDA,1,2,Test,44,0,17-Feb-2010,11:12,29,4,2,3,84,1,Same,60,144,1,Same,3346.14257607609,1,0
mentalRotation,DDA,1,2,Test,45,1,17-Feb-2010,11:12,115,5,1,6,180,2,Different,150,330,2,Different,2290.47851171345,1,0
mentalRotation,DDA,1,2,Test,46,0,17-Feb-2010,11:12,16,1,2,2,52,1,Same,150,202,1,Same,3730.99919082597,1,0
mentalRotation,DDA,1,2,Test,47,1,17-Feb-2010,11:12,81,1,1,3,84,2,Different,210,294,1,Same,8522.32782403007,0,1
mentalRotation,DDA,1,2,Test,48,0,17-Feb-2010,11:13,9,4,2,1,20,1,Same,270,290,1,Same,1400.32466314733,1,0
mentalRotation,DDA,1,2,Test,49,1,17-Feb-2010,11:13,56,1,2,6,180,1,Same,60,240,1,Same,8695.14293409884,1,0
mentalRotation,DDA,1,2,Test,50,0,17-Feb-2010,11:13,40,5,2,4,116,1,Same,150,266,1,Same,5704.57875123248,1,0
mentalRotation,DDA,1,2,Test,51,1,17-Feb-2010,11:13,59,4,2,6,180,1,Same,30,210,1,Same,3348.15001208335,1,0
mentalRotation,DDA,1,2,Test,52,0,17-Feb-2010,11:13,4,4,1,1,20,1,Same,210,230,1,Same,2268.51831935346,1,0
mentalRotation,DDA,1,2,Test,53,1,17-Feb-2010,11:13,110,5,2,5,148,2,Different,240,28,2,Different,5762.99807615578,1,0
mentalRotation,DDA,1,2,Test,54,0,17-Feb-2010,11:13,120,5,2,6,180,2,Different,210,30,2,Different,4634.30812582374,1,0
mentalRotation,DDA,1,2,Test,55,1,17-Feb-2010,11:13,50,5,2,5,148,1,Same,60,208,2,Different,2480.81984370947,0,1
mentalRotation,DDA,1,2,Test,56,0,17-Feb-2010,11:13,20,5,2,2,52,1,Same,240,292,2,Different,4692.45182489976,0,1
mentalRotation,DDA,1,2,Test,57,1,17-Feb-2010,11:13,62,2,1,1,20,2,Different,30,50,2,Different,3866.91685812548,1,0
mentalRotation,DDA,1,2,Test,58,0,17-Feb-2010,11:14,74,4,1,2,52,2,Different,270,322,2,Different,4976.90040431917,1,0
mentalRotation,DDA,1,2,Test,59,1,17-Feb-2010,11:14,18,3,2,2,52,1,Same,240,292,1,Same,3071.82887522504,1,0
mentalRotation,DDA,1,2,Test,60,0,17-Feb-2010,11:14,51,1,1,6,180,1,Same,120,300,1,Same,5232.45293693617,1,0
mentalRotation,DDA,1,2,Test,61,1,17-Feb-2010,11:14,109,4,2,5,148,2,Different,150,298,2,Different,7725.26788292453,1,0
mentalRotation,DDA,1,2,Test,62,0,17-Feb-2010,11:14,106,1,2,5,148,2,Different,180,328,2,Different,10107.4346899986,1,0
mentalRotation,DDA,1,2,Test,63,1,17-Feb-2010,11:14,57,2,2,6,180,1,Same,210,30,1,Same,3486.62422411144,1,0
mentalRotation,DDA,1,2,Test,64,0,17-Feb-2010,11:14,34,4,1,4,116,1,Same,240,356,1,Same,3736.62951495498,1,0
mentalRotation,DDA,1,2,Test,65,1,17-Feb-2010,11:14,68,3,2,1,20,2,Different,210,230,1,Same,3622.31135182083,0,1
mentalRotation,DDA,1,2,Test,66,0,17-Feb-2010,11:15,32,2,1,4,116,1,Same,180,296,1,Same,4361.77166504785,1,0
mentalRotation,DDA,1,2,Test,67,1,17-Feb-2010,11:15,61,1,1,1,20,2,Different,270,290,2,Different,4980.49346776679,1,0
mentalRotation,DDA,1,2,Test,68,0,17-Feb-2010,11:15,52,2,1,6,180,1,Same,150,330,1,Same,6668.97767875344,1,0
mentalRotation,DDA,1,2,Test,69,1,17-Feb-2010,11:15,88,3,2,3,84,2,Different,120,204,1,Same,4375.87075866759,0,1
mentalRotation,DDA,1,2,Test,70,0,17-Feb-2010,11:15,17,2,2,2,52,1,Same,300,352,1,Same,4061.14968284965,1,0
mentalRotation,DDA,1,2,Test,71,1,17-Feb-2010,11:15,104,4,1,5,148,2,Different,30,178,2,Different,7818.30333918333,1,0
mentalRotation,DDA,1,2,Test,72,0,17-Feb-2010,11:15,83,3,1,3,84,2,Different,150,234,2,Different,10262.3340808786,1,0
mentalRotation,DDA,1,2,Test,73,1,17-Feb-2010,11:16,78,3,2,2,52,2,Different,60,112,2,Different,2187.61856621131,1,0
mentalRotation,DDA,1,2,Test,74,0,17-Feb-2010,11:16,54,4,1,6,180,1,Same,330,150,1,Same,6197.42155680433,1,0
mentalRotation,DDA,1,2,Test,75,1,17-Feb-2010,11:16,75,5,1,2,52,2,Different,330,22,2,Different,4588.58611481264,1,0
mentalRotation,DDA,1,2,Test,76,0,17-Feb-2010,11:16,89,4,2,3,84,2,Different,300,24,2,Different,3961.012407206,1,0
mentalRotation,DDA,1,2,Test,77,1,17-Feb-2010,11:16,66,1,2,1,20,2,Different,120,140,2,Different,8235.76960433275,1,0
mentalRotation,DDA,1,2,Test,78,0,17-Feb-2010,11:16,13,3,1,2,52,1,Same,120,172,1,Same,3348.35732774809,1,0
mentalRotation,DDA,1,2,Test,79,1,17-Feb-2010,11:16,53,3,1,6,180,1,Same,270,90,1,Same,2749.45670971647,1,0
mentalRotation,DDA,1,2,Test,80,0,17-Feb-2010,11:16,94,4,1,4,116,2,Different,60,176,2,Different,5504.21308493242,1,0
mentalRotation,DDA,1,2,Test,81,1,17-Feb-2010,11:16,114,4,1,6,180,2,Different,330,150,2,Different,3512.71922094747,1,0
mentalRotation,DDA,1,2,Test,82,0,17-Feb-2010,11:16,108,3,2,5,148,2,Different,30,178,2,Different,3331.51593385264,1,0
mentalRotation,DDA,1,2,Test,83,1,17-Feb-2010,11:17,72,2,1,2,52,2,Different,330,22,2,Different,3836.19059901685,1,0
mentalRotation,DDA,1,2,Test,84,0,17-Feb-2010,11:17,5,5,1,1,20,1,Same,180,200,1,Same,1429.67208521441,1,0
mentalRotation,DDA,1,2,Test,85,1,17-Feb-2010,11:17,97,2,2,4,116,2,Different,300,56,2,Different,8224.23106711358,1,0
mentalRotation,DDA,1,2,Test,86,0,17-Feb-2010,11:17,38,3,2,4,116,1,Same,150,266,1,Same,1804.70324773341,1,0
mentalRotation,DDA,1,2,Test,87,1,17-Feb-2010,11:17,27,2,2,3,84,1,Same,270,354,1,Same,4048.07303100824,1,0
mentalRotation,DDA,1,2,Test,88,0,17-Feb-2010,11:17,58,3,2,6,180,1,Same,330,150,1,Same,1120.39563199505,1,0
