exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,DRK,1,1,Practice,1,1,07-Jan-2010,16:17,0,3,1,0,20,1,Same,90,110,1,Same,3331.8986648228,1,0
mentalRotation,DRK,1,1,Practice,2,0,07-Jan-2010,16:17,0,3,2,0,20,2,Different,180,200,2,Different,1834.60184605792,1,0
mentalRotation,DRK,1,1,Practice,3,1,07-Jan-2010,16:17,0,2,2,0,20,1,Same,180,200,2,Different,2736.51840398088,0,1
mentalRotation,DRK,1,1,Practice,4,0,07-Jan-2010,16:17,0,1,2,0,20,2,Different,60,80,1,Same,1502.68356106244,0,1
mentalRotation,DRK,1,1,Practice,5,1,07-Jan-2010,16:17,0,5,1,0,52,2,Different,330,22,2,Different,20650.8057250176,1,0
mentalRotation,DRK,1,1,Practice,6,0,07-Jan-2010,16:18,0,1,1,0,52,1,Same,210,262,2,Different,3131.80388417095,0,1
mentalRotation,DRK,1,1,Practice,7,1,07-Jan-2010,16:18,0,2,1,0,52,1,Same,90,142,1,Same,4910.73380899616,1,0
mentalRotation,DRK,1,1,Practice,8,0,07-Jan-2010,16:18,0,4,1,0,52,2,Different,300,352,2,Different,3314.5987780299,1,0
mentalRotation,DRK,1,1,Practice,9,1,07-Jan-2010,16:18,0,2,1,0,84,2,Different,210,294,2,Different,6026.69992810115,1,0
mentalRotation,DRK,1,1,Practice,10,0,07-Jan-2010,16:18,0,2,1,0,84,2,Different,90,174,2,Different,4051.09255597927,1,0
mentalRotation,DRK,1,1,Practice,11,1,07-Jan-2010,16:18,0,1,1,0,84,1,Same,330,54,1,Same,3239.71553309821,1,0
mentalRotation,DRK,1,1,Practice,12,0,07-Jan-2010,16:18,0,2,1,0,84,1,Same,150,234,1,Same,5676.91633105278,1,0
mentalRotation,DRK,1,1,Practice,13,1,07-Jan-2010,16:18,0,2,2,0,116,2,Different,300,56,2,Different,4644.21487599611,1,0
mentalRotation,DRK,1,1,Practice,14,0,07-Jan-2010,16:19,0,2,1,0,116,1,Same,240,356,1,Same,3847.07112587057,1,0
mentalRotation,DRK,1,1,Practice,15,1,07-Jan-2010,16:19,0,3,2,0,116,2,Different,90,206,2,Different,7600.24009598419,1,0
mentalRotation,DRK,1,1,Practice,16,0,07-Jan-2010,16:19,0,2,1,0,116,1,Same,330,86,1,Same,3649.06245400198,1,0
