exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,EKO,2,1,Practice,1,1,12-Mar-2010,16:09,0,4,1,0,20,1,Same,90,110,1,Same,2329.6157210134,1,0
mentalRotation,EKO,2,1,Practice,2,0,12-Mar-2010,16:09,0,3,2,0,20,2,Different,90,110,2,Different,8165.69426795468,1,0
mentalRotation,EKO,2,1,Practice,3,1,12-Mar-2010,16:09,0,5,2,0,20,2,Different,0,20,2,Different,2476.02674202062,1,0
mentalRotation,EKO,2,1,Practice,4,0,12-Mar-2010,16:09,0,4,1,0,20,1,Same,60,80,1,Same,1563.72530898079,1,0
mentalRotation,EKO,2,1,Practice,5,1,12-Mar-2010,16:09,0,5,1,0,52,1,Same,330,22,1,Same,1887.08747900091,1,0
mentalRotation,EKO,2,1,Practice,6,0,12-Mar-2010,16:09,0,5,1,0,52,1,Same,30,82,2,Different,3133.17840499803,0,1
mentalRotation,EKO,2,1,Practice,7,1,12-Mar-2010,16:09,0,5,2,0,52,2,Different,30,82,2,Different,1474.3581879884,1,0
mentalRotation,EKO,2,1,Practice,8,0,12-Mar-2010,16:09,0,5,1,0,52,2,Different,0,52,1,Same,144.603323889896,0,1
mentalRotation,EKO,2,1,Practice,9,1,12-Mar-2010,16:09,0,1,1,0,84,1,Same,90,174,1,Same,2718.85737613775,1,0
mentalRotation,EKO,2,1,Practice,10,0,12-Mar-2010,16:10,0,1,1,0,84,2,Different,180,264,2,Different,3150.4452500958,1,0
mentalRotation,EKO,2,1,Practice,11,1,12-Mar-2010,16:10,0,4,1,0,84,1,Same,180,264,1,Same,3012.03766604885,1,0
mentalRotation,EKO,2,1,Practice,12,0,12-Mar-2010,16:10,0,1,2,0,84,2,Different,30,114,2,Different,2164.05953792855,1,0
mentalRotation,EKO,2,1,Practice,13,1,12-Mar-2010,16:10,0,2,2,0,116,1,Same,300,56,1,Same,3855.51921697333,1,0
mentalRotation,EKO,2,1,Practice,14,0,12-Mar-2010,16:10,0,3,1,0,116,2,Different,30,146,1,Same,1075.87083708495,0,1
mentalRotation,EKO,2,1,Practice,15,1,12-Mar-2010,16:10,0,1,2,0,116,2,Different,330,86,1,Same,1154.16355896741,0,1
mentalRotation,EKO,2,1,Practice,16,0,12-Mar-2010,16:10,0,5,1,0,116,1,Same,90,206,1,Same,355.976297985762,1,0
mentalRotation,EKO,2,1,Practice,17,1,12-Mar-2010,16:10,0,1,1,0,148,2,Different,90,238,1,Same,4882.25395814516,0,1
mentalRotation,EKO,2,1,Practice,18,0,12-Mar-2010,16:10,0,1,2,0,148,2,Different,330,118,1,Same,3137.12965790182,0,1
mentalRotation,EKO,2,1,Practice,19,1,12-Mar-2010,16:10,0,1,2,0,148,1,Same,30,178,2,Different,2579.14506504312,0,1
