exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,EML,2,1,Practice,1,1,09-Apr-2010,16:07,0,3,1,0,20,1,Same,210,230,1,Same,2503.94309599869,1,0
mentalRotation,EML,2,1,Practice,2,0,09-Apr-2010,16:07,0,4,1,0,20,2,Different,300,320,2,Different,2956.8114169997,1,0
mentalRotation,EML,2,1,Practice,3,1,09-Apr-2010,16:07,0,5,1,0,20,1,Same,0,20,1,Same,1659.73397199923,1,0
mentalRotation,EML,2,1,Practice,4,0,09-Apr-2010,16:07,0,4,1,0,20,2,Different,240,260,2,Different,3279.51163299804,1,0
mentalRotation,EML,2,1,Practice,5,1,09-Apr-2010,16:07,0,2,1,0,52,2,Different,90,142,2,Different,3908.20943200015,1,0
mentalRotation,EML,2,1,Practice,6,0,09-Apr-2010,16:07,0,1,1,0,52,1,Same,330,22,1,Same,1322.7805869974,1,0
mentalRotation,EML,2,1,Practice,7,1,09-Apr-2010,16:07,0,5,1,0,52,1,Same,270,322,1,Same,1549.31111400219,1,0
mentalRotation,EML,2,1,Practice,8,0,09-Apr-2010,16:07,0,1,2,0,52,2,Different,210,262,1,Same,2411.2336199978,0,1
mentalRotation,EML,2,1,Practice,9,1,09-Apr-2010,16:07,0,3,1,0,84,1,Same,120,204,1,Same,1817.50597000064,1,0
mentalRotation,EML,2,1,Practice,10,0,09-Apr-2010,16:08,0,3,2,0,84,2,Different,60,144,2,Different,2205.27827700062,1,0
mentalRotation,EML,2,1,Practice,11,1,09-Apr-2010,16:08,0,4,2,0,84,2,Different,30,114,2,Different,3582.32090900128,1,0
mentalRotation,EML,2,1,Practice,12,0,09-Apr-2010,16:08,0,4,2,0,84,1,Same,300,24,2,Different,1582.09590000115,0,1
mentalRotation,EML,2,1,Practice,13,1,09-Apr-2010,16:08,0,1,1,0,116,2,Different,240,356,2,Different,6010.17470400257,1,0
