exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,GM1,2,1,Practice,1,1,26-Feb-2010,16:02,0,4,2,0,20,1,Same,300,320,1,Same,5493.09916701168,1,0
mentalRotation,GM1,2,1,Practice,2,0,26-Feb-2010,16:02,0,3,1,0,20,1,Same,0,20,1,Same,1864.00623398367,1,0
mentalRotation,GM1,2,1,Practice,3,1,26-Feb-2010,16:02,0,4,2,0,20,2,Different,60,80,2,Different,3610.55697398842,1,0
mentalRotation,GM1,2,1,Practice,4,0,26-Feb-2010,16:02,0,5,1,0,20,2,Different,120,140,2,Different,6826.96330000181,1,0
mentalRotation,GM1,2,1,Practice,5,1,26-Feb-2010,16:03,0,5,1,0,52,1,Same,90,142,1,Same,3839.74769999622,1,0
mentalRotation,GM1,2,1,Practice,6,0,26-Feb-2010,16:03,0,1,1,0,52,2,Different,180,232,2,Different,12635.6729260006,1,0
mentalRotation,GM1,2,1,Practice,7,1,26-Feb-2010,16:03,0,5,2,0,52,1,Same,150,202,1,Same,2424.38669898547,1,0
mentalRotation,GM1,2,1,Practice,8,0,26-Feb-2010,16:03,0,1,2,0,52,2,Different,210,262,2,Different,5344.93550300249,1,0
mentalRotation,GM1,2,1,Practice,9,1,26-Feb-2010,16:03,0,2,1,0,84,2,Different,120,204,1,Same,6694.53687997884,0,1
mentalRotation,GM1,2,1,Practice,10,0,26-Feb-2010,16:03,0,1,2,0,84,1,Same,210,294,1,Same,3779.12038000068,1,0
mentalRotation,GM1,2,1,Practice,11,1,26-Feb-2010,16:03,0,3,1,0,84,1,Same,240,324,2,Different,9281.54902698589,0,1
mentalRotation,GM1,2,1,Practice,12,0,26-Feb-2010,16:04,0,4,1,0,84,2,Different,30,114,1,Same,5138.61260699923,0,1
mentalRotation,GM1,2,1,Practice,13,1,26-Feb-2010,16:04,0,5,1,0,116,1,Same,120,236,2,Different,4429.08829299267,0,1
mentalRotation,GM1,2,1,Practice,14,0,26-Feb-2010,16:04,0,4,2,0,116,1,Same,0,116,1,Same,4488.17495899857,1,0
mentalRotation,GM1,2,1,Practice,15,1,26-Feb-2010,16:04,0,2,2,0,116,2,Different,300,56,2,Different,11347.6996319951,1,0
mentalRotation,GM1,2,1,Practice,16,0,26-Feb-2010,16:04,0,4,2,0,116,2,Different,330,86,2,Different,4256.42026300193,1,0
mentalRotation,GM1,2,1,Practice,17,1,26-Feb-2010,16:04,0,1,1,0,148,2,Different,120,268,2,Different,3844.26986300969,1,0
mentalRotation,GM1,2,1,Practice,18,0,26-Feb-2010,16:04,0,2,1,0,148,1,Same,270,58,1,Same,5717.39941899432,1,0
mentalRotation,GM1,2,1,Practice,19,1,26-Feb-2010,16:04,0,4,2,0,148,1,Same,210,358,1,Same,3475.23111500777,1,0
mentalRotation,GM1,2,1,Practice,20,0,26-Feb-2010,16:05,0,5,1,0,148,2,Different,150,298,2,Different,9888.97522498155,1,0
mentalRotation,GM1,2,1,Practice,21,1,26-Feb-2010,16:05,0,3,2,0,180,2,Different,240,60,2,Different,8891.24180297949,1,0
mentalRotation,GM1,2,1,Practice,22,0,26-Feb-2010,16:05,0,3,2,0,180,1,Same,150,330,1,Same,8860.98204599693,1,0
mentalRotation,GM1,2,1,Practice,23,1,26-Feb-2010,16:05,0,2,1,0,180,2,Different,0,180,2,Different,4952.34474400058,1,0
mentalRotation,GM1,2,1,Practice,24,0,26-Feb-2010,16:05,0,5,2,0,180,1,Same,60,240,1,Same,5982.45209199376,1,0
