exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,HZ1,2,1,Practice,1,1,20-Nov-2009,13:07,0,2,1,0,20,2,Different,150,170,1,Same,8842.44235900405,0,1
mentalRotation,HZ1,2,1,Practice,2,0,20-Nov-2009,13:07,0,4,2,0,20,1,Same,90,110,1,Same,2731.90086700197,1,0
mentalRotation,HZ1,2,1,Practice,3,1,20-Nov-2009,13:07,0,2,2,0,20,2,Different,150,170,2,Different,3560.66595499578,1,0
mentalRotation,HZ1,2,1,Practice,4,0,20-Nov-2009,13:07,0,4,1,0,20,1,Same,0,20,1,Same,1400.98277099605,1,0
mentalRotation,HZ1,2,1,Practice,5,1,20-Nov-2009,13:07,0,2,2,0,52,1,Same,240,292,1,Same,1535.00426400569,1,0
mentalRotation,HZ1,2,1,Practice,6,0,20-Nov-2009,13:07,0,2,1,0,52,2,Different,330,22,2,Different,450.683754999773,1,0
mentalRotation,HZ1,2,1,Practice,7,1,20-Nov-2009,13:07,0,1,2,0,52,2,Different,90,142,2,Different,329.053010005737,1,0
mentalRotation,HZ1,2,1,Practice,8,0,20-Nov-2009,13:07,0,2,2,0,52,1,Same,300,352,1,Same,219.354312008363,1,0
mentalRotation,HZ1,2,1,Practice,9,1,20-Nov-2009,13:07,0,3,2,0,84,2,Different,0,84,2,Different,258.404984997469,1,0
mentalRotation,HZ1,2,1,Practice,10,0,20-Nov-2009,13:07,0,5,1,0,84,1,Same,240,324,2,Different,354.633390001254,0,1
mentalRotation,HZ1,2,1,Practice,11,1,20-Nov-2009,13:07,0,5,1,0,84,2,Different,270,354,1,Same,1770.83056699485,0,1
mentalRotation,HZ1,2,1,Practice,12,0,20-Nov-2009,13:07,0,1,2,0,84,1,Same,150,234,1,Same,2092.57968500606,1,0
mentalRotation,HZ1,2,1,Practice,13,1,20-Nov-2009,13:07,0,1,1,0,116,2,Different,180,296,1,Same,307.057099998929,0,1
mentalRotation,HZ1,2,1,Practice,14,0,20-Nov-2009,13:07,0,4,1,0,116,1,Same,0,116,1,Same,295.154856008594,1,0
mentalRotation,HZ1,2,1,Practice,15,1,20-Nov-2009,13:07,0,3,2,0,116,1,Same,300,56,1,Same,2158.28906500246,1,0
mentalRotation,HZ1,2,1,Practice,16,0,20-Nov-2009,13:08,0,1,2,0,116,2,Different,120,236,2,Different,239.586821000557,1,0
mentalRotation,HZ1,2,1,Practice,17,1,20-Nov-2009,13:08,0,2,2,0,148,1,Same,120,268,1,Same,2213.83051099838,1,0
mentalRotation,HZ1,2,1,Practice,18,0,20-Nov-2009,13:08,0,1,2,0,148,1,Same,210,358,1,Same,2054.01413000072,1,0
mentalRotation,HZ1,2,1,Practice,19,1,20-Nov-2009,13:08,0,3,2,0,148,2,Different,150,298,1,Same,1758.51211699774,0,1
mentalRotation,HZ1,2,1,Practice,20,0,20-Nov-2009,13:08,0,2,2,0,148,2,Different,150,298,2,Different,2082.40720198955,1,0
mentalRotation,HZ1,2,1,Practice,21,1,20-Nov-2009,13:08,0,2,2,0,180,1,Same,270,90,1,Same,1612.38948299433,1,0
mentalRotation,HZ1,2,1,Practice,22,0,20-Nov-2009,13:08,0,1,2,0,180,2,Different,90,270,2,Different,1747.35134201183,1,0
mentalRotation,HZ1,2,1,Practice,23,1,20-Nov-2009,13:08,0,3,2,0,180,1,Same,90,270,1,Same,2131.21773100283,1,0
mentalRotation,HZ1,2,1,Practice,24,0,20-Nov-2009,13:08,0,1,1,0,180,2,Different,240,60,2,Different,1463.81309600838,1,0
mentalRotation,HZ1,2,2,Test,25,1,20-Nov-2009,13:08,74,4,1,2,52,2,Different,30,82,2,Different,1806.79808599234,1,0
mentalRotation,HZ1,2,2,Test,26,0,20-Nov-2009,13:08,1,1,1,1,20,1,Same,180,200,1,Same,971.737877000123,1,0
mentalRotation,HZ1,2,2,Test,27,1,20-Nov-2009,13:08,93,3,1,4,116,2,Different,120,236,2,Different,1850.1574480033,1,0
mentalRotation,HZ1,2,2,Test,28,0,20-Nov-2009,13:08,30,5,2,3,84,1,Same,180,264,1,Same,3124.11060399609,1,0
mentalRotation,HZ1,2,2,Test,29,1,20-Nov-2009,13:08,49,4,2,5,148,1,Same,180,328,1,Same,1604.76575698704,1,0
mentalRotation,HZ1,2,2,Test,30,0,20-Nov-2009,13:08,28,3,2,3,84,1,Same,120,204,1,Same,1392.46996499423,1,0
mentalRotation,HZ1,2,2,Test,31,1,20-Nov-2009,13:08,62,2,1,1,20,2,Different,150,170,2,Different,2299.19824498938,1,0
mentalRotation,HZ1,2,2,Test,32,0,20-Nov-2009,13:09,82,2,1,3,84,2,Different,0,84,2,Different,3189.14400799258,1,0
mentalRotation,HZ1,2,2,Test,33,1,20-Nov-2009,13:09,40,5,2,4,116,1,Same,120,236,1,Same,2684.02223799785,1,0
mentalRotation,HZ1,2,2,Test,34,0,20-Nov-2009,13:09,35,5,1,4,116,1,Same,270,26,1,Same,3422.04384600336,1,0
mentalRotation,HZ1,2,2,Test,35,1,20-Nov-2009,13:09,90,5,2,3,84,2,Different,90,174,2,Different,2017.75882299989,1,0
mentalRotation,HZ1,2,2,Test,36,0,20-Nov-2009,13:09,69,4,2,1,20,2,Different,120,140,2,Different,2508.55890499952,1,0
mentalRotation,HZ1,2,2,Test,37,1,20-Nov-2009,13:09,11,1,1,2,52,1,Same,330,22,1,Same,1211.42525400501,1,0
mentalRotation,HZ1,2,2,Test,38,0,20-Nov-2009,13:09,73,3,1,2,52,2,Different,60,112,2,Different,2571.95206599135,1,0
mentalRotation,HZ1,2,2,Test,39,1,20-Nov-2009,13:09,2,2,1,1,20,1,Same,210,230,1,Same,1043.00402700028,1,0
mentalRotation,HZ1,2,2,Test,40,0,20-Nov-2009,13:09,101,1,1,5,148,2,Different,180,328,2,Different,1701.44797299872,1,0
mentalRotation,HZ1,2,2,Test,41,1,20-Nov-2009,13:09,36,1,2,4,116,1,Same,30,146,1,Same,3144.89866599615,1,0
mentalRotation,HZ1,2,2,Test,42,0,20-Nov-2009,13:09,95,5,1,4,116,2,Different,150,266,2,Different,2792.42135900131,1,0
mentalRotation,HZ1,2,2,Test,43,1,20-Nov-2009,13:09,5,5,1,1,20,1,Same,30,50,1,Same,1527.44746200915,1,0
mentalRotation,HZ1,2,2,Test,44,0,20-Nov-2009,13:09,105,5,1,5,148,2,Different,300,88,2,Different,1244.41977900278,1,0
mentalRotation,HZ1,2,2,Test,45,1,20-Nov-2009,13:09,91,1,1,4,116,2,Different,240,356,2,Different,2278.66700499726,1,0
mentalRotation,HZ1,2,2,Test,46,0,20-Nov-2009,13:10,75,5,1,2,52,2,Different,240,292,2,Different,1916.74574300123,1,0
mentalRotation,HZ1,2,2,Test,47,1,20-Nov-2009,13:10,34,4,1,4,116,1,Same,210,326,1,Same,1443.14775100793,1,0
mentalRotation,HZ1,2,2,Test,48,0,20-Nov-2009,13:10,87,2,2,3,84,2,Different,210,294,2,Different,2740.1150020014,1,0
mentalRotation,HZ1,2,2,Test,49,1,20-Nov-2009,13:10,52,2,1,6,180,1,Same,120,300,1,Same,2308.16159100505,1,0
mentalRotation,HZ1,2,2,Test,50,0,20-Nov-2009,13:10,19,4,2,2,52,1,Same,210,262,1,Same,1119.62457100162,1,0
mentalRotation,HZ1,2,2,Test,51,1,20-Nov-2009,13:10,116,1,2,6,180,2,Different,90,270,2,Different,1554.54436999571,1,0
mentalRotation,HZ1,2,2,Test,52,0,20-Nov-2009,13:10,65,5,1,1,20,2,Different,210,230,2,Different,2213.89599499526,1,0
mentalRotation,HZ1,2,2,Test,53,1,20-Nov-2009,13:10,89,4,2,3,84,2,Different,30,114,2,Different,2316.5081400075,1,0
mentalRotation,HZ1,2,2,Test,54,0,20-Nov-2009,13:10,60,5,2,6,180,1,Same,120,300,2,Different,2475.03728899756,0,1
mentalRotation,HZ1,2,2,Test,55,1,20-Nov-2009,13:10,12,2,1,2,52,1,Same,210,262,1,Same,1223.90046500368,1,0
mentalRotation,HZ1,2,2,Test,56,0,20-Nov-2009,13:10,111,1,1,6,180,2,Different,60,240,2,Different,2186.11344600504,1,0
mentalRotation,HZ1,2,2,Test,57,1,20-Nov-2009,13:10,7,2,2,1,20,1,Same,30,50,1,Same,1214.84135399805,1,0
mentalRotation,HZ1,2,2,Test,58,0,20-Nov-2009,13:10,46,1,2,5,148,1,Same,60,208,2,Different,2155.3735829948,0,1
mentalRotation,HZ1,2,2,Test,59,1,20-Nov-2009,13:10,77,2,2,2,52,2,Different,120,172,2,Different,2121.46037600178,1,0
mentalRotation,HZ1,2,2,Test,60,0,20-Nov-2009,13:10,53,3,1,6,180,1,Same,150,330,2,Different,3729.05292699579,0,1
mentalRotation,HZ1,2,2,Test,61,1,20-Nov-2009,13:11,17,2,2,2,52,1,Same,180,232,1,Same,1732.40119499678,1,0
mentalRotation,HZ1,2,2,Test,62,0,20-Nov-2009,13:11,72,2,1,2,52,2,Different,270,322,2,Different,2447.06747800228,1,0
mentalRotation,HZ1,2,2,Test,63,1,20-Nov-2009,13:11,23,3,1,3,84,1,Same,120,204,1,Same,2756.8359010038,1,0
