exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,IMS,2,1,Practice,1,1,14-Dec-2009,16:08,0,2,1,0,20,2,Different,150,170,1,Same,3501.41167698894,0,1
mentalRotation,IMS,2,1,Practice,2,0,14-Dec-2009,16:08,0,1,1,0,20,1,Same,210,230,1,Same,1281.14779503085,1,0
mentalRotation,IMS,2,1,Practice,3,1,14-Dec-2009,16:08,0,2,2,0,20,2,Different,60,80,2,Different,3179.75912801921,1,0
mentalRotation,IMS,2,1,Practice,4,0,14-Dec-2009,16:08,0,2,1,0,20,1,Same,120,140,1,Same,1310.96712301951,1,0
mentalRotation,IMS,2,1,Practice,5,1,14-Dec-2009,16:08,0,1,2,0,52,1,Same,180,232,1,Same,1392.22353795776,1,0
mentalRotation,IMS,2,1,Practice,6,0,14-Dec-2009,16:08,0,3,2,0,52,1,Same,60,112,2,Different,1862.71250102436,0,1
mentalRotation,IMS,2,1,Practice,7,1,14-Dec-2009,16:08,0,4,1,0,52,2,Different,90,142,1,Same,1381.7370129982,0,1
mentalRotation,IMS,2,1,Practice,8,0,14-Dec-2009,16:08,0,3,2,0,52,2,Different,270,322,1,Same,1578.63346202066,0,1
mentalRotation,IMS,2,1,Practice,9,1,14-Dec-2009,16:09,0,1,2,0,84,1,Same,270,354,2,Different,1588.97719200468,0,1
mentalRotation,IMS,2,1,Practice,10,0,14-Dec-2009,16:09,0,2,1,0,84,1,Same,270,354,1,Same,2132.69298896194,1,0
mentalRotation,IMS,2,1,Practice,11,1,14-Dec-2009,16:09,0,2,2,0,84,2,Different,270,354,1,Same,2350.68058304023,0,1
mentalRotation,IMS,2,1,Practice,12,0,14-Dec-2009,16:09,0,3,1,0,84,2,Different,90,174,1,Same,1534.7813309636,0,1
mentalRotation,IMS,2,1,Practice,13,1,14-Dec-2009,16:09,0,1,1,0,116,1,Same,90,206,2,Different,2163.48042397294,0,1
mentalRotation,IMS,2,1,Practice,14,0,14-Dec-2009,16:09,0,3,2,0,116,2,Different,0,116,1,Same,2901.66402695468,0,1
mentalRotation,IMS,2,1,Practice,15,1,14-Dec-2009,16:09,0,4,1,0,116,1,Same,0,116,1,Same,1949.65077500092,1,0
mentalRotation,IMS,2,1,Practice,16,0,14-Dec-2009,16:09,0,1,2,0,116,2,Different,330,86,1,Same,2094.49598600622,0,1
mentalRotation,IMS,2,1,Practice,17,1,14-Dec-2009,16:09,0,5,2,0,148,2,Different,30,178,1,Same,2187.43046798045,0,1
mentalRotation,IMS,2,1,Practice,18,0,14-Dec-2009,16:09,0,1,2,0,148,1,Same,210,358,1,Same,2444.71026497195,1,0
mentalRotation,IMS,2,1,Practice,19,1,14-Dec-2009,16:09,0,2,1,0,148,1,Same,120,268,2,Different,1587.47580804629,0,1
mentalRotation,IMS,2,1,Practice,20,0,14-Dec-2009,16:09,0,4,2,0,148,2,Different,330,118,1,Same,880.533184972592,0,1
mentalRotation,IMS,2,1,Practice,21,1,14-Dec-2009,16:09,0,3,1,0,180,2,Different,90,270,1,Same,2062.6675169915,0,1
mentalRotation,IMS,2,1,Practice,22,0,14-Dec-2009,16:09,0,4,2,0,180,1,Same,90,270,1,Same,2720.65998695325,1,0
