exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,JCW,1,1,Practice,1,1,02-Dec-2009,16:25,0,2,2,0,20,1,Same,0,20,1,Same,2181.39673800033,1,0
mentalRotation,JCW,1,1,Practice,2,0,02-Dec-2009,16:25,0,1,2,0,20,2,Different,240,260,2,Different,3282.146077996,1,0
mentalRotation,JCW,1,1,Practice,3,1,02-Dec-2009,16:25,0,5,1,0,20,2,Different,60,80,2,Different,3308.28597000072,1,0
mentalRotation,JCW,1,1,Practice,4,0,02-Dec-2009,16:26,0,1,2,0,20,1,Same,180,200,1,Same,2063.77929000155,1,0
mentalRotation,JCW,1,1,Practice,5,1,02-Dec-2009,16:26,0,2,2,0,52,1,Same,210,262,1,Same,2964.87689499918,1,0
mentalRotation,JCW,1,1,Practice,6,0,02-Dec-2009,16:26,0,4,2,0,52,2,Different,180,232,2,Different,2624.32653099677,1,0
mentalRotation,JCW,1,1,Practice,7,1,02-Dec-2009,16:26,0,2,1,0,52,2,Different,330,22,2,Different,3125.27333700564,1,0
mentalRotation,JCW,1,1,Practice,8,0,02-Dec-2009,16:26,0,4,2,0,52,1,Same,150,202,1,Same,2639.373127,1,0
mentalRotation,JCW,1,1,Practice,9,1,02-Dec-2009,16:26,0,1,2,0,84,2,Different,120,204,1,Same,3678.58662299841,0,1
mentalRotation,JCW,1,1,Practice,10,0,02-Dec-2009,16:26,0,1,1,0,84,1,Same,120,204,1,Same,3496.10407,1,0
mentalRotation,JCW,1,1,Practice,11,1,02-Dec-2009,16:26,0,4,1,0,84,1,Same,300,24,1,Same,3619.50502699619,1,0
mentalRotation,JCW,1,1,Practice,12,0,02-Dec-2009,16:26,0,5,1,0,84,2,Different,300,24,2,Different,3346.28087700548,1,0
mentalRotation,JCW,1,1,Practice,13,1,02-Dec-2009,16:26,0,4,2,0,116,2,Different,90,206,1,Same,5076.09210499504,0,1
mentalRotation,JCW,1,1,Practice,14,0,02-Dec-2009,16:26,0,1,2,0,116,1,Same,120,236,2,Different,5195.91670800583,0,1
mentalRotation,JCW,1,1,Practice,15,1,02-Dec-2009,16:27,0,3,1,0,116,1,Same,120,236,1,Same,2480.05299099896,1,0
mentalRotation,JCW,1,1,Practice,16,0,02-Dec-2009,16:27,0,3,2,0,116,2,Different,60,176,1,Same,3755.75398200453,0,1
mentalRotation,JCW,1,1,Practice,17,1,02-Dec-2009,16:27,0,5,2,0,148,1,Same,210,358,1,Same,3525.1021580043,1,0
mentalRotation,JCW,1,1,Practice,18,0,02-Dec-2009,16:27,0,3,2,0,148,2,Different,330,118,2,Different,4418.48573699826,1,0
mentalRotation,JCW,1,1,Practice,19,1,02-Dec-2009,16:27,0,5,2,0,148,2,Different,330,118,2,Different,6153.2995460002,1,0
mentalRotation,JCW,1,1,Practice,20,0,02-Dec-2009,16:27,0,1,2,0,148,1,Same,300,88,1,Same,5267.94477499789,1,0
mentalRotation,JCW,1,1,Practice,21,1,02-Dec-2009,16:27,0,1,1,0,180,1,Same,210,30,1,Same,4256.28174199664,1,0
mentalRotation,JCW,1,1,Practice,22,0,02-Dec-2009,16:27,0,5,1,0,180,2,Different,150,330,2,Different,10202.2691570019,1,0
mentalRotation,JCW,1,1,Practice,23,1,02-Dec-2009,16:28,0,5,1,0,180,2,Different,270,90,2,Different,9011.00309900357,1,0
mentalRotation,JCW,1,1,Practice,24,0,02-Dec-2009,16:28,0,2,2,0,180,1,Same,210,30,1,Same,6332.15152400226,1,0
mentalRotation,JCW,1,2,Test,25,1,02-Dec-2009,16:28,120,5,2,6,180,2,Different,60,240,1,Same,3570.85148899932,0,1
mentalRotation,JCW,1,2,Test,26,0,02-Dec-2009,16:28,77,2,2,2,52,2,Different,330,22,1,Same,4108.97654799919,0,1
mentalRotation,JCW,1,2,Test,27,1,02-Dec-2009,16:28,49,4,2,5,148,1,Same,300,88,1,Same,4210.66529400559,1,0
mentalRotation,JCW,1,2,Test,28,0,02-Dec-2009,16:28,111,1,1,6,180,2,Different,300,120,2,Different,3658.9057309975,1,0
mentalRotation,JCW,1,2,Test,29,1,02-Dec-2009,16:28,54,4,1,6,180,1,Same,120,300,1,Same,3686.36704600067,1,0
mentalRotation,JCW,1,2,Test,30,0,02-Dec-2009,16:28,62,2,1,1,20,2,Different,240,260,1,Same,2744.04928299919,0,1
mentalRotation,JCW,1,2,Test,31,1,02-Dec-2009,16:28,95,5,1,4,116,2,Different,270,26,2,Different,4071.49532400217,1,0
mentalRotation,JCW,1,2,Test,32,0,02-Dec-2009,16:29,32,2,1,4,116,1,Same,120,236,1,Same,3591.24233700277,1,0
mentalRotation,JCW,1,2,Test,33,1,02-Dec-2009,16:29,94,4,1,4,116,2,Different,150,266,2,Different,3237.38118800247,1,0
mentalRotation,JCW,1,2,Test,34,0,02-Dec-2009,16:29,103,3,1,5,148,2,Different,300,88,2,Different,4159.59088399541,1,0
mentalRotation,JCW,1,2,Test,35,1,02-Dec-2009,16:29,45,5,1,5,148,1,Same,240,28,2,Different,5519.48759499646,0,1
mentalRotation,JCW,1,2,Test,36,0,02-Dec-2009,16:29,76,1,2,2,52,2,Different,30,82,2,Different,3475.99842900672,1,0
mentalRotation,JCW,1,2,Test,37,1,02-Dec-2009,16:29,102,2,1,5,148,2,Different,60,208,2,Different,3347.33627700189,1,0
mentalRotation,JCW,1,2,Test,38,0,02-Dec-2009,16:29,44,4,1,5,148,1,Same,240,28,2,Different,3173.26497800241,0,1
mentalRotation,JCW,1,2,Test,39,1,02-Dec-2009,16:29,58,3,2,6,180,1,Same,210,30,1,Same,10498.5067159942,1,0
mentalRotation,JCW,1,2,Test,40,0,02-Dec-2009,16:29,17,2,2,2,52,1,Same,30,82,1,Same,3342.14495599736,1,0
mentalRotation,JCW,1,2,Test,41,1,02-Dec-2009,16:30,71,1,1,2,52,2,Different,210,262,2,Different,3671.18889000267,1,0
mentalRotation,JCW,1,2,Test,42,0,02-Dec-2009,16:30,7,2,2,1,20,1,Same,270,290,1,Same,2781.23819999746,1,0
mentalRotation,JCW,1,2,Test,43,1,02-Dec-2009,16:30,73,3,1,2,52,2,Different,180,232,1,Same,3924.87858499953,0,1
mentalRotation,JCW,1,2,Test,44,0,02-Dec-2009,16:30,82,2,1,3,84,2,Different,0,84,2,Different,3348.82645100151,1,0
mentalRotation,JCW,1,2,Test,45,1,02-Dec-2009,16:30,26,1,2,3,84,1,Same,0,84,1,Same,3364.79807699652,1,0
mentalRotation,JCW,1,2,Test,46,0,02-Dec-2009,16:30,42,2,1,5,148,1,Same,150,298,1,Same,6687.77139499434,1,0
mentalRotation,JCW,1,2,Test,47,1,02-Dec-2009,16:30,24,4,1,3,84,1,Same,330,54,1,Same,2776.41467100329,1,0
mentalRotation,JCW,1,2,Test,48,0,02-Dec-2009,16:30,106,1,2,5,148,2,Different,210,358,1,Same,4756.5958769992,0,1
mentalRotation,JCW,1,2,Test,49,1,02-Dec-2009,16:30,114,4,1,6,180,2,Different,270,90,1,Same,5419.51269400306,0,1
mentalRotation,JCW,1,2,Test,50,0,02-Dec-2009,16:31,64,4,1,1,20,2,Different,60,80,2,Different,6225.63757400349,1,0
mentalRotation,JCW,1,2,Test,51,1,02-Dec-2009,16:31,39,4,2,4,116,1,Same,0,116,2,Different,3389.8793000044,0,1
mentalRotation,JCW,1,2,Test,52,0,02-Dec-2009,16:31,57,2,2,6,180,1,Same,150,330,1,Same,3492.01636000362,1,0
mentalRotation,JCW,1,2,Test,53,1,02-Dec-2009,16:31,51,1,1,6,180,1,Same,330,150,1,Same,2856.40909699578,1,0
mentalRotation,JCW,1,2,Test,54,0,02-Dec-2009,16:31,85,5,1,3,84,2,Different,300,24,2,Different,4952.94845799799,1,0
mentalRotation,JCW,1,2,Test,55,1,02-Dec-2009,16:31,92,2,1,4,116,2,Different,240,356,1,Same,5739.96020699997,0,1
mentalRotation,JCW,1,2,Test,56,0,02-Dec-2009,16:31,53,3,1,6,180,1,Same,240,60,1,Same,4958.29039900127,1,0
mentalRotation,JCW,1,2,Test,57,1,02-Dec-2009,16:31,2,2,1,1,20,1,Same,330,350,1,Same,2019.47411500441,1,0
mentalRotation,JCW,1,2,Test,58,0,02-Dec-2009,16:31,68,3,2,1,20,2,Different,210,230,1,Same,4340.15008200367,0,1
mentalRotation,JCW,1,2,Test,59,1,02-Dec-2009,16:31,29,4,2,3,84,1,Same,120,204,1,Same,2496.04812300095,1,0
mentalRotation,JCW,1,2,Test,60,0,02-Dec-2009,16:32,100,5,2,4,116,2,Different,240,356,2,Different,3828.56981999794,1,0
mentalRotation,JCW,1,2,Test,61,1,02-Dec-2009,16:32,84,4,1,3,84,2,Different,330,54,2,Different,2632.45324799936,1,0
mentalRotation,JCW,1,2,Test,62,0,02-Dec-2009,16:32,60,5,2,6,180,1,Same,300,120,2,Different,5875.67160999606,0,1
mentalRotation,JCW,1,2,Test,63,1,02-Dec-2009,16:32,14,4,1,2,52,1,Same,30,82,1,Same,3302.92433199793,1,0
mentalRotation,JCW,1,2,Test,64,0,02-Dec-2009,16:32,4,4,1,1,20,1,Same,210,230,1,Same,1479.33932700107,1,0
mentalRotation,JCW,1,2,Test,65,1,02-Dec-2009,16:32,70,5,2,1,20,2,Different,240,260,2,Different,3944.85605599766,1,0
mentalRotation,JCW,1,2,Test,66,0,02-Dec-2009,16:32,98,3,2,4,116,2,Different,60,176,2,Different,6192.93847399967,1,0
mentalRotation,JCW,1,2,Test,67,1,02-Dec-2009,16:32,110,5,2,5,148,2,Different,120,268,2,Different,5048.51112799952,1,0
mentalRotation,JCW,1,2,Test,68,0,02-Dec-2009,16:32,27,2,2,3,84,1,Same,30,114,1,Same,2837.76531600597,1,0
mentalRotation,JCW,1,2,Test,69,1,02-Dec-2009,16:32,67,2,2,1,20,2,Different,330,350,1,Same,5038.35912099748,0,1
mentalRotation,JCW,1,2,Test,70,0,02-Dec-2009,16:33,65,5,1,1,20,2,Different,90,110,2,Different,5951.29154200549,1,0
mentalRotation,JCW,1,2,Test,71,1,02-Dec-2009,16:33,83,3,1,3,84,2,Different,240,324,1,Same,4953.53980299842,0,1
mentalRotation,JCW,1,2,Test,72,0,02-Dec-2009,16:33,72,2,1,2,52,2,Different,60,112,2,Different,5953.40838099946,1,0
mentalRotation,JCW,1,2,Test,73,1,02-Dec-2009,16:33,22,2,1,3,84,1,Same,240,324,1,Same,5785.2782810005,1,0
mentalRotation,JCW,1,2,Test,74,0,02-Dec-2009,16:33,12,2,1,2,52,1,Same,150,202,1,Same,2932.05377099366,1,0
mentalRotation,JCW,1,2,Test,75,1,02-Dec-2009,16:33,104,4,1,5,148,2,Different,30,178,1,Same,5638.24815800035,0,1
