exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,LG1,1,1,Practice,1,1,05-Dec-2009,15:21,0,5,1,0,20,2,Different,180,200,2,Different,4852.65954001807,1,0
mentalRotation,LG1,1,1,Practice,2,0,05-Dec-2009,15:21,0,4,1,0,20,2,Different,330,350,1,Same,7502.8517699684,0,1
mentalRotation,LG1,1,1,Practice,3,1,05-Dec-2009,15:21,0,2,2,0,20,1,Same,90,110,1,Same,2641.07283396879,1,0
mentalRotation,LG1,1,1,Practice,4,0,05-Dec-2009,15:21,0,3,1,0,20,1,Same,240,260,1,Same,2873.71393700596,1,0
mentalRotation,LG1,1,1,Practice,5,1,05-Dec-2009,15:21,0,4,2,0,52,2,Different,30,82,2,Different,3360.28346599778,1,0
mentalRotation,LG1,1,1,Practice,6,0,05-Dec-2009,15:21,0,5,1,0,52,1,Same,90,142,1,Same,4400.02758498304,1,0
mentalRotation,LG1,1,1,Practice,7,1,05-Dec-2009,15:21,0,5,1,0,52,1,Same,30,82,1,Same,2041.65250400547,1,0
mentalRotation,LG1,1,1,Practice,8,0,05-Dec-2009,15:21,0,2,2,0,52,2,Different,30,82,2,Different,2503.67409101455,1,0
mentalRotation,LG1,1,1,Practice,9,1,05-Dec-2009,15:21,0,1,1,0,84,1,Same,270,354,2,Different,3310.16310001723,0,1
mentalRotation,LG1,1,1,Practice,10,0,05-Dec-2009,15:22,0,1,1,0,84,2,Different,300,24,1,Same,2570.24995598476,0,1
mentalRotation,LG1,1,1,Practice,11,1,05-Dec-2009,15:22,0,2,2,0,84,2,Different,60,144,1,Same,3041.14699101774,0,1
mentalRotation,LG1,1,1,Practice,12,0,05-Dec-2009,15:22,0,4,2,0,84,1,Same,120,204,1,Same,8564.25144802779,1,0
mentalRotation,LG1,1,1,Practice,13,1,05-Dec-2009,15:22,0,3,2,0,116,1,Same,270,26,1,Same,4944.13566100411,1,0
mentalRotation,LG1,1,1,Practice,14,0,05-Dec-2009,15:22,0,1,2,0,116,2,Different,270,26,2,Different,4899.73476203158,1,0
mentalRotation,LG1,1,1,Practice,15,1,05-Dec-2009,15:22,0,3,2,0,116,1,Same,180,296,2,Different,4864.03302900726,0,1
mentalRotation,LG1,1,1,Practice,16,0,05-Dec-2009,15:22,0,1,2,0,116,2,Different,330,86,2,Different,5843.03257602733,1,0
mentalRotation,LG1,1,1,Practice,17,1,05-Dec-2009,15:22,0,5,2,0,148,2,Different,330,118,2,Different,4421.12209199695,1,0
mentalRotation,LG1,1,1,Practice,18,0,05-Dec-2009,15:23,0,5,1,0,148,2,Different,270,58,2,Different,6107.81669401331,1,0
mentalRotation,LG1,1,1,Practice,19,1,05-Dec-2009,15:23,0,2,1,0,148,1,Same,180,328,1,Same,1547.88903001463,1,0
mentalRotation,LG1,1,1,Practice,20,0,05-Dec-2009,15:23,0,2,1,0,148,1,Same,270,58,2,Different,4037.72360703442,0,1
mentalRotation,LG1,1,1,Practice,21,1,05-Dec-2009,15:23,0,3,2,0,180,1,Same,180,0,1,Same,3103.49974501878,1,0
mentalRotation,LG1,1,1,Practice,22,0,05-Dec-2009,15:23,0,3,2,0,180,1,Same,240,60,1,Same,5223.80140895257,1,0
mentalRotation,LG1,1,1,Practice,23,1,05-Dec-2009,15:23,0,1,1,0,180,2,Different,240,60,2,Different,3062.84720898839,1,0
mentalRotation,LG1,1,1,Practice,24,0,05-Dec-2009,15:23,0,3,2,0,180,2,Different,300,120,2,Different,3431.13951897249,1,0
mentalRotation,LG1,1,2,Test,25,1,05-Dec-2009,15:23,1,1,1,1,20,1,Same,240,260,1,Same,3337.73508097511,1,0
mentalRotation,LG1,1,2,Test,26,0,05-Dec-2009,15:23,47,2,2,5,148,1,Same,300,88,1,Same,1433.88324097032,1,0
mentalRotation,LG1,1,2,Test,27,1,05-Dec-2009,15:23,9,4,2,1,20,1,Same,0,20,1,Same,2439.19446098153,1,0
mentalRotation,LG1,1,2,Test,28,0,05-Dec-2009,15:23,67,2,2,1,20,2,Different,210,230,2,Different,3126.77040201379,1,0
mentalRotation,LG1,1,2,Test,29,1,05-Dec-2009,15:24,109,4,2,5,148,2,Different,150,298,2,Different,3242.94711503899,1,0
mentalRotation,LG1,1,2,Test,30,0,05-Dec-2009,15:24,38,3,2,4,116,1,Same,120,236,2,Different,1554.50212495634,0,1
mentalRotation,LG1,1,2,Test,31,1,05-Dec-2009,15:24,103,3,1,5,148,2,Different,300,88,2,Different,2848.56820700224,1,0
mentalRotation,LG1,1,2,Test,32,0,05-Dec-2009,15:24,105,5,1,5,148,2,Different,210,358,2,Different,8149.65037198272,1,0
mentalRotation,LG1,1,2,Test,33,1,05-Dec-2009,15:24,106,1,2,5,148,2,Different,210,358,2,Different,3977.24437899888,1,0
mentalRotation,LG1,1,2,Test,34,0,05-Dec-2009,15:24,24,4,1,3,84,1,Same,300,24,1,Same,1549.49735401897,1,0
mentalRotation,LG1,1,2,Test,35,1,05-Dec-2009,15:24,48,3,2,5,148,1,Same,90,238,1,Same,5494.11856301595,1,0
mentalRotation,LG1,1,2,Test,36,0,05-Dec-2009,15:24,83,3,1,3,84,2,Different,60,144,1,Same,2423.1345540029,0,1
mentalRotation,LG1,1,2,Test,37,1,05-Dec-2009,15:24,120,5,2,6,180,2,Different,90,270,2,Different,1654.20881897444,1,0
mentalRotation,LG1,1,2,Test,38,0,05-Dec-2009,15:24,102,2,1,5,148,2,Different,30,178,1,Same,1262.81430496601,0,1
mentalRotation,LG1,1,2,Test,39,1,05-Dec-2009,15:24,6,1,2,1,20,1,Same,90,110,1,Same,2329.79996496579,1,0
mentalRotation,LG1,1,2,Test,40,0,05-Dec-2009,15:24,84,4,1,3,84,2,Different,30,114,1,Same,1204.34252201812,0,1
mentalRotation,LG1,1,2,Test,41,1,05-Dec-2009,15:25,59,4,2,6,180,1,Same,330,150,2,Different,4572.77870504186,0,1
mentalRotation,LG1,1,2,Test,42,0,05-Dec-2009,15:25,92,2,1,4,116,2,Different,120,236,1,Same,1169.38117501559,0,1
mentalRotation,LG1,1,2,Test,43,1,05-Dec-2009,15:25,66,1,2,1,20,2,Different,240,260,2,Different,3376.60518102348,1,0
mentalRotation,LG1,1,2,Test,44,0,05-Dec-2009,15:25,7,2,2,1,20,1,Same,330,350,1,Same,2456.56654401682,1,0
mentalRotation,LG1,1,2,Test,45,1,05-Dec-2009,15:25,100,5,2,4,116,2,Different,210,326,2,Different,5632.27544998517,1,0
mentalRotation,LG1,1,2,Test,46,0,05-Dec-2009,15:25,36,1,2,4,116,1,Same,90,206,1,Same,3327.21879699966,1,0
