exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,LL1,1,1,Practice,1,1,30-Apr-2010,15:12,0,5,2,0,20,2,Different,30,50,1,Same,1756.92842100398,0,1
mentalRotation,LL1,1,1,Practice,2,0,30-Apr-2010,15:12,0,5,2,0,20,1,Same,120,140,1,Same,3676.5059580066,1,0
mentalRotation,LL1,1,1,Practice,3,1,30-Apr-2010,15:12,0,2,2,0,20,2,Different,330,350,2,Different,4016.48276099877,1,0
mentalRotation,LL1,1,1,Practice,4,0,30-Apr-2010,15:12,0,4,2,0,20,1,Same,30,50,1,Same,1845.90024899808,1,0
mentalRotation,LL1,1,1,Practice,5,1,30-Apr-2010,15:12,0,3,2,0,52,2,Different,120,172,1,Same,1972.54562699527,0,1
mentalRotation,LL1,1,1,Practice,6,0,30-Apr-2010,15:12,0,4,2,0,52,1,Same,330,22,1,Same,2239.81458699564,1,0
mentalRotation,LL1,1,1,Practice,7,1,30-Apr-2010,15:12,0,5,1,0,52,2,Different,270,322,2,Different,4513.263765999,1,0
mentalRotation,LL1,1,1,Practice,8,0,30-Apr-2010,15:12,0,1,1,0,52,1,Same,150,202,1,Same,2127.74635100504,1,0
mentalRotation,LL1,1,1,Practice,9,1,30-Apr-2010,15:12,0,4,2,0,84,1,Same,150,234,1,Same,1883.94272200821,1,0
mentalRotation,LL1,1,1,Practice,10,0,30-Apr-2010,15:12,0,3,1,0,84,2,Different,0,84,2,Different,8141.5588939999,1,0
mentalRotation,LL1,1,1,Practice,11,1,30-Apr-2010,15:13,0,2,1,0,84,2,Different,120,204,2,Different,5602.92934300378,1,0
mentalRotation,LL1,1,1,Practice,12,0,30-Apr-2010,15:13,0,1,2,0,84,1,Same,30,114,1,Same,2503.28505100333,1,0
mentalRotation,LL1,1,1,Practice,13,1,30-Apr-2010,15:13,0,2,1,0,116,2,Different,330,86,2,Different,2551.87763999857,1,0
mentalRotation,LL1,1,1,Practice,14,0,30-Apr-2010,15:13,0,3,1,0,116,1,Same,30,146,1,Same,2550.2913909877,1,0
mentalRotation,LL1,1,1,Practice,15,1,30-Apr-2010,15:13,0,2,2,0,116,1,Same,30,146,1,Same,2283.34415200516,1,0
mentalRotation,LL1,1,1,Practice,16,0,30-Apr-2010,15:13,0,2,1,0,116,2,Different,270,26,2,Different,4182.1769119997,1,0
mentalRotation,LL1,1,1,Practice,17,1,30-Apr-2010,15:13,0,5,1,0,148,1,Same,60,208,1,Same,5994.22829999821,1,0
mentalRotation,LL1,1,1,Practice,18,0,30-Apr-2010,15:13,0,2,2,0,148,1,Same,300,88,2,Different,2789.43209699355,0,1
mentalRotation,LL1,1,1,Practice,19,1,30-Apr-2010,15:13,0,1,2,0,148,2,Different,240,28,2,Different,3606.9331690087,1,0
mentalRotation,LL1,1,1,Practice,20,0,30-Apr-2010,15:13,0,1,1,0,148,2,Different,90,238,1,Same,4672.45244600053,0,1
mentalRotation,LL1,1,1,Practice,21,1,30-Apr-2010,15:14,0,4,2,0,180,1,Same,90,270,2,Different,6343.74922599818,0,1
mentalRotation,LL1,1,1,Practice,22,0,30-Apr-2010,15:14,0,4,1,0,180,2,Different,240,60,2,Different,7554.90281700622,1,0
mentalRotation,LL1,1,1,Practice,23,1,30-Apr-2010,15:14,0,3,1,0,180,1,Same,60,240,2,Different,13357.7637459966,0,1
mentalRotation,LL1,1,1,Practice,24,0,30-Apr-2010,15:14,0,4,2,0,180,2,Different,330,150,1,Same,6650.10594400519,0,1
mentalRotation,LL1,1,2,Test,25,1,30-Apr-2010,15:14,30,5,2,3,84,1,Same,270,354,1,Same,7372.23121800344,1,0
mentalRotation,LL1,1,2,Test,26,0,30-Apr-2010,15:14,38,3,2,4,116,1,Same,90,206,2,Different,8631.94381199719,0,1
mentalRotation,LL1,1,2,Test,27,1,30-Apr-2010,15:15,60,5,2,6,180,1,Same,60,240,1,Same,6187.00644699857,1,0
mentalRotation,LL1,1,2,Test,28,0,30-Apr-2010,15:15,110,5,2,5,148,2,Different,240,28,1,Same,7052.50164400786,0,1
mentalRotation,LL1,1,2,Test,29,1,30-Apr-2010,15:15,103,3,1,5,148,2,Different,240,28,2,Different,8879.19202900957,1,0
mentalRotation,LL1,1,2,Test,30,0,30-Apr-2010,15:15,3,3,1,1,20,1,Same,150,170,1,Same,2424.51297899242,1,0
mentalRotation,LL1,1,2,Test,31,1,30-Apr-2010,15:15,45,5,1,5,148,1,Same,270,58,1,Same,5614.43705500278,1,0
mentalRotation,LL1,1,2,Test,32,0,30-Apr-2010,15:15,34,4,1,4,116,1,Same,150,266,1,Same,2575.0384980056,1,0
mentalRotation,LL1,1,2,Test,33,1,30-Apr-2010,15:15,19,4,2,2,52,1,Same,240,292,1,Same,3472.53721699235,1,0
mentalRotation,LL1,1,2,Test,34,0,30-Apr-2010,15:15,14,4,1,2,52,1,Same,30,82,1,Same,1435.34799400368,1,0
mentalRotation,LL1,1,2,Test,35,1,30-Apr-2010,15:16,111,1,1,6,180,2,Different,270,90,2,Different,6045.65514199203,1,0
mentalRotation,LL1,1,2,Test,36,0,30-Apr-2010,15:16,23,3,1,3,84,1,Same,210,294,1,Same,2031.5253190056,1,0
mentalRotation,LL1,1,2,Test,37,1,30-Apr-2010,15:16,15,5,1,2,52,1,Same,180,232,1,Same,1672.86917800084,1,0
mentalRotation,LL1,1,2,Test,38,0,30-Apr-2010,15:16,101,1,1,5,148,2,Different,120,268,1,Same,10755.9944240056,0,1
mentalRotation,LL1,1,2,Test,39,1,30-Apr-2010,15:16,65,5,1,1,20,2,Different,150,170,2,Different,6624.07933099894,1,0
mentalRotation,LL1,1,2,Test,40,0,30-Apr-2010,15:16,12,2,1,2,52,1,Same,90,142,1,Same,2047.43128499831,1,0
mentalRotation,LL1,1,2,Test,41,1,30-Apr-2010,15:16,73,3,1,2,52,2,Different,90,142,1,Same,11153.2537530002,0,1
mentalRotation,LL1,1,2,Test,42,0,30-Apr-2010,15:16,100,5,2,4,116,2,Different,240,356,1,Same,6309.55260399787,0,1
mentalRotation,LL1,1,2,Test,43,1,30-Apr-2010,15:17,104,4,1,5,148,2,Different,60,208,2,Different,4824.32008598698,1,0
mentalRotation,LL1,1,2,Test,44,0,30-Apr-2010,15:17,66,1,2,1,20,2,Different,30,50,2,Different,2610.24407700461,1,0
mentalRotation,LL1,1,2,Test,45,1,30-Apr-2010,15:17,1,1,1,1,20,1,Same,210,230,1,Same,1506.30927400198,1,0
mentalRotation,LL1,1,2,Test,46,0,30-Apr-2010,15:17,28,3,2,3,84,1,Same,240,324,1,Same,3990.48752700037,1,0
mentalRotation,LL1,1,2,Test,47,1,30-Apr-2010,15:17,10,5,2,1,20,1,Same,60,80,1,Same,1007.47151600081,1,0
mentalRotation,LL1,1,2,Test,48,0,30-Apr-2010,15:17,84,4,1,3,84,2,Different,0,84,2,Different,2956.59791800426,1,0
mentalRotation,LL1,1,2,Test,49,1,30-Apr-2010,15:17,25,5,1,3,84,1,Same,240,324,1,Same,1345.98362399265,1,0
mentalRotation,LL1,1,2,Test,50,0,30-Apr-2010,15:17,50,5,2,5,148,1,Same,90,238,1,Same,3676.56302200339,1,0
mentalRotation,LL1,1,2,Test,51,1,30-Apr-2010,15:17,18,3,2,2,52,1,Same,240,292,1,Same,1600.99967799033,1,0
mentalRotation,LL1,1,2,Test,52,0,30-Apr-2010,15:17,59,4,2,6,180,1,Same,180,0,1,Same,9283.614518994,1,0
mentalRotation,LL1,1,2,Test,53,1,30-Apr-2010,15:17,118,3,2,6,180,2,Different,120,300,2,Different,2733.17818700161,1,0
mentalRotation,LL1,1,2,Test,54,0,30-Apr-2010,15:18,56,1,2,6,180,1,Same,0,180,2,Different,6940.95771499269,0,1
mentalRotation,LL1,1,2,Test,55,1,30-Apr-2010,15:18,87,2,2,3,84,2,Different,270,354,2,Different,11910.5311409949,1,0
mentalRotation,LL1,1,2,Test,56,0,30-Apr-2010,15:18,9,4,2,1,20,1,Same,90,110,1,Same,1135.05311199697,1,0
mentalRotation,LL1,1,2,Test,57,1,30-Apr-2010,15:18,13,3,1,2,52,1,Same,150,202,1,Same,1365.77571700036,1,0
mentalRotation,LL1,1,2,Test,58,0,30-Apr-2010,15:18,78,3,2,2,52,2,Different,270,322,1,Same,10883.4416230093,0,1
mentalRotation,LL1,1,2,Test,59,1,30-Apr-2010,15:18,17,2,2,2,52,1,Same,210,262,1,Same,1203.4923399915,1,0
mentalRotation,LL1,1,2,Test,60,0,30-Apr-2010,15:18,105,5,1,5,148,2,Different,30,178,2,Different,8319.17889499164,1,0
mentalRotation,LL1,1,2,Test,61,1,30-Apr-2010,15:18,32,2,1,4,116,1,Same,150,266,1,Same,10517.2333460068,1,0
mentalRotation,LL1,1,2,Test,62,0,30-Apr-2010,15:19,51,1,1,6,180,1,Same,300,120,1,Same,5310.18746498739,1,0
mentalRotation,LL1,1,2,Test,63,1,30-Apr-2010,15:19,39,4,2,4,116,1,Same,270,26,1,Same,5668.25804200198,1,0
mentalRotation,LL1,1,2,Test,64,0,30-Apr-2010,15:19,80,5,2,2,52,2,Different,210,262,1,Same,3176.26727899187,0,1
mentalRotation,LL1,1,2,Test,65,1,30-Apr-2010,15:19,33,3,1,4,116,1,Same,90,206,1,Same,7722.36471400538,1,0
mentalRotation,LL1,1,2,Test,66,0,30-Apr-2010,15:19,83,3,1,3,84,2,Different,120,204,1,Same,2943.28652400873,0,1
mentalRotation,LL1,1,2,Test,67,1,30-Apr-2010,15:19,36,1,2,4,116,1,Same,210,326,2,Different,10214.4679560006,0,1
mentalRotation,LL1,1,2,Test,68,0,30-Apr-2010,15:20,92,2,1,4,116,2,Different,150,266,1,Same,7513.53446800204,0,1
mentalRotation,LL1,1,2,Test,69,1,30-Apr-2010,15:20,81,1,1,3,84,2,Different,30,114,1,Same,12596.9411469996,0,1
mentalRotation,LL1,1,2,Test,70,0,30-Apr-2010,15:20,27,2,2,3,84,1,Same,30,114,1,Same,7022.15305100253,1,0
mentalRotation,LL1,1,2,Test,71,1,30-Apr-2010,15:20,90,5,2,3,84,2,Different,330,54,1,Same,9879.35688300058,0,1
mentalRotation,LL1,1,2,Test,72,0,30-Apr-2010,15:20,102,2,1,5,148,2,Different,210,358,2,Different,7779.44811699854,1,0
mentalRotation,LL1,1,2,Test,73,1,30-Apr-2010,15:20,58,3,2,6,180,1,Same,0,180,2,Different,8679.80888100283,0,1
mentalRotation,LL1,1,2,Test,74,0,30-Apr-2010,15:21,109,4,2,5,148,2,Different,180,328,1,Same,5714.89227100392,0,1
mentalRotation,LL1,1,2,Test,75,1,30-Apr-2010,15:21,108,3,2,5,148,2,Different,300,88,1,Same,3165.12678400613,0,1
mentalRotation,LL1,1,2,Test,76,0,30-Apr-2010,15:21,88,3,2,3,84,2,Different,330,54,2,Different,17196.4298999956,1,0
mentalRotation,LL1,1,2,Test,77,1,30-Apr-2010,15:21,99,4,2,4,116,2,Different,150,266,1,Same,6533.35831000004,0,1
mentalRotation,LL1,1,2,Test,78,0,30-Apr-2010,15:21,69,4,2,1,20,2,Different,300,320,1,Same,1419.33520599559,0,1
mentalRotation,LL1,1,2,Test,79,1,30-Apr-2010,15:21,20,5,2,2,52,1,Same,300,352,1,Same,4888.08680900547,1,0
mentalRotation,LL1,1,2,Test,80,0,30-Apr-2010,15:22,61,1,1,1,20,2,Different,30,50,2,Different,7544.61975599406,1,0
mentalRotation,LL1,1,2,Test,81,1,30-Apr-2010,15:22,29,4,2,3,84,1,Same,60,144,1,Same,4245.89296500199,1,0
mentalRotation,LL1,1,2,Test,82,0,30-Apr-2010,15:22,117,2,2,6,180,2,Different,0,180,2,Different,8922.68830499961,1,0
mentalRotation,LL1,1,2,Test,83,1,30-Apr-2010,15:22,89,4,2,3,84,2,Different,180,264,2,Different,5256.09835899377,1,0
mentalRotation,LL1,1,2,Test,84,0,30-Apr-2010,15:22,55,5,1,6,180,1,Same,210,30,1,Same,15485.3710079915,1,0
mentalRotation,LL1,1,2,Test,85,1,30-Apr-2010,15:22,63,3,1,1,20,2,Different,120,140,2,Different,6127.27337201068,1,0
mentalRotation,LL1,1,2,Test,86,0,30-Apr-2010,15:22,42,2,1,5,148,1,Same,90,238,1,Same,11136.9714759931,1,0
mentalRotation,LL1,1,2,Test,87,1,30-Apr-2010,15:23,57,2,2,6,180,1,Same,180,0,1,Same,7009.26630999311,1,0
mentalRotation,LL1,1,2,Test,88,0,30-Apr-2010,15:23,70,5,2,1,20,2,Different,240,260,2,Different,8928.31306600419,1,0
mentalRotation,LL1,1,2,Test,89,1,30-Apr-2010,15:23,72,2,1,2,52,2,Different,60,112,1,Same,4530.85982400808,0,1
mentalRotation,LL1,1,2,Test,90,0,30-Apr-2010,15:23,54,4,1,6,180,1,Same,210,30,1,Same,4601.04845899332,1,0
mentalRotation,LL1,1,2,Test,91,1,30-Apr-2010,15:23,85,5,1,3,84,2,Different,60,144,2,Different,8447.11467300658,1,0
mentalRotation,LL1,1,2,Test,92,0,30-Apr-2010,15:23,94,4,1,4,116,2,Different,300,56,1,Same,10209.6312270005,0,1
mentalRotation,LL1,1,2,Test,93,1,30-Apr-2010,15:24,6,1,2,1,20,1,Same,300,320,1,Same,2235.10952900688,1,0
mentalRotation,LL1,1,2,Test,94,0,30-Apr-2010,15:24,16,1,2,2,52,1,Same,270,322,1,Same,1434.15206299687,1,0
mentalRotation,LL1,1,2,Test,95,1,30-Apr-2010,15:24,26,1,2,3,84,1,Same,180,264,2,Different,6075.68355300464,0,1
mentalRotation,LL1,1,2,Test,96,0,30-Apr-2010,15:24,47,2,2,5,148,1,Same,0,148,2,Different,7955.93201401061,0,1
mentalRotation,LL1,1,2,Test,97,1,30-Apr-2010,15:24,64,4,1,1,20,2,Different,150,170,1,Same,1106.94592900109,0,1
mentalRotation,LL1,1,2,Test,98,0,30-Apr-2010,15:24,67,2,2,1,20,2,Different,210,230,2,Different,7005.6062299991,1,0
mentalRotation,LL1,1,2,Test,99,1,30-Apr-2010,15:24,106,1,2,5,148,2,Different,240,28,2,Different,11187.9416349984,1,0
mentalRotation,LL1,1,2,Test,100,0,30-Apr-2010,15:25,43,3,1,5,148,1,Same,300,88,1,Same,8086.00651999586,1,0
mentalRotation,LL1,1,2,Test,101,1,30-Apr-2010,15:25,76,1,2,2,52,2,Different,270,322,2,Different,10758.7455989997,1,0
mentalRotation,LL1,1,2,Test,102,0,30-Apr-2010,15:25,79,4,2,2,52,2,Different,210,262,2,Different,5473.0167700036,1,0
mentalRotation,LL1,1,2,Test,103,1,30-Apr-2010,15:25,22,2,1,3,84,1,Same,330,54,1,Same,3525.67942299356,1,0
mentalRotation,LL1,1,2,Test,104,0,30-Apr-2010,15:25,86,1,2,3,84,2,Different,210,294,2,Different,6615.73430499993,1,0
mentalRotation,LL1,1,2,Test,105,1,30-Apr-2010,15:25,53,3,1,6,180,1,Same,150,330,1,Same,2521.62312800647,1,0
mentalRotation,LL1,1,2,Test,106,0,30-Apr-2010,15:25,96,1,2,4,116,2,Different,0,116,2,Different,5052.45449100039,1,0
mentalRotation,LL1,1,2,Test,107,1,30-Apr-2010,15:25,95,5,1,4,116,2,Different,300,56,2,Different,7365.69017899456,1,0
mentalRotation,LL1,1,2,Test,108,0,30-Apr-2010,15:26,71,1,1,2,52,2,Different,60,112,1,Same,3707.77514899964,0,1
mentalRotation,LL1,1,2,Test,109,1,30-Apr-2010,15:26,7,2,2,1,20,1,Same,210,230,1,Same,1266.8588719971,1,0
mentalRotation,LL1,1,2,Test,110,0,30-Apr-2010,15:26,2,2,1,1,20,1,Same,180,200,1,Same,1044.0969820047,1,0
mentalRotation,LL1,1,2,Test,111,1,30-Apr-2010,15:26,115,5,1,6,180,2,Different,30,210,2,Different,7266.12652999756,1,0
mentalRotation,LL1,1,2,Test,112,0,30-Apr-2010,15:26,48,3,2,5,148,1,Same,330,118,2,Different,6664.19267300807,0,1
mentalRotation,LL1,1,2,Test,113,1,30-Apr-2010,15:26,93,3,1,4,116,2,Different,60,176,1,Same,5566.40233600046,0,1
mentalRotation,LL1,1,2,Test,114,0,30-Apr-2010,15:26,4,4,1,1,20,1,Same,60,80,1,Same,1156.80907800561,1,0
