exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,LPT,2,1,Practice,1,1,26-Feb-2010,16:03,0,2,1,0,20,1,Same,210,230,1,Same,2197.11805297993,1,0
mentalRotation,LPT,2,1,Practice,2,0,26-Feb-2010,16:03,0,5,2,0,20,2,Different,30,50,2,Different,1742.34461796004,1,0
mentalRotation,LPT,2,1,Practice,3,1,26-Feb-2010,16:03,0,3,1,0,20,1,Same,240,260,1,Same,1200.96144604031,1,0
mentalRotation,LPT,2,1,Practice,4,0,26-Feb-2010,16:03,0,5,1,0,20,2,Different,240,260,2,Different,1327.95081508812,1,0
mentalRotation,LPT,2,1,Practice,5,1,26-Feb-2010,16:03,0,1,1,0,52,2,Different,120,172,1,Same,1168.83268894162,0,1
mentalRotation,LPT,2,1,Practice,6,0,26-Feb-2010,16:03,0,4,2,0,52,1,Same,270,322,1,Same,1135.68017305806,1,0
mentalRotation,LPT,2,1,Practice,7,1,26-Feb-2010,16:03,0,4,2,0,52,2,Different,150,202,2,Different,1536.39454604127,1,0
mentalRotation,LPT,2,1,Practice,8,0,26-Feb-2010,16:03,0,5,2,0,52,1,Same,0,52,1,Same,1757.94475502335,1,0
mentalRotation,LPT,2,1,Practice,9,1,26-Feb-2010,16:03,0,4,2,0,84,1,Same,210,294,2,Different,1432.30516498443,0,1
mentalRotation,LPT,2,1,Practice,10,0,26-Feb-2010,16:03,0,1,2,0,84,2,Different,240,324,2,Different,1527.62422699016,1,0
mentalRotation,LPT,2,1,Practice,11,1,26-Feb-2010,16:03,0,2,2,0,84,2,Different,90,174,1,Same,1591.74284699839,0,1
mentalRotation,LPT,2,1,Practice,12,0,26-Feb-2010,16:03,0,1,1,0,84,1,Same,30,114,1,Same,1599.69566809013,1,0
mentalRotation,LPT,2,1,Practice,13,1,26-Feb-2010,16:03,0,5,2,0,116,1,Same,210,326,1,Same,1590.28900205158,1,0
mentalRotation,LPT,2,1,Practice,14,0,26-Feb-2010,16:03,0,2,1,0,116,1,Same,120,236,1,Same,2986.43813608214,1,0
mentalRotation,LPT,2,1,Practice,15,1,26-Feb-2010,16:03,0,2,1,0,116,2,Different,270,26,1,Same,2845.39069700986,0,1
mentalRotation,LPT,2,1,Practice,16,0,26-Feb-2010,16:04,0,2,2,0,116,2,Different,150,266,2,Different,1459.89559206646,1,0
mentalRotation,LPT,2,1,Practice,17,1,26-Feb-2010,16:04,0,1,2,0,148,1,Same,210,358,2,Different,1417.83200507052,0,1
mentalRotation,LPT,2,1,Practice,18,0,26-Feb-2010,16:04,0,3,1,0,148,1,Same,330,118,2,Different,1310.71366299875,0,1
mentalRotation,LPT,2,1,Practice,19,1,26-Feb-2010,16:04,0,1,2,0,148,2,Different,150,298,2,Different,1254.84956102446,1,0
mentalRotation,LPT,2,1,Practice,20,0,26-Feb-2010,16:04,0,5,1,0,148,2,Different,330,118,2,Different,1873.99508000817,1,0
mentalRotation,LPT,2,1,Practice,21,1,26-Feb-2010,16:04,0,1,2,0,180,1,Same,30,210,2,Different,3505.702037015,0,1
mentalRotation,LPT,2,1,Practice,22,0,26-Feb-2010,16:04,0,1,1,0,180,1,Same,180,0,1,Same,3333.7424970232,1,0
mentalRotation,LPT,2,1,Practice,23,1,26-Feb-2010,16:04,0,1,1,0,180,2,Different,240,60,2,Different,1917.48532699421,1,0
mentalRotation,LPT,2,1,Practice,24,0,26-Feb-2010,16:04,0,5,1,0,180,2,Different,60,240,2,Different,2038.50204998162,1,0
mentalRotation,LPT,2,2,Test,25,1,26-Feb-2010,16:04,28,3,2,3,84,1,Same,60,144,1,Same,1807.7375900466,1,0
mentalRotation,LPT,2,2,Test,26,0,26-Feb-2010,16:04,54,4,1,6,180,1,Same,30,210,2,Different,1260.00674406532,0,1
mentalRotation,LPT,2,2,Test,27,1,26-Feb-2010,16:04,42,2,1,5,148,1,Same,90,238,1,Same,1500.05857995711,1,0
mentalRotation,LPT,2,2,Test,28,0,26-Feb-2010,16:04,31,1,1,4,116,1,Same,240,356,1,Same,1899.49954499025,1,0
mentalRotation,LPT,2,2,Test,29,1,26-Feb-2010,16:04,96,1,2,4,116,2,Different,150,266,2,Different,2020.85709990934,1,0
mentalRotation,LPT,2,2,Test,30,0,26-Feb-2010,16:05,83,3,1,3,84,2,Different,330,54,1,Same,1801.68802209664,0,1
mentalRotation,LPT,2,2,Test,31,1,26-Feb-2010,16:05,93,3,1,4,116,2,Different,0,116,1,Same,2061.40788504854,0,1
mentalRotation,LPT,2,2,Test,32,0,26-Feb-2010,16:05,70,5,2,1,20,2,Different,330,350,2,Different,1182.31426307466,1,0
mentalRotation,LPT,2,2,Test,33,1,26-Feb-2010,16:05,40,5,2,4,116,1,Same,240,356,1,Same,1485.54696992505,1,0
mentalRotation,LPT,2,2,Test,34,0,26-Feb-2010,16:05,38,3,2,4,116,1,Same,30,146,2,Different,1848.39128504973,0,1
mentalRotation,LPT,2,2,Test,35,1,26-Feb-2010,16:05,37,2,2,4,116,1,Same,270,26,2,Different,2894.06316401437,0,1
mentalRotation,LPT,2,2,Test,36,0,26-Feb-2010,16:05,92,2,1,4,116,2,Different,300,56,2,Different,2324.3545780424,1,0
mentalRotation,LPT,2,2,Test,37,1,26-Feb-2010,16:05,95,5,1,4,116,2,Different,0,116,2,Different,2395.1434759656,1,0
mentalRotation,LPT,2,2,Test,38,0,26-Feb-2010,16:05,109,4,2,5,148,2,Different,120,268,2,Different,2080.85422799923,1,0
mentalRotation,LPT,2,2,Test,39,1,26-Feb-2010,16:05,120,5,2,6,180,2,Different,270,90,2,Different,2932.83989501651,1,0
mentalRotation,LPT,2,2,Test,40,0,26-Feb-2010,16:05,25,5,1,3,84,1,Same,180,264,2,Different,2049.78243401274,0,1
mentalRotation,LPT,2,2,Test,41,1,26-Feb-2010,16:05,103,3,1,5,148,2,Different,270,58,2,Different,2217.99349505454,1,0
mentalRotation,LPT,2,2,Test,42,0,26-Feb-2010,16:05,72,2,1,2,52,2,Different,150,202,2,Different,2743.00345696975,1,0
