exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,MED,2,1,Practice,1,1,12-Mar-2010,16:17,0,2,1,0,20,1,Same,0,20,1,Same,2120.50605499917,1,0
mentalRotation,MED,2,1,Practice,2,0,12-Mar-2010,16:17,0,3,1,0,20,1,Same,30,50,1,Same,2576.88213399979,1,0
mentalRotation,MED,2,1,Practice,3,1,12-Mar-2010,16:17,0,5,2,0,20,2,Different,90,110,2,Different,4260.76138499957,1,0
mentalRotation,MED,2,1,Practice,4,0,12-Mar-2010,16:17,0,2,1,0,20,2,Different,150,170,2,Different,4194.68462399982,1,0
mentalRotation,MED,2,1,Practice,5,1,12-Mar-2010,16:17,0,3,2,0,52,2,Different,30,82,2,Different,4316.74871700034,1,0
mentalRotation,MED,2,1,Practice,6,0,12-Mar-2010,16:17,0,4,1,0,52,2,Different,210,262,2,Different,3876.32286099961,1,0
mentalRotation,MED,2,1,Practice,7,1,12-Mar-2010,16:17,0,5,1,0,52,1,Same,240,292,1,Same,2654.25566700014,1,0
mentalRotation,MED,2,1,Practice,8,0,12-Mar-2010,16:17,0,4,1,0,52,1,Same,60,112,1,Same,4317.66537399926,1,0
mentalRotation,MED,2,1,Practice,9,1,12-Mar-2010,16:17,0,3,2,0,84,1,Same,330,54,1,Same,5142.39036599974,1,0
mentalRotation,MED,2,1,Practice,10,0,12-Mar-2010,16:18,0,4,2,0,84,2,Different,0,84,2,Different,3059.38270200022,1,0
mentalRotation,MED,2,1,Practice,11,1,12-Mar-2010,16:18,0,2,2,0,84,2,Different,60,144,2,Different,1831.61126599953,1,0
mentalRotation,MED,2,1,Practice,12,0,12-Mar-2010,16:18,0,3,2,0,84,1,Same,210,294,2,Different,3889.74337900072,0,1
mentalRotation,MED,2,1,Practice,13,1,12-Mar-2010,16:18,0,3,2,0,116,2,Different,270,26,1,Same,2562.55181099914,0,1
mentalRotation,MED,2,1,Practice,14,0,12-Mar-2010,16:18,0,4,2,0,116,1,Same,0,116,1,Same,2514.14568400014,1,0
mentalRotation,MED,2,1,Practice,15,1,12-Mar-2010,16:18,0,5,2,0,116,2,Different,150,266,2,Different,8504.74078900061,1,0
mentalRotation,MED,2,1,Practice,16,0,12-Mar-2010,16:18,0,5,1,0,116,1,Same,60,176,1,Same,2447.07872100025,1,0
mentalRotation,MED,2,1,Practice,17,1,12-Mar-2010,16:18,0,1,1,0,148,1,Same,120,268,2,Different,3668.6106850002,0,1
mentalRotation,MED,2,1,Practice,18,0,12-Mar-2010,16:18,0,2,2,0,148,1,Same,30,178,1,Same,8626.05023000015,1,0
mentalRotation,MED,2,1,Practice,19,1,12-Mar-2010,16:18,0,2,2,0,148,2,Different,30,178,2,Different,6409.47834100007,1,0
mentalRotation,MED,2,1,Practice,20,0,12-Mar-2010,16:19,0,5,1,0,148,2,Different,180,328,2,Different,17625.64957,1,0
mentalRotation,MED,2,1,Practice,21,1,12-Mar-2010,16:19,0,2,1,0,180,2,Different,60,240,2,Different,8698.26345799993,1,0
mentalRotation,MED,2,1,Practice,22,0,12-Mar-2010,16:19,0,4,2,0,180,1,Same,30,210,2,Different,10928.6672979997,0,1
mentalRotation,MED,2,1,Practice,23,1,12-Mar-2010,16:19,0,4,1,0,180,1,Same,0,180,2,Different,8950.65884799988,0,1
mentalRotation,MED,2,1,Practice,24,0,12-Mar-2010,16:20,0,4,1,0,180,2,Different,120,300,1,Same,3496.17652699999,0,1
mentalRotation,MED,2,2,Test,25,1,12-Mar-2010,16:20,116,1,2,6,180,2,Different,120,300,2,Different,9121.78549300006,1,0
mentalRotation,MED,2,2,Test,26,0,12-Mar-2010,16:20,28,3,2,3,84,1,Same,120,204,1,Same,4567.7677270005,1,0
mentalRotation,MED,2,2,Test,27,1,12-Mar-2010,16:20,97,2,2,4,116,2,Different,240,356,2,Different,4829.54264399996,1,0
