exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,MEM,2,1,Practice,1,1,09-Apr-2010,16:02,0,5,1,0,20,2,Different,150,170,2,Different,6994.44002600001,1,0
mentalRotation,MEM,2,1,Practice,2,0,09-Apr-2010,16:03,0,2,2,0,20,2,Different,180,200,1,Same,2072.93906700002,0,1
mentalRotation,MEM,2,1,Practice,3,1,09-Apr-2010,16:03,0,3,2,0,20,1,Same,330,350,1,Same,2085.35282,1,0
mentalRotation,MEM,2,1,Practice,4,0,09-Apr-2010,16:03,0,4,2,0,20,1,Same,90,110,1,Same,1076.069217,1,0
mentalRotation,MEM,2,1,Practice,5,1,09-Apr-2010,16:03,0,3,2,0,52,2,Different,0,52,2,Different,2205.49057399998,1,0
mentalRotation,MEM,2,1,Practice,6,0,09-Apr-2010,16:03,0,4,1,0,52,2,Different,150,202,1,Same,1497.55916200002,0,1
mentalRotation,MEM,2,1,Practice,7,1,09-Apr-2010,16:03,0,3,1,0,52,1,Same,30,82,1,Same,2170.25830099999,1,0
mentalRotation,MEM,2,1,Practice,8,0,09-Apr-2010,16:03,0,1,1,0,52,1,Same,60,112,1,Same,1562.249326,1,0
mentalRotation,MEM,2,1,Practice,9,1,09-Apr-2010,16:03,0,4,2,0,84,2,Different,300,24,2,Different,2146.11051,1,0
mentalRotation,MEM,2,1,Practice,10,0,09-Apr-2010,16:03,0,4,2,0,84,2,Different,0,84,2,Different,4845.104311,1,0
mentalRotation,MEM,2,1,Practice,11,1,09-Apr-2010,16:03,0,4,2,0,84,1,Same,210,294,2,Different,3929.04200800001,0,1
mentalRotation,MEM,2,1,Practice,12,0,09-Apr-2010,16:03,0,1,2,0,84,1,Same,240,324,1,Same,2046.127316,1,0
mentalRotation,MEM,2,1,Practice,13,1,09-Apr-2010,16:03,0,4,2,0,116,2,Different,150,266,2,Different,3334.17169199998,1,0
mentalRotation,MEM,2,1,Practice,14,0,09-Apr-2010,16:04,0,2,1,0,116,1,Same,90,206,1,Same,3325.66465400001,1,0
mentalRotation,MEM,2,1,Practice,15,1,09-Apr-2010,16:04,0,2,2,0,116,2,Different,120,236,2,Different,2542.91911299998,1,0
mentalRotation,MEM,2,1,Practice,16,0,09-Apr-2010,16:04,0,2,2,0,116,1,Same,150,266,1,Same,1869.80213300001,1,0
mentalRotation,MEM,2,1,Practice,17,1,09-Apr-2010,16:04,0,3,2,0,148,1,Same,180,328,2,Different,2279.94734499998,0,1
mentalRotation,MEM,2,1,Practice,18,0,09-Apr-2010,16:04,0,2,2,0,148,2,Different,180,328,2,Different,4169.379956,1,0
mentalRotation,MEM,2,1,Practice,19,1,09-Apr-2010,16:04,0,2,2,0,148,1,Same,150,298,1,Same,4678.90873399998,1,0
mentalRotation,MEM,2,1,Practice,20,0,09-Apr-2010,16:04,0,5,1,0,148,2,Different,300,88,1,Same,3062.34657000002,0,1
mentalRotation,MEM,2,1,Practice,21,1,09-Apr-2010,16:04,0,2,2,0,180,1,Same,60,240,2,Different,2931.135332,0,1
mentalRotation,MEM,2,1,Practice,22,0,09-Apr-2010,16:04,0,3,2,0,180,2,Different,30,210,2,Different,1741.09613500002,1,0
mentalRotation,MEM,2,1,Practice,23,1,09-Apr-2010,16:04,0,4,1,0,180,2,Different,150,330,2,Different,3883.27068000001,1,0
mentalRotation,MEM,2,1,Practice,24,0,09-Apr-2010,16:04,0,1,2,0,180,1,Same,240,60,1,Same,5547.38125700001,1,0
mentalRotation,MEM,2,2,Test,25,1,09-Apr-2010,16:05,8,3,2,1,20,1,Same,240,260,2,Different,4290.96288400001,0,1
mentalRotation,MEM,2,2,Test,26,0,09-Apr-2010,16:05,60,5,2,6,180,1,Same,120,300,1,Same,4109.29468199998,1,0
mentalRotation,MEM,2,2,Test,27,1,09-Apr-2010,16:05,38,3,2,4,116,1,Same,210,326,1,Same,3543.96765499996,1,0
mentalRotation,MEM,2,2,Test,28,0,09-Apr-2010,16:05,113,3,1,6,180,2,Different,240,60,1,Same,9797.847735,0,1
mentalRotation,MEM,2,2,Test,29,1,09-Apr-2010,16:05,6,1,2,1,20,1,Same,300,320,1,Same,1339.23550499998,1,0
mentalRotation,MEM,2,2,Test,30,0,09-Apr-2010,16:05,69,4,2,1,20,2,Different,120,140,2,Different,4295.35129099997,1,0
mentalRotation,MEM,2,2,Test,31,1,09-Apr-2010,16:05,71,1,1,2,52,2,Different,180,232,2,Different,3039.76662099996,1,0
