exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,MLS,1,1,Practice,1,1,05-Apr-2010,11:09,0,3,2,0,20,2,Different,330,350,1,Same,24647.0896480605,0,1
mentalRotation,MLS,1,1,Practice,2,0,05-Apr-2010,11:10,0,1,2,0,20,1,Same,180,200,1,Same,4412.77739498764,1,0
mentalRotation,MLS,1,1,Practice,3,1,05-Apr-2010,11:10,0,3,2,0,20,1,Same,0,20,1,Same,5834.63081810623,1,0
mentalRotation,MLS,1,1,Practice,4,0,05-Apr-2010,11:10,0,1,2,0,20,2,Different,180,200,2,Different,3285.41494300589,1,0
mentalRotation,MLS,1,1,Practice,5,1,05-Apr-2010,11:10,0,1,1,0,52,1,Same,120,172,1,Same,2413.35884295404,1,0
mentalRotation,MLS,1,1,Practice,6,0,05-Apr-2010,11:10,0,5,2,0,52,2,Different,0,52,2,Different,2808.87706601061,1,0
mentalRotation,MLS,1,1,Practice,7,1,05-Apr-2010,11:10,0,1,2,0,52,1,Same,270,322,1,Same,3363.58235008083,1,0
mentalRotation,MLS,1,1,Practice,8,0,05-Apr-2010,11:10,0,2,1,0,52,2,Different,0,52,2,Different,5843.05967809632,1,0
mentalRotation,MLS,1,1,Practice,9,1,05-Apr-2010,11:10,0,4,1,0,84,2,Different,300,24,1,Same,3476.70198208652,0,1
mentalRotation,MLS,1,1,Practice,10,0,05-Apr-2010,11:10,0,4,1,0,84,2,Different,330,54,1,Same,4945.35005697981,0,1
mentalRotation,MLS,1,1,Practice,11,1,05-Apr-2010,11:11,0,3,1,0,84,1,Same,270,354,2,Different,3500.99469395354,0,1
mentalRotation,MLS,1,1,Practice,12,0,05-Apr-2010,11:11,0,2,2,0,84,1,Same,300,24,1,Same,6261.41963293776,1,0
mentalRotation,MLS,1,1,Practice,13,1,05-Apr-2010,11:11,0,2,1,0,116,1,Same,0,116,1,Same,5282.01452991925,1,0
mentalRotation,MLS,1,1,Practice,14,0,05-Apr-2010,11:11,0,1,1,0,116,2,Different,240,356,1,Same,5506.42730807886,0,1
