exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,STJ,2,1,Practice,1,1,11-Dec-2009,15:08,0,2,1,0,20,2,Different,150,170,2,Different,1969.79039799771,1,0
mentalRotation,STJ,2,1,Practice,2,0,11-Dec-2009,15:08,0,1,1,0,20,1,Same,210,230,2,Different,1287.3180280003,0,1
mentalRotation,STJ,2,1,Practice,3,1,11-Dec-2009,15:08,0,2,2,0,20,2,Different,60,80,1,Same,1215.76688800997,0,1
mentalRotation,STJ,2,1,Practice,4,0,11-Dec-2009,15:08,0,2,1,0,20,1,Same,120,140,2,Different,1622.44707399805,0,1
mentalRotation,STJ,2,1,Practice,5,1,11-Dec-2009,15:09,0,1,2,0,52,1,Same,180,232,1,Same,3025.02978000848,1,0
mentalRotation,STJ,2,1,Practice,6,0,11-Dec-2009,15:09,0,3,2,0,52,1,Same,60,112,2,Different,1761.89623500977,0,1
mentalRotation,STJ,2,1,Practice,7,1,11-Dec-2009,15:09,0,4,1,0,52,2,Different,90,142,1,Same,2029.40921499976,0,1
mentalRotation,STJ,2,1,Practice,8,0,11-Dec-2009,15:09,0,3,2,0,52,2,Different,270,322,2,Different,1807.48992999725,1,0
mentalRotation,STJ,2,1,Practice,9,1,11-Dec-2009,15:09,0,1,2,0,84,1,Same,270,354,2,Different,1480.49448800157,0,1
mentalRotation,STJ,2,1,Practice,10,0,11-Dec-2009,15:09,0,2,1,0,84,1,Same,270,354,1,Same,1166.77583100682,1,0
mentalRotation,STJ,2,1,Practice,11,1,11-Dec-2009,15:09,0,2,2,0,84,2,Different,270,354,1,Same,1102.92633800418,0,1
mentalRotation,STJ,2,1,Practice,12,0,11-Dec-2009,15:09,0,3,1,0,84,2,Different,90,174,2,Different,2315.88562199613,1,0
mentalRotation,STJ,2,1,Practice,13,1,11-Dec-2009,15:09,0,1,1,0,116,1,Same,90,206,1,Same,1761.94107899209,1,0
mentalRotation,STJ,2,1,Practice,14,0,11-Dec-2009,15:09,0,3,2,0,116,2,Different,0,116,1,Same,2622.9002510081,0,1
mentalRotation,STJ,2,1,Practice,15,1,11-Dec-2009,15:09,0,4,1,0,116,1,Same,0,116,2,Different,1689.54365700483,0,1
mentalRotation,STJ,2,1,Practice,16,0,11-Dec-2009,15:09,0,1,2,0,116,2,Different,330,86,1,Same,1602.7559130016,0,1
mentalRotation,STJ,2,1,Practice,17,1,11-Dec-2009,15:09,0,5,2,0,148,2,Different,30,178,2,Different,1157.372407004,1,0
mentalRotation,STJ,2,1,Practice,18,0,11-Dec-2009,15:09,0,1,2,0,148,1,Same,210,358,1,Same,1771.12524599943,1,0
mentalRotation,STJ,2,1,Practice,19,1,11-Dec-2009,15:09,0,2,1,0,148,1,Same,120,268,1,Same,1701.96601799398,1,0
mentalRotation,STJ,2,1,Practice,20,0,11-Dec-2009,15:10,0,4,2,0,148,2,Different,330,118,2,Different,1231.07866899227,1,0
mentalRotation,STJ,2,1,Practice,21,1,11-Dec-2009,15:10,0,3,1,0,180,2,Different,90,270,2,Different,1656.31979399768,1,0
mentalRotation,STJ,2,1,Practice,22,0,11-Dec-2009,15:10,0,4,2,0,180,1,Same,90,270,1,Same,1021.10877000086,1,0
mentalRotation,STJ,2,1,Practice,23,1,11-Dec-2009,15:10,0,5,1,0,180,2,Different,30,210,2,Different,1425.27862099814,1,0
mentalRotation,STJ,2,1,Practice,24,0,11-Dec-2009,15:10,0,1,1,0,180,1,Same,330,150,1,Same,1367.50333799864,1,0
mentalRotation,STJ,2,2,Test,25,1,11-Dec-2009,15:10,32,2,1,4,116,1,Same,210,326,1,Same,1358.79500700685,1,0
mentalRotation,STJ,2,2,Test,26,0,11-Dec-2009,15:10,30,5,2,3,84,1,Same,120,204,2,Different,763.251787007903,0,1
mentalRotation,STJ,2,2,Test,27,1,11-Dec-2009,15:10,42,2,1,5,148,1,Same,90,238,2,Different,1199.46541200625,0,1
mentalRotation,STJ,2,2,Test,28,0,11-Dec-2009,15:10,90,5,2,3,84,2,Different,330,54,1,Same,622.322847004398,0,1
mentalRotation,STJ,2,2,Test,29,1,11-Dec-2009,15:10,116,1,2,6,180,2,Different,120,300,1,Same,1324.07527200121,0,1
mentalRotation,STJ,2,2,Test,30,0,11-Dec-2009,15:11,62,2,1,1,20,2,Different,180,200,1,Same,2111.79831800109,0,1
mentalRotation,STJ,2,2,Test,31,1,11-Dec-2009,15:11,79,4,2,2,52,2,Different,240,292,1,Same,1703.60840100329,0,1
mentalRotation,STJ,2,2,Test,32,0,11-Dec-2009,15:11,118,3,2,6,180,2,Different,0,180,2,Different,990.95135499374,1,0
mentalRotation,STJ,2,2,Test,33,1,11-Dec-2009,15:11,72,2,1,2,52,2,Different,240,292,2,Different,994.172431004699,1,0
mentalRotation,STJ,2,2,Test,34,0,11-Dec-2009,15:11,14,4,1,2,52,1,Same,120,172,1,Same,1454.96070801164,1,0
mentalRotation,STJ,2,2,Test,35,1,11-Dec-2009,15:11,19,4,2,2,52,1,Same,150,202,2,Different,1129.01102998876,0,1
mentalRotation,STJ,2,2,Test,36,0,11-Dec-2009,15:11,82,2,1,3,84,2,Different,330,54,1,Same,543.423198992969,0,1
mentalRotation,STJ,2,2,Test,37,1,11-Dec-2009,15:11,13,3,1,2,52,1,Same,90,142,2,Different,1351.50446800981,0,1
mentalRotation,STJ,2,2,Test,38,0,11-Dec-2009,15:11,95,5,1,4,116,2,Different,120,236,1,Same,707.396212004824,0,1
mentalRotation,STJ,2,2,Test,39,1,11-Dec-2009,15:11,98,3,2,4,116,2,Different,120,236,2,Different,1440.1553899952,1,0
mentalRotation,STJ,2,2,Test,40,0,11-Dec-2009,15:11,35,5,1,4,116,1,Same,210,326,2,Different,1041.22527100844,0,1
mentalRotation,STJ,2,2,Test,41,1,11-Dec-2009,15:11,86,1,2,3,84,2,Different,270,354,1,Same,1275.6584789895,0,1
mentalRotation,STJ,2,2,Test,42,0,11-Dec-2009,15:11,55,5,1,6,180,1,Same,270,90,2,Different,1370.60867100081,0,1
mentalRotation,STJ,2,2,Test,43,1,11-Dec-2009,15:11,61,1,1,1,20,2,Different,300,320,2,Different,1759.8720399983,1,0
mentalRotation,STJ,2,2,Test,44,0,11-Dec-2009,15:11,97,2,2,4,116,2,Different,0,116,2,Different,1612.41882199829,1,0
mentalRotation,STJ,2,2,Test,45,1,11-Dec-2009,15:11,34,4,1,4,116,1,Same,0,116,1,Same,1254.63571000728,1,0
mentalRotation,STJ,2,2,Test,46,0,11-Dec-2009,15:11,71,1,1,2,52,2,Different,330,22,1,Same,904.631872996106,0,1
mentalRotation,STJ,2,2,Test,47,1,11-Dec-2009,15:12,83,3,1,3,84,2,Different,240,324,2,Different,1630.67279499955,1,0
mentalRotation,STJ,2,2,Test,48,0,11-Dec-2009,15:12,94,4,1,4,116,2,Different,300,56,1,Same,938.042551002582,0,1
mentalRotation,STJ,2,2,Test,49,1,11-Dec-2009,15:12,74,4,1,2,52,2,Different,90,142,2,Different,1509.67874100024,1,0
mentalRotation,STJ,2,2,Test,50,0,11-Dec-2009,15:12,114,4,1,6,180,2,Different,90,270,1,Same,1570.4783770052,0,1
mentalRotation,STJ,2,2,Test,51,1,11-Dec-2009,15:12,91,1,1,4,116,2,Different,300,56,2,Different,888.978589995531,1,0
mentalRotation,STJ,2,2,Test,52,0,11-Dec-2009,15:12,89,4,2,3,84,2,Different,270,354,2,Different,2582.55073901091,1,0
mentalRotation,STJ,2,2,Test,53,1,11-Dec-2009,15:12,75,5,1,2,52,2,Different,330,22,2,Different,1251.41940100002,1,0
mentalRotation,STJ,2,2,Test,54,0,11-Dec-2009,15:12,36,1,2,4,116,1,Same,0,116,1,Same,1116.18679499952,1,0
mentalRotation,STJ,2,2,Test,55,1,11-Dec-2009,15:12,51,1,1,6,180,1,Same,210,30,2,Different,2357.71807900164,0,1
