exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,TAA,2,1,Practice,1,1,08-Feb-2010,17:05,0,5,2,0,20,1,Same,0,20,1,Same,1439.94285585359,1,0
mentalRotation,TAA,2,1,Practice,2,0,08-Feb-2010,17:05,0,4,2,0,20,1,Same,150,170,2,Different,1364.40691398457,0,1
mentalRotation,TAA,2,1,Practice,3,1,08-Feb-2010,17:05,0,2,2,0,20,2,Different,120,140,1,Same,1167.47108101845,0,1
mentalRotation,TAA,2,1,Practice,4,0,08-Feb-2010,17:05,0,1,1,0,20,2,Different,150,170,2,Different,1556.01856624708,1,0
mentalRotation,TAA,2,1,Practice,5,1,08-Feb-2010,17:05,0,3,1,0,52,1,Same,270,322,1,Same,1148.44610309228,1,0
mentalRotation,TAA,2,1,Practice,6,0,08-Feb-2010,17:05,0,1,2,0,52,1,Same,60,112,1,Same,1314.85189404339,1,0
mentalRotation,TAA,2,1,Practice,7,1,08-Feb-2010,17:05,0,1,2,0,52,2,Different,30,82,1,Same,1494.70181204379,0,1
mentalRotation,TAA,2,1,Practice,8,0,08-Feb-2010,17:05,0,2,2,0,52,2,Different,90,142,1,Same,1286.45780822262,0,1
mentalRotation,TAA,2,1,Practice,9,1,08-Feb-2010,17:05,0,3,2,0,84,1,Same,330,54,1,Same,1300.96313823014,1,0
mentalRotation,TAA,2,1,Practice,10,0,08-Feb-2010,17:05,0,1,2,0,84,2,Different,30,114,2,Different,1236.57858464867,1,0
mentalRotation,TAA,2,1,Practice,11,1,08-Feb-2010,17:05,0,5,2,0,84,1,Same,270,354,2,Different,1483.86883316562,0,1
mentalRotation,TAA,2,1,Practice,12,0,08-Feb-2010,17:05,0,3,1,0,84,2,Different,240,324,1,Same,1628.23302205652,0,1
mentalRotation,TAA,2,1,Practice,13,1,08-Feb-2010,17:05,0,4,2,0,116,1,Same,60,176,1,Same,1985.75606010854,1,0
mentalRotation,TAA,2,1,Practice,14,0,08-Feb-2010,17:05,0,3,2,0,116,2,Different,330,86,1,Same,1528.0411071144,0,1
mentalRotation,TAA,2,1,Practice,15,1,08-Feb-2010,17:05,0,1,1,0,116,2,Different,150,266,2,Different,2313.86017706245,1,0
mentalRotation,TAA,2,1,Practice,16,0,08-Feb-2010,17:06,0,5,1,0,116,1,Same,60,176,1,Same,1889.46325611323,1,0
mentalRotation,TAA,2,1,Practice,17,1,08-Feb-2010,17:06,0,3,1,0,148,1,Same,90,238,1,Same,2000.74579520151,1,0
mentalRotation,TAA,2,1,Practice,18,0,08-Feb-2010,17:06,0,2,2,0,148,1,Same,210,358,1,Same,2548.50008198991,1,0
mentalRotation,TAA,2,1,Practice,19,1,08-Feb-2010,17:06,0,2,2,0,148,2,Different,300,88,2,Different,2253.01532912999,1,0
mentalRotation,TAA,2,1,Practice,20,0,08-Feb-2010,17:06,0,3,1,0,148,2,Different,270,58,1,Same,1541.10995214432,0,1
mentalRotation,TAA,2,1,Practice,21,1,08-Feb-2010,17:06,0,5,2,0,180,2,Different,90,270,2,Different,3566.9494275935,1,0
mentalRotation,TAA,2,1,Practice,22,0,08-Feb-2010,17:06,0,3,2,0,180,2,Different,300,120,1,Same,1151.92863531411,0,1
mentalRotation,TAA,2,1,Practice,23,1,08-Feb-2010,17:06,0,2,2,0,180,1,Same,90,270,2,Different,4797.18993371353,0,1
mentalRotation,TAA,2,1,Practice,24,0,08-Feb-2010,17:06,0,5,1,0,180,1,Same,90,270,2,Different,3528.9045968093,0,1
mentalRotation,TAA,2,2,Test,25,1,08-Feb-2010,17:06,98,3,2,4,116,2,Different,0,116,1,Same,2197.25433085114,0,1
mentalRotation,TAA,2,2,Test,26,0,08-Feb-2010,17:06,10,5,2,1,20,1,Same,0,20,1,Same,2173.63174818456,1,0
mentalRotation,TAA,2,2,Test,27,1,08-Feb-2010,17:07,75,5,1,2,52,2,Different,90,142,2,Different,2680.1077881828,1,0
mentalRotation,TAA,2,2,Test,28,0,08-Feb-2010,17:07,84,4,1,3,84,2,Different,60,144,2,Different,6271.09578996897,1,0
mentalRotation,TAA,2,2,Test,29,1,08-Feb-2010,17:07,116,1,2,6,180,2,Different,60,240,2,Different,4159.99922296032,1,0
mentalRotation,TAA,2,2,Test,30,0,08-Feb-2010,17:07,33,3,1,4,116,1,Same,300,56,1,Same,3422.31227224693,1,0
mentalRotation,TAA,2,2,Test,31,1,08-Feb-2010,17:07,31,1,1,4,116,1,Same,240,356,1,Same,2496.40805320814,1,0
mentalRotation,TAA,2,2,Test,32,0,08-Feb-2010,17:07,107,2,2,5,148,2,Different,120,268,2,Different,5215.90510196984,1,0
mentalRotation,TAA,2,2,Test,33,1,08-Feb-2010,17:07,76,1,2,2,52,2,Different,210,262,2,Different,2708.49952893332,1,0
mentalRotation,TAA,2,2,Test,34,0,08-Feb-2010,17:07,26,1,2,3,84,1,Same,300,24,1,Same,1992.78498860076,1,0
mentalRotation,TAA,2,2,Test,35,1,08-Feb-2010,17:07,21,1,1,3,84,1,Same,210,294,1,Same,1698.02082004026,1,0
mentalRotation,TAA,2,2,Test,36,0,08-Feb-2010,17:07,120,5,2,6,180,2,Different,330,150,2,Different,3379.28828923032,1,0
mentalRotation,TAA,2,2,Test,37,1,08-Feb-2010,17:07,23,3,1,3,84,1,Same,30,114,1,Same,2545.25726195425,1,0
mentalRotation,TAA,2,2,Test,38,0,08-Feb-2010,17:07,119,4,2,6,180,2,Different,120,300,2,Different,3518.82905792445,1,0
mentalRotation,TAA,2,2,Test,39,1,08-Feb-2010,17:08,80,5,2,2,52,2,Different,60,112,2,Different,4009.20578464866,1,0
mentalRotation,TAA,2,2,Test,40,0,08-Feb-2010,17:08,74,4,1,2,52,2,Different,270,322,2,Different,3341.16391278803,1,0
mentalRotation,TAA,2,2,Test,41,1,08-Feb-2010,17:08,49,4,2,5,148,1,Same,150,298,1,Same,2134.58464713767,1,0
mentalRotation,TAA,2,2,Test,42,0,08-Feb-2010,17:08,94,4,1,4,116,2,Different,180,296,2,Different,3399.54655291513,1,0
mentalRotation,TAA,2,2,Test,43,1,08-Feb-2010,17:08,47,2,2,5,148,1,Same,270,58,1,Same,2006.78566610441,1,0
mentalRotation,TAA,2,2,Test,44,0,08-Feb-2010,17:08,99,4,2,4,116,2,Different,300,56,2,Different,2797.74731304497,1,0
mentalRotation,TAA,2,2,Test,45,1,08-Feb-2010,17:08,11,1,1,2,52,1,Same,30,82,1,Same,1831.41060499474,1,0
mentalRotation,TAA,2,2,Test,46,0,08-Feb-2010,17:08,63,3,1,1,20,2,Different,0,20,2,Different,2617.62783722952,1,0
mentalRotation,TAA,2,2,Test,47,1,08-Feb-2010,17:08,12,2,1,2,52,1,Same,30,82,1,Same,1722.05472411588,1,0
mentalRotation,TAA,2,2,Test,48,0,08-Feb-2010,17:08,55,5,1,6,180,1,Same,150,330,1,Same,4367.28385370225,1,0
mentalRotation,TAA,2,2,Test,49,1,08-Feb-2010,17:08,50,5,2,5,148,1,Same,150,298,1,Same,4561.74438260496,1,0
mentalRotation,TAA,2,2,Test,50,0,08-Feb-2010,17:08,77,2,2,2,52,2,Different,270,322,2,Different,2499.96843189001,1,0
mentalRotation,TAA,2,2,Test,51,1,08-Feb-2010,17:09,46,1,2,5,148,1,Same,180,328,1,Same,5602.87780268118,1,0
mentalRotation,TAA,2,2,Test,52,0,08-Feb-2010,17:09,20,5,2,2,52,1,Same,330,22,1,Same,1663.35674095899,1,0
mentalRotation,TAA,2,2,Test,53,1,08-Feb-2010,17:09,82,2,1,3,84,2,Different,0,84,2,Different,3560.87204907089,1,0
mentalRotation,TAA,2,2,Test,54,0,08-Feb-2010,17:09,1,1,1,1,20,1,Same,330,350,1,Same,1074.54439718276,1,0
mentalRotation,TAA,2,2,Test,55,1,08-Feb-2010,17:09,56,1,2,6,180,1,Same,210,30,1,Same,5755.1328940317,1,0
mentalRotation,TAA,2,2,Test,56,0,08-Feb-2010,17:09,41,1,1,5,148,1,Same,120,268,1,Same,3696.8153687194,1,0
mentalRotation,TAA,2,2,Test,57,1,08-Feb-2010,17:09,57,2,2,6,180,1,Same,240,60,1,Same,7872.4977588281,1,0
mentalRotation,TAA,2,2,Test,58,0,08-Feb-2010,17:09,105,5,1,5,148,2,Different,300,88,2,Different,6491.91611493006,1,0
mentalRotation,TAA,2,2,Test,59,1,08-Feb-2010,17:09,96,1,2,4,116,2,Different,210,326,2,Different,2621.45665520802,1,0
mentalRotation,TAA,2,2,Test,60,0,08-Feb-2010,17:09,103,3,1,5,148,2,Different,210,358,2,Different,8472.92028693482,1,0
mentalRotation,TAA,2,2,Test,61,1,08-Feb-2010,17:10,93,3,1,4,116,2,Different,270,26,2,Different,5148.06164707989,1,0
mentalRotation,TAA,2,2,Test,62,0,08-Feb-2010,17:10,108,3,2,5,148,2,Different,180,328,2,Different,3367.64095909894,1,0
