exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,UA1,2,1,Practice,1,1,04-May-2010,16:09,0,2,1,0,20,2,Different,330,350,2,Different,5434.37498999992,1,0
mentalRotation,UA1,2,1,Practice,2,0,04-May-2010,16:09,0,3,1,0,20,1,Same,30,50,2,Different,1788.99064600046,0,1
mentalRotation,UA1,2,1,Practice,3,1,04-May-2010,16:09,0,4,2,0,20,1,Same,30,50,1,Same,2117.69913999888,1,0
mentalRotation,UA1,2,1,Practice,4,0,04-May-2010,16:10,0,5,2,0,20,2,Different,150,170,2,Different,3740.87853299898,1,0
mentalRotation,UA1,2,1,Practice,5,1,04-May-2010,16:10,0,2,2,0,52,2,Different,30,82,2,Different,885.310113000742,1,0
mentalRotation,UA1,2,1,Practice,6,0,04-May-2010,16:10,0,5,2,0,52,1,Same,330,22,1,Same,1551.71333200087,1,0
mentalRotation,UA1,2,1,Practice,7,1,04-May-2010,16:10,0,2,1,0,52,1,Same,240,292,2,Different,2771.72892199997,0,1
mentalRotation,UA1,2,1,Practice,8,0,04-May-2010,16:10,0,1,2,0,52,2,Different,270,322,1,Same,365.508241000498,0,1
mentalRotation,UA1,2,1,Practice,9,1,04-May-2010,16:10,0,1,1,0,84,2,Different,30,114,1,Same,762.848372000008,0,1
mentalRotation,UA1,2,1,Practice,10,0,04-May-2010,16:10,0,2,1,0,84,1,Same,0,84,1,Same,3055.37932900006,1,0
mentalRotation,UA1,2,1,Practice,11,1,04-May-2010,16:10,0,4,1,0,84,1,Same,30,114,1,Same,5490.5492300004,1,0
mentalRotation,UA1,2,1,Practice,12,0,04-May-2010,16:10,0,5,2,0,84,2,Different,300,24,2,Different,3385.97956800004,1,0
mentalRotation,UA1,2,1,Practice,13,1,04-May-2010,16:10,0,2,1,0,116,2,Different,90,206,2,Different,3395.94013799979,1,0
mentalRotation,UA1,2,1,Practice,14,0,04-May-2010,16:10,0,2,2,0,116,2,Different,180,296,1,Same,8888.84627699917,0,1
mentalRotation,UA1,2,1,Practice,15,1,04-May-2010,16:11,0,4,1,0,116,1,Same,300,56,2,Different,291.542982000465,0,1
mentalRotation,UA1,2,1,Practice,16,0,04-May-2010,16:11,0,1,2,0,116,1,Same,180,296,2,Different,2415.25023099894,0,1
mentalRotation,UA1,2,1,Practice,17,1,04-May-2010,16:11,0,4,2,0,148,1,Same,150,298,1,Same,4776.78688099877,1,0
mentalRotation,UA1,2,1,Practice,18,0,04-May-2010,16:11,0,5,1,0,148,2,Different,300,88,1,Same,2622.31683299979,0,1
mentalRotation,UA1,2,1,Practice,19,1,04-May-2010,16:11,0,3,2,0,148,2,Different,0,148,2,Different,1662.52747900035,1,0
mentalRotation,UA1,2,1,Practice,20,0,04-May-2010,16:11,0,4,1,0,148,1,Same,330,118,1,Same,2407.78458000023,1,0
mentalRotation,UA1,2,1,Practice,21,1,04-May-2010,16:11,0,1,2,0,180,1,Same,90,270,1,Same,4751.21504500021,1,0
mentalRotation,UA1,2,1,Practice,22,0,04-May-2010,16:11,0,5,2,0,180,2,Different,60,240,2,Different,2185.58146100077,1,0
mentalRotation,UA1,2,1,Practice,23,1,04-May-2010,16:11,0,5,2,0,180,1,Same,240,60,1,Same,3619.21574299959,1,0
mentalRotation,UA1,2,1,Practice,24,0,04-May-2010,16:11,0,4,1,0,180,2,Different,0,180,2,Different,4725.79532700001,1,0
mentalRotation,UA1,2,2,Test,25,1,04-May-2010,16:11,86,1,2,3,84,2,Different,150,234,2,Different,742.111192001175,1,0
mentalRotation,UA1,2,2,Test,26,0,04-May-2010,16:11,20,5,2,2,52,1,Same,30,82,1,Same,1639.32797699999,1,0
mentalRotation,UA1,2,2,Test,27,1,04-May-2010,16:11,63,3,1,1,20,2,Different,0,20,1,Same,1503.53250099943,0,1
