exp,sid,session,blockNum,blockType,trialNum,oddEven,date,time,trialType,baseImageNum,posNeg,angleNum,rotationAngle,sameDiffNum,sameDiffName,angle1,angle2,respKey,respName,respRT,respCorrect,respError
mentalRotation,YZ1,1,1,Practice,1,1,03-Feb-2010,16:38,0,2,1,0,20,2,Different,300,320,2,Different,13191.568900831,1,0
mentalRotation,YZ1,1,1,Practice,2,0,03-Feb-2010,16:39,0,4,1,0,20,1,Same,270,290,1,Same,5406.85459389351,1,0
mentalRotation,YZ1,1,1,Practice,3,1,03-Feb-2010,16:39,0,5,2,0,20,1,Same,300,320,1,Same,5133.11283220537,1,0
mentalRotation,YZ1,1,1,Practice,4,0,03-Feb-2010,16:39,0,2,1,0,20,2,Different,90,110,2,Different,6716.62678802386,1,0
mentalRotation,YZ1,1,1,Practice,5,1,03-Feb-2010,16:39,0,3,2,0,52,1,Same,120,172,1,Same,3253.29985492863,1,0
mentalRotation,YZ1,1,1,Practice,6,0,03-Feb-2010,16:39,0,1,2,0,52,2,Different,330,22,2,Different,7433.83257417008,1,0
mentalRotation,YZ1,1,1,Practice,7,1,03-Feb-2010,16:39,0,3,1,0,52,2,Different,60,112,2,Different,2652.0666370634,1,0
mentalRotation,YZ1,1,1,Practice,8,0,03-Feb-2010,16:39,0,3,1,0,52,1,Same,210,262,1,Same,2119.03171008453,1,0
mentalRotation,YZ1,1,1,Practice,9,1,03-Feb-2010,16:39,0,4,2,0,84,2,Different,180,264,2,Different,12724.7543621343,1,0
mentalRotation,YZ1,1,1,Practice,10,0,03-Feb-2010,16:40,0,2,1,0,84,2,Different,180,264,2,Different,15805.6385561358,1,0
mentalRotation,YZ1,1,1,Practice,11,1,03-Feb-2010,16:40,0,2,1,0,84,1,Same,90,174,1,Same,3559.74204512313,1,0
mentalRotation,YZ1,1,1,Practice,12,0,03-Feb-2010,16:40,0,1,1,0,84,1,Same,60,144,1,Same,3800.51099113189,1,0
mentalRotation,YZ1,1,1,Practice,13,1,03-Feb-2010,16:40,0,2,2,0,116,1,Same,180,296,1,Same,4818.69928608648,1,0
mentalRotation,YZ1,1,1,Practice,14,0,03-Feb-2010,16:40,0,5,2,0,116,1,Same,300,56,1,Same,12996.990572894,1,0
mentalRotation,YZ1,1,1,Practice,15,1,03-Feb-2010,16:40,0,2,2,0,116,2,Different,270,26,2,Different,3058.97988704965,1,0
mentalRotation,YZ1,1,1,Practice,16,0,03-Feb-2010,16:40,0,1,2,0,116,2,Different,180,296,2,Different,6493.29327489249,1,0
mentalRotation,YZ1,1,1,Practice,17,1,03-Feb-2010,16:41,0,4,1,0,148,2,Different,120,268,1,Same,9324.15452715941,0,1
mentalRotation,YZ1,1,1,Practice,18,0,03-Feb-2010,16:41,0,4,2,0,148,1,Same,90,238,2,Different,3075.63715218566,0,1
mentalRotation,YZ1,1,1,Practice,19,1,03-Feb-2010,16:41,0,5,2,0,148,2,Different,210,358,2,Different,9098.50395401008,1,0
